,2023-11-30,2023-08-31,2023-05-31,2023-02-28
OrdinarySharesNumber,66352625.0,64308496.0,63908496.0,58279584.0
ShareIssued,66352625.0,64308496.0,63908496.0,58279584.0
TotalDebt,165799.0,134794.0,157977.0,180509.0
TangibleBookValue,5555848.0,5930975.0,6966435.0,3232849.0
InvestedCapital,5564793.0,5951314.0,6995279.0,3270138.0
WorkingCapital,2438230.0,3032958.0,4386363.0,1549948.0
NetTangibleAssets,5555848.0,5930975.0,6966435.0,3232849.0
CapitalLeaseObligations,156854.0,115138.0,130499.0,145269.0
CommonStockEquity,5555848.0,5931658.0,6967801.0,3234898.0
TotalCapitalization,5555848.0,5931658.0,6967801.0,3238782.0
TotalEquityGrossMinorityInterest,5555848.0,5931658.0,6967801.0,3234898.0
StockholdersEquity,5555848.0,5931658.0,6967801.0,3234898.0
OtherEquityInterest,2262002.0,2518918.0,2557918.0,2518088.0
RetainedEarnings,-19106995.0,-17029537.0,-15459215.0,-13861097.0
AdditionalPaidInCapital,5107708.0,4730190.0,4472191.0,4059643.0
CapitalStock,17293133.0,15712087.0,15396907.0,10518264.0
CommonStock,17293133.0,15712087.0,15396907.0,10518264.0
TotalLiabilitiesNetMinorityInterest,709536.0,606181.0,613025.0,556757.0
TotalNonCurrentLiabilitiesNetMinorityInterest,118441.0,89042.0,95734.0,106032.0
LongTermDebtAndCapitalLeaseObligation,118441.0,89042.0,95734.0,106032.0
LongTermCapitalLeaseObligation,118441.0,89042.0,95734.0,102148.0
LongTermDebt,,,,3884.0
CurrentLiabilities,591095.0,517139.0,517291.0,450725.0
CurrentDebtAndCapitalLeaseObligation,47358.0,45752.0,62243.0,74477.0
CurrentCapitalLeaseObligation,38413.0,26096.0,34765.0,43121.0
CurrentDebt,8945.0,19656.0,27478.0,31356.0
OtherCurrentBorrowings,8945.0,19656.0,27478.0,31356.0
PayablesAndAccruedExpenses,543737.0,471387.0,455048.0,376248.0
Payables,543737.0,471387.0,455048.0,376248.0
AccountsPayable,543737.0,471387.0,455048.0,376248.0
TotalAssets,6265384.0,6537839.0,7580826.0,3791655.0
TotalNonCurrentAssets,3236059.0,2987742.0,2677172.0,1790982.0
GoodwillAndOtherIntangibleAssets,0.0,683.0,1366.0,2049.0
OtherIntangibleAssets,,683.0,1366.0,2049.0
NetPPE,3236059.0,2987059.0,2675806.0,1788933.0
AccumulatedDepreciation,-333591.0,-256195.0,-166320.0,-108776.0
GrossPPE,3569650.0,3243254.0,2842126.0,1897709.0
Leases,1706616.0,1472323.0,1158638.0,481197.0
OtherProperties,1565413.0,1500946.0,1430779.0,1247827.0
MachineryFurnitureEquipment,297621.0,269985.0,252709.0,168685.0
Properties,0.0,0.0,0.0,0.0
CurrentAssets,3029325.0,3550097.0,4903654.0,2000673.0
PrepaidAssets,322535.0,386788.0,392114.0,273805.0
Receivables,349202.0,200634.0,464906.0,309915.0
OtherReceivables,73093.0,1700.0,52445.0,58290.0
DuefromRelatedPartiesCurrent,78073.0,78073.0,78073.0,78073.0
TaxesReceivable,198036.0,120861.0,334388.0,173552.0
CashCashEquivalentsAndShortTermInvestments,2357588.0,2962675.0,4046634.0,1416953.0
CashAndCashEquivalents,2357588.0,2962675.0,4046634.0,1416953.0
