,2023-06-30,2023-03-31,2022-12-31
TreasurySharesNumber,2423204.0,2423204.0,2423204.0
OrdinarySharesNumber,52385919.0,50032843.0,45979330.0
ShareIssued,54809123.0,52456047.0,48402534.0
NetDebt,87740000.0,81993000.0,68111000.0
TotalDebt,95067000.0,90040000.0,82151000.0
TangibleBookValue,-101352000.0,-86773000.0,-69092000.0
InvestedCapital,120836000.0,128985000.0,156513000.0
WorkingCapital,-103739000.0,-88486000.0,-30731000.0
NetTangibleAssets,-101352000.0,-86773000.0,-69092000.0
CapitalLeaseObligations,3548000.0,5098000.0,5562000.0
CommonStockEquity,29317000.0,44043000.0,79924000.0
TotalCapitalization,29600000.0,44391000.0,119319000.0
TotalEquityGrossMinorityInterest,29234000.0,43974000.0,79870000.0
MinorityInterest,-83000.0,-69000.0,-54000.0
StockholdersEquity,29317000.0,44043000.0,79924000.0
GainsLossesNotAffectingRetainedEarnings,-17621000.0,-17145000.0,-17776000.0
OtherEquityAdjustments,-17621000.0,-17145000.0,-17776000.0
TreasuryStock,0.0,0.0,0.0
RetainedEarnings,-164784000.0,-144490000.0,-106431000.0
AdditionalPaidInCapital,211717000.0,205673000.0,204126000.0
CapitalStock,5000.0,5000.0,5000.0
CommonStock,5000.0,5000.0,5000.0
TotalLiabilitiesNetMinorityInterest,157359000.0,150039000.0,135369000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,6125000.0,8213000.0,48798000.0
OtherNonCurrentLiabilities,7000.0,7000.0,
DerivativeProductLiabilities,170000.0,1491000.0,2306000.0
NonCurrentDeferredLiabilities,3678000.0,3323000.0,3627000.0
LongTermDebtAndCapitalLeaseObligation,2270000.0,3392000.0,42865000.0
LongTermCapitalLeaseObligation,1987000.0,3044000.0,3470000.0
LongTermDebt,283000.0,348000.0,39395000.0
CurrentLiabilities,151234000.0,141826000.0,86571000.0
OtherCurrentLiabilities,14189000.0,13940000.0,13702000.0
CurrentDeferredLiabilities,3515000.0,3452000.0,2151000.0
CurrentDeferredRevenue,3515000.0,3452000.0,2151000.0
CurrentDebtAndCapitalLeaseObligation,92797000.0,86648000.0,39286000.0
CurrentCapitalLeaseObligation,1561000.0,2054000.0,2092000.0
CurrentDebt,91236000.0,84594000.0,37194000.0
OtherCurrentBorrowings,91236000.0,84594000.0,37194000.0
PensionandOtherPostRetirementBenefitPlansCurrent,1681000.0,1282000.0,712000.0
PayablesAndAccruedExpenses,39052000.0,36504000.0,30720000.0
CurrentAccruedExpenses,12584000.0,12889000.0,8402000.0
InterestPayable,257000.0,1299000.0,978000.0
Payables,26468000.0,23615000.0,22318000.0
TotalTaxPayable,10129000.0,8610000.0,10891000.0
IncomeTaxPayable,506000.0,125000.0,226000.0
AccountsPayable,16339000.0,15005000.0,11427000.0
TotalAssets,186593000.0,194013000.0,215239000.0
TotalNonCurrentAssets,139098000.0,140673000.0,159399000.0
OtherNonCurrentAssets,557000.0,591000.0,677000.0
GoodwillAndOtherIntangibleAssets,130669000.0,130816000.0,149016000.0
OtherIntangibleAssets,60602000.0,61076000.0,61355000.0
Goodwill,70067000.0,69740000.0,87661000.0
NetPPE,7872000.0,9266000.0,9706000.0
AccumulatedDepreciation,-2845000.0,-7807000.0,-7733000.0
GrossPPE,10717000.0,17073000.0,17439000.0
Leases,435000.0,1852000.0,1995000.0
OtherProperties,4458000.0,6009000.0,6462000.0
MachineryFurnitureEquipment,5824000.0,9212000.0,8982000.0
Properties,0.0,0.0,0.0
CurrentAssets,47495000.0,53340000.0,55840000.0
OtherCurrentAssets,3698000.0,7076000.0,6783000.0
HedgingAssetsCurrent,,1372000.0,
RestrictedCash,245000.0,225000.0,213000.0
Receivables,39773000.0,41718000.0,40366000.0
ReceivablesAdjustmentsAllowances,-347000.0,-331000.0,-158000.0
OtherReceivables,14642000.0,15816000.0,13380000.0
TaxesReceivable,12498000.0,11750000.0,11305000.0
AccountsReceivable,12980000.0,14483000.0,15839000.0
CashCashEquivalentsAndShortTermInvestments,3779000.0,2949000.0,8478000.0
CashAndCashEquivalents,3779000.0,2949000.0,8478000.0
