,2023-09-30,2023-06-30,2023-03-31,2022-12-31
OrdinarySharesNumber,87476338.0,86823000.0,86560000.0,85387000.0
ShareIssued,87476338.0,86823000.0,86560000.0,85387000.0
TotalDebt,41768000.0,42379000.0,43367000.0,49110000.0
TangibleBookValue,221043000.0,254978000.0,280448000.0,310433000.0
InvestedCapital,221043000.0,254978000.0,280448000.0,310433000.0
WorkingCapital,194829000.0,227078000.0,253330000.0,278805000.0
NetTangibleAssets,221043000.0,254978000.0,280448000.0,310433000.0
CapitalLeaseObligations,41768000.0,42379000.0,43367000.0,49110000.0
CommonStockEquity,221043000.0,254978000.0,280448000.0,310433000.0
TotalCapitalization,221043000.0,254978000.0,280448000.0,310433000.0
TotalEquityGrossMinorityInterest,221043000.0,254978000.0,280448000.0,310433000.0
StockholdersEquity,221043000.0,254978000.0,280448000.0,310433000.0
GainsLossesNotAffectingRetainedEarnings,-72000.0,-159000.0,12000.0,-284000.0
OtherEquityAdjustments,-72000.0,-159000.0,12000.0,-284000.0
RetainedEarnings,-1055926000.0,-1010300000.0,-975180000.0,-932776000.0
AdditionalPaidInCapital,1276954000.0,1265350000.0,1255530000.0,1243408000.0
CapitalStock,87000.0,87000.0,86000.0,85000.0
CommonStock,87000.0,87000.0,86000.0,85000.0
PreferredStock,0.0,0.0,0.0,0.0
TotalLiabilitiesNetMinorityInterest,62452000.0,64218000.0,69960000.0,75987000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,39002000.0,39734000.0,40430000.0,45949000.0
LongTermDebtAndCapitalLeaseObligation,39002000.0,39734000.0,40430000.0,45949000.0
LongTermCapitalLeaseObligation,39002000.0,39734000.0,40430000.0,45949000.0
CurrentLiabilities,23450000.0,24484000.0,29530000.0,30038000.0
OtherCurrentLiabilities,602000.0,927000.0,2171000.0,1056000.0
CurrentDebtAndCapitalLeaseObligation,2766000.0,2645000.0,2937000.0,3161000.0
CurrentCapitalLeaseObligation,2766000.0,2645000.0,2937000.0,3161000.0
PensionandOtherPostRetirementBenefitPlansCurrent,7106000.0,4615000.0,2902000.0,7039000.0
PayablesAndAccruedExpenses,12976000.0,16297000.0,21520000.0,18782000.0
CurrentAccruedExpenses,12061000.0,11990000.0,12419000.0,13950000.0
Payables,915000.0,4307000.0,9101000.0,4832000.0
AccountsPayable,915000.0,4307000.0,9101000.0,4832000.0
TotalAssets,283495000.0,319196000.0,350408000.0,386420000.0
TotalNonCurrentAssets,65216000.0,67634000.0,67548000.0,77577000.0
OtherNonCurrentAssets,6084000.0,6699000.0,4981000.0,1608000.0
NonCurrentPrepaidAssets,,,,6600000.0
NetPPE,59132000.0,60935000.0,62567000.0,69369000.0
AccumulatedDepreciation,-12860000.0,-11310000.0,-9789000.0,-8267000.0
GrossPPE,71992000.0,72245000.0,72356000.0,77636000.0
Leases,32457000.0,32457000.0,32457000.0,32457000.0
ConstructionInProgress,46000.0,182000.0,309000.0,422000.0
OtherProperties,31160000.0,31474000.0,31454000.0,36698000.0
MachineryFurnitureEquipment,8329000.0,8132000.0,8136000.0,8059000.0
Properties,0.0,0.0,0.0,0.0
CurrentAssets,218279000.0,251562000.0,282860000.0,308843000.0
OtherCurrentAssets,24371000.0,30460000.0,29458000.0,5318000.0
RestrictedCash,,,803000.0,
PrepaidAssets,,,,23739000.0
CashCashEquivalentsAndShortTermInvestments,193908000.0,221102000.0,252599000.0,279786000.0
OtherShortTermInvestments,123389000.0,153721000.0,158745000.0,192569000.0
CashAndCashEquivalents,70519000.0,67381000.0,93854000.0,87217000.0
CashEquivalents,69310000.0,66754000.0,,
CashFinancial,1209000.0,627000.0,,
