,2023-06-30,2022-12-31
OrdinarySharesNumber,89480804.0,86795838.0
ShareIssued,89480804.0,86795838.0
TotalDebt,679000.0,991000.0
TangibleBookValue,40930000.0,-462898000.0
InvestedCapital,55697000.0,-448120000.0
WorkingCapital,41239000.0,43433000.0
NetTangibleAssets,40930000.0,-462898000.0
CapitalLeaseObligations,679000.0,991000.0
CommonStockEquity,55697000.0,-448120000.0
TotalCapitalization,55697000.0,-448120000.0
TotalEquityGrossMinorityInterest,55697000.0,-448120000.0
StockholdersEquity,55697000.0,-448120000.0
OtherEquityInterest,,10830000.0
GainsLossesNotAffectingRetainedEarnings,19312000.0,3398000.0
OtherEquityAdjustments,,3398000.0
TreasuryStock,0.0,68000.0
RetainedEarnings,-625096000.0,-474600000.0
AdditionalPaidInCapital,661472000.0,12279000.0
CapitalStock,9000.0,41000.0
CommonStock,9000.0,41000.0
TotalLiabilitiesNetMinorityInterest,15681000.0,524595000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,1545000.0,512238000.0
OtherNonCurrentLiabilities,,511861000.0
DerivativeProductLiabilities,1251000.0,
LongTermDebtAndCapitalLeaseObligation,294000.0,377000.0
LongTermCapitalLeaseObligation,294000.0,377000.0
CurrentLiabilities,14136000.0,12357000.0
OtherCurrentLiabilities,,68000.0
CurrentDeferredLiabilities,1000000.0,1000000.0
CurrentDebtAndCapitalLeaseObligation,385000.0,614000.0
CurrentCapitalLeaseObligation,385000.0,614000.0
PayablesAndAccruedExpenses,12751000.0,10675000.0
CurrentAccruedExpenses,5786000.0,4137000.0
Payables,6965000.0,6538000.0
OtherPayable,6018000.0,6538000.0
AccountsPayable,947000.0,
TotalAssets,71378000.0,76475000.0
TotalNonCurrentAssets,16003000.0,20685000.0
NonCurrentPrepaidAssets,119000.0,124000.0
InvestmentsAndAdvances,0.0,4307000.0
OtherInvestments,0.0,4307000.0
GoodwillAndOtherIntangibleAssets,14767000.0,14778000.0
OtherIntangibleAssets,,14778000.0
NetPPE,1117000.0,1476000.0
AccumulatedDepreciation,,-2376000.0
GrossPPE,1117000.0,3852000.0
Leases,,135000.0
OtherProperties,678000.0,
MachineryFurnitureEquipment,439000.0,852000.0
BuildingsAndImprovements,,2865000.0
Properties,,0.0
CurrentAssets,55375000.0,55790000.0
CurrentDeferredAssets,1093000.0,0.0
PrepaidAssets,1159000.0,629000.0
Receivables,507000.0,547000.0
TaxesReceivable,507000.0,547000.0
CashCashEquivalentsAndShortTermInvestments,52616000.0,54614000.0
OtherShortTermInvestments,27320000.0,21939000.0
CashAndCashEquivalents,25296000.0,32675000.0
