,2023-06-30
OrdinarySharesNumber,1569918371.0
ShareIssued,1569918371.0
TotalDebt,152959.0
TangibleBookValue,45365058.0
InvestedCapital,45365058.0
WorkingCapital,3925073.0
NetTangibleAssets,45365058.0
CapitalLeaseObligations,152959.0
CommonStockEquity,45365058.0
TotalCapitalization,45365058.0
TotalEquityGrossMinorityInterest,45365058.0
StockholdersEquity,45365058.0
GainsLossesNotAffectingRetainedEarnings,389358.0
OtherEquityAdjustments,389358.0
RetainedEarnings,-72420854.0
CapitalStock,117396554.0
CommonStock,117396554.0
TotalLiabilitiesNetMinorityInterest,7420133.0
TotalNonCurrentLiabilitiesNetMinorityInterest,5772836.0
LongTermDebtAndCapitalLeaseObligation,49577.0
LongTermCapitalLeaseObligation,49577.0
LongTermProvisions,5723259.0
CurrentLiabilities,1647297.0
CurrentDebtAndCapitalLeaseObligation,103382.0
CurrentCapitalLeaseObligation,103382.0
PensionandOtherPostRetirementBenefitPlansCurrent,14734.0
PayablesAndAccruedExpenses,1529181.0
Payables,1529181.0
AccountsPayable,1529181.0
TotalAssets,52785191.0
TotalNonCurrentAssets,47212821.0
NetPPE,47212821.0
AccumulatedDepreciation,-140430.0
GrossPPE,47353251.0
OtherProperties,47209690.0
MachineryFurnitureEquipment,143561.0
CurrentAssets,5572370.0
PrepaidAssets,69023.0
Receivables,54081.0
OtherReceivables,54081.0
CashCashEquivalentsAndShortTermInvestments,5449266.0
OtherShortTermInvestments,3746250.0
CashAndCashEquivalents,1703016.0
CashFinancial,1703016.0
