,2023-09-30,2023-06-30,2023-03-31,2022-12-31
OrdinarySharesNumber,89675329.0,89404419.0,71877559.0,71819926.0
ShareIssued,89675329.0,89404419.0,71877559.0,71819926.0
TotalDebt,71899000.0,18253000.0,17753000.0,12526000.0
TangibleBookValue,127822000.0,146222000.0,118670000.0,133532000.0
InvestedCapital,186358000.0,150856000.0,123366000.0,138290000.0
WorkingCapital,136170000.0,190905000.0,191563000.0,240514000.0
NetTangibleAssets,127822000.0,146222000.0,118670000.0,133532000.0
CapitalLeaseObligations,13363000.0,13619000.0,13057000.0,7768000.0
CommonStockEquity,127822000.0,146222000.0,118670000.0,133532000.0
TotalCapitalization,186358000.0,150856000.0,123366000.0,138290000.0
TotalEquityGrossMinorityInterest,287222000.0,335877000.0,316929000.0,359826000.0
MinorityInterest,159400000.0,189655000.0,198259000.0,226294000.0
StockholdersEquity,127822000.0,146222000.0,118670000.0,133532000.0
GainsLossesNotAffectingRetainedEarnings,11000.0,158000.0,183000.0,229000.0
OtherEquityAdjustments,11000.0,158000.0,183000.0,229000.0
RetainedEarnings,-157736000.0,-136827000.0,-118419000.0,-102101000.0
AdditionalPaidInCapital,285525000.0,282869000.0,236886000.0,235384000.0
CapitalStock,22000.0,22000.0,20000.0,20000.0
CommonStock,22000.0,22000.0,20000.0,20000.0
TotalLiabilitiesNetMinorityInterest,114908000.0,72590000.0,83795000.0,78546000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,88007000.0,41921000.0,48249000.0,50750000.0
DerivativeProductLiabilities,17492000.0,24973000.0,31448000.0,38946000.0
LongTermDebtAndCapitalLeaseObligation,70515000.0,16948000.0,16801000.0,11804000.0
LongTermCapitalLeaseObligation,11979000.0,12314000.0,12105000.0,7046000.0
LongTermDebt,58536000.0,4634000.0,4696000.0,4758000.0
CurrentLiabilities,26901000.0,30669000.0,35546000.0,27796000.0
OtherCurrentLiabilities,,,,2638000.0
CurrentDeferredLiabilities,,,,2499000.0
CurrentDeferredRevenue,,,,0.0
CurrentDebtAndCapitalLeaseObligation,1384000.0,1305000.0,952000.0,722000.0
CurrentCapitalLeaseObligation,1384000.0,1305000.0,952000.0,722000.0
PayablesAndAccruedExpenses,25517000.0,29364000.0,34594000.0,21937000.0
CurrentAccruedExpenses,17706000.0,24256000.0,23246000.0,8008000.0
Payables,7811000.0,5108000.0,11348000.0,13929000.0
AccountsPayable,7811000.0,5108000.0,11348000.0,13929000.0
TotalAssets,402130000.0,408467000.0,400724000.0,438372000.0
TotalNonCurrentAssets,239059000.0,186893000.0,173615000.0,170062000.0
OtherNonCurrentAssets,1605000.0,1770000.0,1744000.0,1652000.0
NonCurrentPrepaidAssets,,,,14750000.0
GoodwillAndOtherIntangibleAssets,,,,0.0
Goodwill,,,,0.0
NetPPE,237454000.0,185123000.0,171871000.0,153660000.0
AccumulatedDepreciation,-41556000.0,-22508000.0,-8413000.0,-6979000.0
GrossPPE,279010000.0,207631000.0,180284000.0,160639000.0
Leases,9060000.0,9026000.0,8824000.0,8197000.0
ConstructionInProgress,113645000.0,46798000.0,116011000.0,109494000.0
OtherProperties,137744000.0,135800000.0,40277000.0,28177000.0
MachineryFurnitureEquipment,3832000.0,3652000.0,3365000.0,3153000.0
BuildingsAndImprovements,13379000.0,11005000.0,10457000.0,10268000.0
LandAndImprovements,1350000.0,1350000.0,1350000.0,1350000.0
Properties,0.0,0.0,0.0,0.0
CurrentAssets,163071000.0,221574000.0,227109000.0,268310000.0
OtherCurrentAssets,392000.0,497000.0,515000.0,334000.0
RestrictedCash,2416000.0,636000.0,653000.0,668000.0
PrepaidAssets,24587000.0,27312000.0,38642000.0,27047000.0
Inventory,,,,0.0
Receivables,2366000.0,2294000.0,2256000.0,1673000.0
TaxesReceivable,2366000.0,2294000.0,2256000.0,1673000.0
AccountsReceivable,,,,0.0
CashCashEquivalentsAndShortTermInvestments,133310000.0,190835000.0,185043000.0,238588000.0
CashAndCashEquivalents,133310000.0,190835000.0,185043000.0,238588000.0
