,2023-10-31,2023-07-31,2023-04-30,2023-01-31
OrdinarySharesNumber,94206872.0,94206872.0,94206872.0,94206872.0
ShareIssued,94206872.0,94206872.0,94206872.0,94206872.0
TangibleBookValue,1040453.0,1090680.0,1498369.0,1519256.0
InvestedCapital,1040453.0,1090680.0,1498369.0,1519256.0
WorkingCapital,-157360.0,153308.0,502171.0,611156.0
NetTangibleAssets,1040453.0,1090680.0,1498369.0,1519256.0
CommonStockEquity,1040453.0,1090680.0,1498369.0,1519256.0
TotalCapitalization,1040453.0,1090680.0,1498369.0,1519256.0
TotalEquityGrossMinorityInterest,1040453.0,1090680.0,1498369.0,1519256.0
StockholdersEquity,1040453.0,1090680.0,1498369.0,1519256.0
RetainedEarnings,-10663824.0,-10613597.0,-10532575.0,-10511688.0
AdditionalPaidInCapital,1210038.0,1210038.0,1200838.0,1200838.0
CapitalStock,10494239.0,10494239.0,10830106.0,10830106.0
CommonStock,10494239.0,10494239.0,10830106.0,10830106.0
TotalLiabilitiesNetMinorityInterest,556699.0,468892.0,185486.0,209430.0
TotalNonCurrentLiabilitiesNetMinorityInterest,0.0,0.0,0.0,0.0
CurrentLiabilities,556699.0,468892.0,185486.0,209430.0
OtherCurrentLiabilities,332329.0,332329.0,33218.0,33218.0
PayablesAndAccruedExpenses,224370.0,136563.0,152268.0,176212.0
Payables,224370.0,136563.0,152268.0,176212.0
DuetoRelatedPartiesCurrent,109387.0,108678.0,113894.0,133534.0
AccountsPayable,114983.0,27885.0,38374.0,42678.0
TotalAssets,1597152.0,1559572.0,1683855.0,1728686.0
TotalNonCurrentAssets,1197813.0,937372.0,996198.0,908100.0
OtherNonCurrentAssets,10000.0,10000.0,10000.0,10000.0
NetPPE,1187813.0,927372.0,986198.0,898100.0
CurrentAssets,399339.0,622200.0,687657.0,820586.0
OtherCurrentAssets,-1.0,,,
Receivables,46286.0,6601.0,4410.0,75845.0
AccountsReceivable,46286.0,6601.0,4410.0,75845.0
CashCashEquivalentsAndShortTermInvestments,353054.0,615599.0,683247.0,744741.0
CashAndCashEquivalents,353054.0,615599.0,683247.0,744741.0
CashFinancial,353054.0,615599.0,683247.0,744741.0
