,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TreasurySharesNumber,0.0,,,
OrdinarySharesNumber,253479290.0,249479290.0,249479290.0,247929290.0
ShareIssued,253479290.0,249479290.0,249479290.0,247929290.0
NetDebt,429445.0,421180.0,366160.0,143282.0
TotalDebt,452920.0,443540.0,453356.0,453724.0
TangibleBookValue,683771.0,891691.0,965235.0,1264581.0
InvestedCapital,1136691.0,1335231.0,1418591.0,1718305.0
WorkingCapital,-1011039.0,-851519.0,-678448.0,-447243.0
NetTangibleAssets,683771.0,891691.0,965235.0,1264581.0
CommonStockEquity,683771.0,891691.0,965235.0,1264581.0
TotalCapitalization,683771.0,891691.0,965235.0,1264581.0
TotalEquityGrossMinorityInterest,683771.0,891691.0,965235.0,1264581.0
StockholdersEquity,683771.0,891691.0,965235.0,1264581.0
GainsLossesNotAffectingRetainedEarnings,11943563.0,11922121.0,11922121.0,11637428.0
RetainedEarnings,-40408001.0,-40141081.0,-40067537.0,-39444210.0
CapitalStock,29148209.0,29110651.0,29110651.0,29071363.0
CommonStock,29148209.0,29110651.0,29110651.0,29071363.0
TotalLiabilitiesNetMinorityInterest,1586957.0,1432320.0,1308915.0,1256764.0
TotalNonCurrentLiabilitiesNetMinorityInterest,0.0,20391.0,0.0,0.0
CurrentLiabilities,1586957.0,1411929.0,1308915.0,1256764.0
OtherCurrentLiabilities,98028.0,102725.0,107366.0,114268.0
CurrentDeferredLiabilities,24615.0,23482.0,25491.0,25574.0
CurrentDeferredRevenue,24615.0,23482.0,25491.0,25574.0
CurrentDebtAndCapitalLeaseObligation,452920.0,443540.0,453356.0,453724.0
CurrentDebt,452920.0,443540.0,453356.0,453724.0
OtherCurrentBorrowings,452920.0,443540.0,453356.0,453724.0
PayablesAndAccruedExpenses,1011394.0,842182.0,722702.0,663198.0
CurrentAccruedExpenses,393149.0,342425.0,362270.0,354326.0
Payables,618245.0,499757.0,360432.0,308872.0
OtherPayable,30000.0,,,
TotalTaxPayable,118150.0,118150.0,118150.0,118150.0
AccountsPayable,470095.0,381607.0,242282.0,190722.0
TotalAssets,2270728.0,2324011.0,2274150.0,2521345.0
TotalNonCurrentAssets,1694810.0,1763603.0,1643683.0,1711824.0
OtherNonCurrentAssets,199692.0,199762.0,11700.0,11700.0
NetPPE,1495118.0,1563841.0,1631983.0,1700124.0
AccumulatedDepreciation,-1558622.0,-1489899.0,-1421757.0,-1353616.0
GrossPPE,3053740.0,3053740.0,3053740.0,3053740.0
OtherProperties,2487481.0,2487481.0,2487481.0,2487481.0
MachineryFurnitureEquipment,13036.0,13036.0,13036.0,13036.0
BuildingsAndImprovements,200153.0,200153.0,200153.0,200153.0
LandAndImprovements,114954.0,114954.0,114954.0,114954.0
CurrentAssets,575918.0,560410.0,630467.0,809521.0
PrepaidAssets,505072.0,488942.0,495062.0,494702.0
Receivables,47371.0,49108.0,48209.0,4377.0
OtherReceivables,44000.0,44000.0,44000.0,
TaxesReceivable,3371.0,5108.0,4209.0,4377.0
CashCashEquivalentsAndShortTermInvestments,23475.0,22360.0,87196.0,310442.0
CashAndCashEquivalents,23475.0,22360.0,87196.0,310442.0
CashFinancial,23475.0,22360.0,87196.0,310442.0
