,2023-08-31
NetDebt,363847.0
TotalDebt,368124.0
TangibleBookValue,-689453.0
InvestedCapital,-321329.0
WorkingCapital,-656232.0
NetTangibleAssets,-680232.0
CommonStockEquity,-689453.0
PreferredStockEquity,9221.0
TotalCapitalization,-656232.0
TotalEquityGrossMinorityInterest,-680232.0
StockholdersEquity,-680232.0
OtherEquityInterest,25000.0
RetainedEarnings,-4079801.0
AdditionalPaidInCapital,3262189.0
CapitalStock,112380.0
CommonStock,103159.0
PreferredStock,9221.0
TotalLiabilitiesNetMinorityInterest,801840.0
TotalNonCurrentLiabilitiesNetMinorityInterest,24000.0
LongTermDebtAndCapitalLeaseObligation,24000.0
LongTermDebt,24000.0
CurrentLiabilities,777840.0
CurrentDebtAndCapitalLeaseObligation,344124.0
CurrentDebt,344124.0
OtherCurrentBorrowings,344124.0
PayablesAndAccruedExpenses,433716.0
CurrentAccruedExpenses,251671.0
InterestPayable,94171.0
Payables,182045.0
AccountsPayable,182045.0
TotalAssets,121608.0
TotalNonCurrentAssets,0.0
CurrentAssets,121608.0
Inventory,117331.0
CashCashEquivalentsAndShortTermInvestments,4277.0
CashAndCashEquivalents,4277.0
CashFinancial,4277.0
