,2022-12-31
OrdinarySharesNumber,1586170058.0
ShareIssued,1586170058.0
TangibleBookValue,18729281.0
InvestedCapital,18729281.0
WorkingCapital,6118654.0
NetTangibleAssets,18729281.0
CommonStockEquity,18729281.0
TotalCapitalization,18729281.0
TotalEquityGrossMinorityInterest,18729281.0
StockholdersEquity,18729281.0
GainsLossesNotAffectingRetainedEarnings,4138868.0
OtherEquityAdjustments,4084830.0
ForeignCurrencyTranslationAdjustments,54038.0
RetainedEarnings,-11844919.0
CapitalStock,26435332.0
CommonStock,26435332.0
TotalLiabilitiesNetMinorityInterest,878042.0
TotalNonCurrentLiabilitiesNetMinorityInterest,5665.0
EmployeeBenefits,5665.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,5665.0
CurrentLiabilities,872377.0
PensionandOtherPostRetirementBenefitPlansCurrent,94885.0
CurrentProvisions,133842.0
PayablesAndAccruedExpenses,643650.0
Payables,643650.0
AccountsPayable,643650.0
TotalAssets,19607323.0
TotalNonCurrentAssets,12616292.0
InvestmentsAndAdvances,143365.0
OtherInvestments,143365.0
NetPPE,12472927.0
AccumulatedDepreciation,-14289.0
GrossPPE,12487216.0
OtherProperties,12459717.0
MachineryFurnitureEquipment,27499.0
CurrentAssets,6991031.0
PrepaidAssets,140971.0
Receivables,25855.0
OtherReceivables,25855.0
CashCashEquivalentsAndShortTermInvestments,6824205.0
CashAndCashEquivalents,6824205.0
CashFinancial,6824205.0
