,2023-09-30,2023-06-30,2023-03-31,2022-12-31
OrdinarySharesNumber,118664094.0,118664094.0,118664094.0,118664094.0
ShareIssued,118664094.0,118664094.0,118664094.0,118664094.0
NetDebt,17272872.0,17131930.0,16531511.0,15219099.0
TotalDebt,21351764.0,21766585.0,22898736.0,22540136.0
TangibleBookValue,-19701135.0,-19644450.0,-17854400.0,-15595829.0
InvestedCapital,18156289.0,19214002.0,21447878.0,23135975.0
WorkingCapital,-7677729.0,-4845027.0,-2582838.0,-1188927.0
NetTangibleAssets,-18627689.0,-18571004.0,-16780954.0,-14522383.0
CapitalLeaseObligations,3827201.0,3990687.0,4907063.0,4737204.0
CommonStockEquity,631726.0,1438104.0,3456205.0,5333043.0
PreferredStockEquity,1073446.0,1073446.0,1073446.0,1073446.0
TotalCapitalization,14815578.0,18408275.0,20642151.0,22306077.0
TotalEquityGrossMinorityInterest,1705172.0,2511550.0,4529651.0,6406489.0
StockholdersEquity,1705172.0,2511550.0,4529651.0,6406489.0
RetainedEarnings,-98139894.0,-97324771.0,-95288616.0,-93384382.0
AdditionalPaidInCapital,98652956.0,98644211.0,98626157.0,98598761.0
CapitalStock,1192110.0,1192110.0,1192110.0,1192110.0
CommonStock,118664.0,118664.0,118664.0,118664.0
PreferredStock,1073446.0,1073446.0,1073446.0,1073446.0
TotalLiabilitiesNetMinorityInterest,25796462.0,26856663.0,26897713.0,25288224.0
TotalNonCurrentLiabilitiesNetMinorityInterest,15641883.0,18644310.0,20116124.0,19147831.0
NonCurrentAccruedExpenses,,60000.0,,
LongTermDebtAndCapitalLeaseObligation,15641883.0,18584310.0,20116124.0,19147831.0
LongTermCapitalLeaseObligation,2531477.0,2687585.0,4003624.0,3248243.0
LongTermDebt,13110406.0,15896725.0,16112500.0,15899588.0
CurrentLiabilities,10154579.0,8212353.0,6781589.0,6140393.0
OtherCurrentLiabilities,3149.0,289.0,4201.0,5508.0
CurrentDebtAndCapitalLeaseObligation,5709881.0,3182275.0,2782612.0,3392305.0
CurrentCapitalLeaseObligation,1295724.0,1303102.0,903439.0,1488961.0
CurrentDebt,4414157.0,1879173.0,1879173.0,1903344.0
OtherCurrentBorrowings,4414157.0,1879173.0,1879173.0,1903344.0
PayablesAndAccruedExpenses,4441549.0,5029789.0,3994776.0,2742580.0
CurrentAccruedExpenses,1389617.0,1071157.0,909699.0,1279307.0
InterestPayable,1275617.0,981157.0,909699.0,488813.0
Payables,3051932.0,3958632.0,3085077.0,1463273.0
OtherPayable,60900.0,60900.0,60900.0,60900.0
DividendsPayable,106200.0,106200.0,106200.0,88500.0
TotalTaxPayable,290659.0,290659.0,290659.0,204917.0
IncomeTaxPayable,290659.0,290659.0,290659.0,204917.0
AccountsPayable,2594173.0,3500873.0,2627318.0,1108956.0
TotalAssets,27501634.0,29368213.0,31427364.0,31694713.0
TotalNonCurrentAssets,25024784.0,26000887.0,27228613.0,26743247.0
OtherNonCurrentAssets,,,,13000.0
GoodwillAndOtherIntangibleAssets,20332861.0,21082554.0,21310605.0,20928872.0
OtherIntangibleAssets,1947887.0,2697580.0,2925631.0,2543898.0
Goodwill,18384974.0,18384974.0,18384974.0,18384974.0
NetPPE,4691923.0,4918333.0,5918008.0,5801375.0
AccumulatedDepreciation,,,,-419903.0
GrossPPE,4691923.0,4918333.0,5918008.0,6221278.0
OtherProperties,4691923.0,4918333.0,5918008.0,3970223.0
MachineryFurnitureEquipment,,,,1484432.0
BuildingsAndImprovements,,,,766623.0
Properties,,,,0.0
CurrentAssets,2476850.0,3367326.0,4198751.0,4951466.0
OtherCurrentAssets,441728.0,280070.0,262633.0,32899.0
PrepaidAssets,,,,226699.0
Inventory,1578253.0,2329236.0,2413115.0,2066662.0
InventoriesAdjustmentsAllowances,-53140.0,-53140.0,,
WorkInProcess,1622510.0,2373493.0,2404232.0,2057779.0
RawMaterials,8883.0,8883.0,8883.0,8883.0
Receivables,205178.0,114052.0,62841.0,41373.0
NotesReceivable,,,,0.0
AccountsReceivable,205178.0,114052.0,62841.0,41373.0
AllowanceForDoubtfulAccountsReceivable,-42000.0,-42000.0,-42000.0,-42000.0
GrossAccountsReceivable,247178.0,156052.0,104841.0,83373.0
CashCashEquivalentsAndShortTermInvestments,251691.0,643968.0,1460162.0,2583833.0
CashAndCashEquivalents,251691.0,643968.0,1460162.0,2583833.0
CashFinancial,251691.0,643968.0,1460162.0,2583833.0
