,2023-11-30,2023-08-31,2023-05-31,2023-02-28
OrdinarySharesNumber,42056662.0,41339996.0,26574618.0,24233683.0
ShareIssued,42056662.0,41339996.0,26574618.0,24233683.0
TotalDebt,,10000.0,,
TangibleBookValue,5942629.0,6422264.0,5641169.0,5997453.0
InvestedCapital,5942629.0,6432264.0,5641169.0,5997453.0
WorkingCapital,69262.0,592100.0,14238.0,373648.0
NetTangibleAssets,5942629.0,6422264.0,5641169.0,5997453.0
CommonStockEquity,5942629.0,6422264.0,5641169.0,5997453.0
TotalCapitalization,5942629.0,6422264.0,5641169.0,5997453.0
TotalEquityGrossMinorityInterest,5942629.0,6422264.0,5641169.0,5997453.0
StockholdersEquity,5942629.0,6422264.0,5641169.0,5997453.0
GainsLossesNotAffectingRetainedEarnings,4839802.0,4579493.0,4073466.0,3797026.0
RetainedEarnings,-17557532.0,-16633939.0,-16160549.0,-15194332.0
CapitalStock,18660359.0,18476710.0,17728252.0,17394759.0
CommonStock,18660359.0,18476710.0,17728252.0,17394759.0
TotalLiabilitiesNetMinorityInterest,326935.0,533590.0,400267.0,642273.0
TotalNonCurrentLiabilitiesNetMinorityInterest,0.0,0.0,0.0,0.0
CurrentLiabilities,326935.0,533590.0,400267.0,642273.0
CurrentDebtAndCapitalLeaseObligation,,10000.0,,
CurrentDebt,,10000.0,,
PayablesAndAccruedExpenses,326935.0,523590.0,400267.0,642273.0
TotalAssets,6269564.0,6955854.0,6041436.0,6639726.0
TotalNonCurrentAssets,5873367.0,5830164.0,5626931.0,5623805.0
OtherNonCurrentAssets,40000.0,40000.0,40000.0,40000.0
NetPPE,5833367.0,5790164.0,5586931.0,5583805.0
AccumulatedDepreciation,,,,-6892.0
GrossPPE,,,,5590697.0
OtherProperties,,,,5580870.0
MachineryFurnitureEquipment,,,,9827.0
CurrentAssets,396197.0,1125690.0,414505.0,1015921.0
PrepaidAssets,140694.0,375600.0,253258.0,329530.0
Receivables,117189.0,101460.0,75712.0,123551.0
LoansReceivable,50000.0,50000.0,50000.0,50000.0
AccountsReceivable,67189.0,51460.0,25712.0,73551.0
CashCashEquivalentsAndShortTermInvestments,138314.0,648630.0,85535.0,562840.0
CashAndCashEquivalents,138314.0,648630.0,85535.0,562840.0
CashFinancial,138314.0,648630.0,85535.0,562840.0
