,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TreasurySharesNumber,0.0,,,,
OrdinarySharesNumber,89237465.0,88327207.0,88233766.0,86624643.0,86624643.0
ShareIssued,89237465.0,88327207.0,88233766.0,86624643.0,86624643.0
TotalDebt,1351000.0,1410000.0,1601000.0,1789000.0,1925000.0
TangibleBookValue,65559000.0,53227000.0,62001000.0,69214000.0,77680000.0
InvestedCapital,65559000.0,,,,77680000.0
WorkingCapital,88313000.0,49894000.0,58598000.0,65722000.0,74206000.0
NetTangibleAssets,65559000.0,53227000.0,62001000.0,69214000.0,77680000.0
CapitalLeaseObligations,1351000.0,1410000.0,1601000.0,1789000.0,1925000.0
CommonStockEquity,65559000.0,53227000.0,62001000.0,69214000.0,77680000.0
TotalCapitalization,65559000.0,53227000.0,62001000.0,69214000.0,77680000.0
TotalEquityGrossMinorityInterest,65559000.0,53227000.0,62001000.0,69214000.0,77680000.0
StockholdersEquity,65559000.0,53227000.0,62001000.0,69214000.0,77680000.0
GainsLossesNotAffectingRetainedEarnings,2000.0,,,,0.0
OtherEquityAdjustments,2000.0,,,,
RetainedEarnings,-474527000.0,,,,-455773000.0
AdditionalPaidInCapital,539837000.0,,,,533213000.0
CapitalStock,247000.0,,,,240000.0
CommonStock,247000.0,,,,240000.0
TotalLiabilitiesNetMinorityInterest,55775000.0,14384000.0,15054000.0,15105000.0,16496000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,29509000.0,4008000.0,4253000.0,4386000.0,4577000.0
EmployeeBenefits,3398000.0,3190000.0,3262000.0,3214000.0,3265000.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,3398000.0,3190000.0,3262000.0,3214000.0,3265000.0
NonCurrentDeferredLiabilities,25392000.0,,,,0.0
NonCurrentDeferredRevenue,25392000.0,,,,0.0
LongTermDebtAndCapitalLeaseObligation,719000.0,818000.0,991000.0,1172000.0,1312000.0
LongTermCapitalLeaseObligation,719000.0,818000.0,991000.0,1172000.0,1312000.0
CurrentLiabilities,26266000.0,10376000.0,10801000.0,10719000.0,11919000.0
CurrentDeferredLiabilities,11149000.0,0.0,0.0,0.0,325000.0
CurrentDeferredRevenue,11149000.0,,,,0.0
CurrentDebtAndCapitalLeaseObligation,632000.0,592000.0,610000.0,617000.0,613000.0
CurrentCapitalLeaseObligation,632000.0,592000.0,610000.0,617000.0,613000.0
PensionandOtherPostRetirementBenefitPlansCurrent,3125000.0,,,,2812000.0
PayablesAndAccruedExpenses,11360000.0,9784000.0,10191000.0,10102000.0,8169000.0
CurrentAccruedExpenses,7858000.0,,,,6396000.0
Payables,3502000.0,,,,1773000.0
AccountsPayable,3502000.0,,,,1773000.0
TotalAssets,121334000.0,67611000.0,77055000.0,84319000.0,94176000.0
TotalNonCurrentAssets,6755000.0,7341000.0,7656000.0,7878000.0,8051000.0
DefinedPensionBenefit,2977000.0,2772000.0,2788000.0,2762000.0,2794000.0
NonCurrentPrepaidAssets,1233000.0,1906000.0,1912000.0,1908000.0,1899000.0
NetPPE,2545000.0,2663000.0,2956000.0,3208000.0,3358000.0
AccumulatedDepreciation,-5356000.0,,,,-6230000.0
GrossPPE,7901000.0,2663000.0,2956000.0,3208000.0,9588000.0
Leases,2314000.0,,,,2314000.0
OtherProperties,1329000.0,2663000.0,2956000.0,3208000.0,1826000.0
MachineryFurnitureEquipment,4258000.0,,,,5448000.0
Properties,0.0,,,,0.0
CurrentAssets,114579000.0,60270000.0,69399000.0,76441000.0,86125000.0
RestrictedCash,365000.0,,,,362000.0
PrepaidAssets,2211000.0,,,,2100000.0
Receivables,61318000.0,2763000.0,2865000.0,2123000.0,317000.0
OtherReceivables,318000.0,2763000.0,2865000.0,2123000.0,317000.0
AccountsReceivable,61000000.0,,,,0.0
CashCashEquivalentsAndShortTermInvestments,50685000.0,57507000.0,66534000.0,74318000.0,83346000.0
OtherShortTermInvestments,36795000.0,9725000.0,4551000.0,,72287000.0
CashAndCashEquivalents,13890000.0,47782000.0,61983000.0,,11059000.0
