,2023-06-30,2022-12-31
OrdinarySharesNumber,12390000.0,12390000.0
ShareIssued,12390000.0,12390000.0
TotalDebt,14529141.0,14825427.0
TangibleBookValue,12126790.0,1177049.0
InvestedCapital,12540264.0,1612008.0
WorkingCapital,-5398300.0,-7065789.0
NetTangibleAssets,12126790.0,1177049.0
CapitalLeaseObligations,14115667.0,14390468.0
CommonStockEquity,12126790.0,1177049.0
TotalCapitalization,12126790.0,1177049.0
TotalEquityGrossMinorityInterest,12126790.0,1177049.0
StockholdersEquity,12126790.0,1177049.0
GainsLossesNotAffectingRetainedEarnings,176624.0,482491.0
OtherEquityAdjustments,176624.0,482491.0
RetainedEarnings,100918.0,-183842.0
AdditionalPaidInCapital,11836858.0,869400.0
CapitalStock,12390.0,9000.0
CommonStock,12390.0,9000.0
TotalLiabilitiesNetMinorityInterest,24426976.0,26152137.0
TotalNonCurrentLiabilitiesNetMinorityInterest,11970348.0,12620070.0
LongTermDebtAndCapitalLeaseObligation,11970348.0,12620070.0
LongTermCapitalLeaseObligation,11970348.0,12620070.0
CurrentLiabilities,12456628.0,13532067.0
OtherCurrentLiabilities,1012041.0,1014452.0
CurrentDeferredLiabilities,7114127.0,6958160.0
CurrentDeferredRevenue,7114127.0,6958160.0
CurrentDebtAndCapitalLeaseObligation,2558793.0,2205357.0
CurrentCapitalLeaseObligation,2145319.0,1770398.0
CurrentDebt,413474.0,434959.0
LineOfCredit,413474.0,434959.0
PayablesAndAccruedExpenses,1771667.0,3354098.0
Payables,1771667.0,3354098.0
DuetoRelatedPartiesCurrent,186388.0,1798605.0
TotalTaxPayable,20338.0,130727.0
IncomeTaxPayable,-11112.0,-3404.0
AccountsPayable,1564941.0,1424766.0
TotalAssets,36553766.0,27329186.0
TotalNonCurrentAssets,29495438.0,20862908.0
NonCurrentPrepaidAssets,2245864.0,1069308.0
NonCurrentNoteReceivables,2021452.0,
InvestmentsAndAdvances,6171616.0,
NetPPE,19056506.0,19793600.0
AccumulatedDepreciation,-2993748.0,-2717528.0
GrossPPE,22050254.0,22511128.0
Leases,6117012.0,6289217.0
ConstructionInProgress,,0.0
OtherProperties,15198721.0,15540183.0
MachineryFurnitureEquipment,734521.0,681728.0
Properties,0.0,0.0
CurrentAssets,7058328.0,6466278.0
OtherCurrentAssets,3071216.0,
CurrentDeferredAssets,0.0,763611.0
PrepaidAssets,,729964.0
Inventory,577867.0,693506.0
OtherInventories,63893.0,60904.0
FinishedGoods,94983.0,91913.0
RawMaterials,418991.0,540689.0
Receivables,1937261.0,1363727.0
OtherReceivables,,103274.0
AccountsReceivable,1937261.0,1260453.0
AllowanceForDoubtfulAccountsReceivable,0.0,0.0
GrossAccountsReceivable,1937261.0,1260453.0
CashCashEquivalentsAndShortTermInvestments,1471984.0,2915470.0
CashAndCashEquivalents,1471984.0,2915470.0
