,2023-06-30,2022-12-31
OrdinarySharesNumber,2405000.0,2405000.0
ShareIssued,2405000.0,2405000.0
NetDebt,2378806.0,4234347.0
TotalDebt,5234864.0,5750806.0
TangibleBookValue,26615777.0,45036956.0
InvestedCapital,31865411.0,52548970.0
WorkingCapital,19426168.0,28849677.0
NetTangibleAssets,26615777.0,45036956.0
CapitalLeaseObligations,104749.0,357312.0
CommonStockEquity,26735296.0,47155476.0
TotalCapitalization,26735296.0,47329460.0
TotalEquityGrossMinorityInterest,26178148.0,47376944.0
MinorityInterest,-557148.0,221468.0
StockholdersEquity,26735296.0,47155476.0
OtherEquityInterest,-15441.0,-15441.0
GainsLossesNotAffectingRetainedEarnings,-107644.0,784500.0
OtherEquityAdjustments,-107644.0,784500.0
RetainedEarnings,-13339929.0,6204644.0
AdditionalPaidInCapital,40174260.0,40157723.0
CapitalStock,24050.0,24050.0
CommonStock,24050.0,24050.0
TotalLiabilitiesNetMinorityInterest,12867180.0,13789526.0
TotalNonCurrentLiabilitiesNetMinorityInterest,39634.0,329066.0
LongTermDebtAndCapitalLeaseObligation,39634.0,329066.0
LongTermCapitalLeaseObligation,39634.0,155082.0
LongTermDebt,,173984.0
CurrentLiabilities,12827546.0,13460460.0
CurrentDeferredLiabilities,393003.0,770697.0
CurrentDeferredRevenue,393003.0,770697.0
CurrentDebtAndCapitalLeaseObligation,5195230.0,5421740.0
CurrentCapitalLeaseObligation,65115.0,202230.0
CurrentDebt,5130115.0,5219510.0
OtherCurrentBorrowings,1158413.0,1217886.0
LineOfCredit,3971702.0,4001624.0
PayablesAndAccruedExpenses,7239313.0,7268023.0
Payables,7239313.0,7268023.0
OtherPayable,215042.0,299595.0
DuetoRelatedPartiesCurrent,0.0,14783.0
TotalTaxPayable,4327182.0,4761288.0
IncomeTaxPayable,3495646.0,3788929.0
AccountsPayable,2697089.0,2192357.0
TotalAssets,39045328.0,61166470.0
TotalNonCurrentAssets,6791614.0,18856333.0
OtherNonCurrentAssets,41372.0,13594998.0
NonCurrentPrepaidAssets,5701217.0,781054.0
NonCurrentDeferredAssets,0.0,517835.0
NonCurrentDeferredTaxesAssets,0.0,517835.0
GoodwillAndOtherIntangibleAssets,119519.0,2118520.0
OtherIntangibleAssets,119519.0,2118520.0
NetPPE,929506.0,1843926.0
AccumulatedDepreciation,-667273.0,-77401.0
GrossPPE,1596779.0,1921327.0
Leases,939825.0,988076.0
OtherProperties,84892.0,336356.0
MachineryFurnitureEquipment,115314.0,116697.0
BuildingsAndImprovements,456748.0,480198.0
Properties,0.0,0.0
CurrentAssets,32253714.0,42310137.0
CurrentDeferredAssets,683.0,1084845.0
PrepaidAssets,8864972.0,10740538.0
Receivables,19750926.0,26621738.0
OtherReceivables,95309.0,110556.0
DuefromRelatedPartiesCurrent,13280.0,1385635.0
AccountsReceivable,19642337.0,25125547.0
AllowanceForDoubtfulAccountsReceivable,-4358037.0,-2056827.0
GrossAccountsReceivable,24000374.0,27182374.0
CashCashEquivalentsAndShortTermInvestments,3637133.0,3863016.0
OtherShortTermInvestments,885824.0,2703869.0
CashAndCashEquivalents,2751309.0,1159147.0
CashFinancial,2751309.0,1159147.0
