,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TreasurySharesNumber,0.0,,,
OrdinarySharesNumber,184370469.0,184370469.0,184370469.0,184370469.0
ShareIssued,184370469.0,184370469.0,184370469.0,184370469.0
NetDebt,8567387.0,8557745.0,8627696.0,8630123.0
TotalDebt,8632574.0,8612842.0,8629019.0,8631527.0
TangibleBookValue,-373483878.0,-38010563.0,-35744762.0,-36201845.0
InvestedCapital,-364851304.0,-29397721.0,-27115743.0,-27570318.0
WorkingCapital,-373481058.0,-38007743.0,-35741942.0,-36199026.0
NetTangibleAssets,-373481058.0,-38007743.0,-35741943.0,-36199026.0
CommonStockEquity,-373483878.0,-38010563.0,-35744762.0,-36201845.0
PreferredStockEquity,2820.0,2820.0,2819.0,2819.0
TotalCapitalization,-373481058.0,-38007743.0,-35741943.0,-36199026.0
TotalEquityGrossMinorityInterest,-373481058.0,-38007743.0,-35741943.0,-36199026.0
StockholdersEquity,-373481058.0,-38007743.0,-35741943.0,-36199026.0
RetainedEarnings,-435452650.0,-99717335.0,-97129534.0,-96496618.0
AdditionalPaidInCapital,61784401.0,61522401.0,61200401.0,60110402.0
CapitalStock,187191.0,187191.0,187190.0,187190.0
CommonStock,184371.0,184371.0,184371.0,184371.0
PreferredStock,2820.0,2820.0,2819.0,2819.0
TotalLiabilitiesNetMinorityInterest,373551245.0,38067840.0,35748266.0,36205430.0
TotalNonCurrentLiabilitiesNetMinorityInterest,0.0,0.0,1.0,0.0
OtherNonCurrentLiabilities,,,1.0,
CurrentLiabilities,373551245.0,38067840.0,35748265.0,36205430.0
OtherCurrentLiabilities,343137562.0,8384880.0,6724851.0,6998262.0
CurrentDebtAndCapitalLeaseObligation,8632574.0,8612842.0,8629019.0,8631527.0
CurrentDebt,8632574.0,8612842.0,8629019.0,8631527.0
OtherCurrentBorrowings,2687673.0,6318672.0,6334849.0,6302054.0
CurrentNotesPayable,5944901.0,2294170.0,2294170.0,2329473.0
PayablesAndAccruedExpenses,21781109.0,21070118.0,20394395.0,20575641.0
Payables,21781109.0,21070118.0,20394395.0,20575641.0
OtherPayable,,,,57760.0
DuetoRelatedPartiesCurrent,61738.0,62008.0,62278.0,57760.0
AccountsPayable,21719371.0,21008110.0,20332117.0,20517881.0
TotalAssets,70187.0,60097.0,6323.0,6404.0
TotalNonCurrentAssets,0.0,0.0,0.0,0.0
CurrentAssets,70187.0,60097.0,6323.0,6404.0
PrepaidAssets,5000.0,5000.0,5000.0,5000.0
CashCashEquivalentsAndShortTermInvestments,65187.0,55097.0,1323.0,1404.0
CashAndCashEquivalents,65187.0,55097.0,1323.0,1404.0
CashFinancial,65187.0,55097.0,1323.0,1404.0
