,2023-09-30,2023-06-30,2023-03-31,2022-12-31
OrdinarySharesNumber,86038098.0,75760321.0,75710321.0,73390321.0
ShareIssued,86038098.0,75760321.0,75710321.0,73390321.0
NetDebt,12551772.0,11573606.0,6867826.0,6882875.0
TotalDebt,12670017.0,11749729.0,6967687.0,6984603.0
TangibleBookValue,-784303.0,-650217.0,-563852.0,-366133.0
InvestedCapital,11885714.0,11099512.0,6403835.0,6618470.0
WorkingCapital,-6131916.0,-5443413.0,-5044554.0,-4846835.0
NetTangibleAssets,-784303.0,-650217.0,-563852.0,-366133.0
CommonStockEquity,-784303.0,-650217.0,-563852.0,-366133.0
TotalCapitalization,7049759.0,6692598.0,2204021.0,2401740.0
TotalEquityGrossMinorityInterest,-784303.0,-650217.0,-563852.0,-366133.0
StockholdersEquity,-784303.0,-650217.0,-563852.0,-366133.0
OtherEquityInterest,40000.0,10000.0,10000.0,10000.0
RetainedEarnings,-60798004.0,-60433918.0,-60345053.0,-60097918.0
AdditionalPaidInCapital,59887663.0,59697941.0,59695491.0,59648395.0
CapitalStock,86038.0,75760.0,75710.0,73390.0
CommonStock,86038.0,75760.0,75710.0,73390.0
PreferredStock,0.0,0.0,0.0,0.0
TotalLiabilitiesNetMinorityInterest,14084223.0,13122855.0,8243157.0,7950451.0
TotalNonCurrentLiabilitiesNetMinorityInterest,7834062.0,7342815.0,2767875.0,2767874.0
OtherNonCurrentLiabilities,,,2.0,1.0
LongTermDebtAndCapitalLeaseObligation,7834062.0,7342815.0,2767873.0,2767873.0
LongTermDebt,7834062.0,7342815.0,2767873.0,2767873.0
CurrentLiabilities,6250161.0,5780040.0,5475282.0,5182577.0
OtherCurrentLiabilities,747070.0,747071.0,747070.0,747070.0
CurrentDeferredLiabilities,29276.0,,,
CurrentDeferredRevenue,29276.0,,,
CurrentDebtAndCapitalLeaseObligation,4835955.0,4406914.0,4199814.0,4216730.0
CurrentDebt,4835955.0,4406914.0,4199814.0,4216730.0
OtherCurrentBorrowings,3283806.0,3257265.0,3115265.0,3107765.0
LineOfCredit,879549.0,879549.0,879549.0,928965.0
CurrentNotesPayable,672600.0,270100.0,205000.0,180000.0
PayablesAndAccruedExpenses,637860.0,626055.0,528398.0,218777.0
CurrentAccruedExpenses,400311.0,363006.0,291443.0,129098.0
InterestPayable,158385.0,122896.0,87408.0,60496.0
Payables,237549.0,263049.0,236955.0,89679.0
OtherPayable,,,,3831.0
AccountsPayable,237549.0,263049.0,236955.0,85848.0
TotalAssets,13299920.0,12472638.0,7679305.0,7584318.0
TotalNonCurrentAssets,13181676.0,12136012.0,7248577.0,7248577.0
NonCurrentPrepaidAssets,607983.0,593927.0,1096881.0,
InvestmentProperties,20696.0,20696.0,20696.0,7248577.0
NetPPE,12552997.0,11521389.0,6131000.0,
GrossPPE,12552997.0,11521389.0,6131000.0,
ConstructionInProgress,12552997.0,11521389.0,6131000.0,
CurrentAssets,118245.0,336627.0,430728.0,335742.0
OtherCurrentAssets,,,170363.0,73510.0
RestrictedCash,0.0,160504.0,160504.0,160504.0
CashCashEquivalentsAndShortTermInvestments,118245.0,176123.0,99861.0,101728.0
CashAndCashEquivalents,118245.0,176123.0,99861.0,101728.0
CashFinancial,118245.0,176123.0,99861.0,101728.0
