,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TreasurySharesNumber,,0.0,,,
OrdinarySharesNumber,463878000.0,458410000.0,455800000.0,452067000.0,450367000.0
ShareIssued,463878000.0,458410000.0,455800000.0,452067000.0,450367000.0
TotalDebt,20733000.0,20048000.0,16134000.0,15880000.0,13080000.0
TangibleBookValue,557214000.0,530137000.0,504720000.0,468824000.0,450743000.0
InvestedCapital,567723000.0,549503000.0,520100000.0,483901000.0,458801000.0
WorkingCapital,112595000.0,146720000.0,134017000.0,118433000.0,108422000.0
NetTangibleAssets,557214000.0,530137000.0,504720000.0,468824000.0,450743000.0
CapitalLeaseObligations,627000.0,682000.0,754000.0,803000.0,835000.0
CommonStockEquity,557214000.0,530137000.0,504720000.0,468824000.0,450743000.0
TotalCapitalization,567723000.0,540999000.0,513690000.0,478315000.0,458801000.0
TotalEquityGrossMinorityInterest,557214000.0,530137000.0,504720000.0,468824000.0,450743000.0
StockholdersEquity,557214000.0,530137000.0,504720000.0,468824000.0,450743000.0
GainsLossesNotAffectingRetainedEarnings,12677000.0,938000.0,1534000.0,1773000.0,1574000.0
OtherEquityAdjustments,12677000.0,938000.0,1534000.0,1773000.0,1574000.0
RetainedEarnings,220118000.0,208117000.0,184705000.0,151502000.0,135092000.0
AdditionalPaidInCapital,22013000.0,22442000.0,21911000.0,22390000.0,22470000.0
CapitalStock,302406000.0,298640000.0,296570000.0,293159000.0,291607000.0
CommonStock,302406000.0,298640000.0,296570000.0,293159000.0,291607000.0
TotalLiabilitiesNetMinorityInterest,262359000.0,242422000.0,222067000.0,206735000.0,213515000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,169075000.0,159997000.0,156018000.0,150867000.0,146957000.0
OtherNonCurrentLiabilities,2551000.0,1955000.0,674000.0,1101000.0,1165000.0
NonCurrentDeferredLiabilities,69434000.0,69622000.0,69196000.0,64074000.0,63055000.0
NonCurrentDeferredTaxesLiabilities,69434000.0,69622000.0,69196000.0,64074000.0,63055000.0
LongTermDebtAndCapitalLeaseObligation,10849000.0,11262000.0,9440000.0,10016000.0,8625000.0
LongTermCapitalLeaseObligation,340000.0,400000.0,470000.0,525000.0,567000.0
LongTermDebt,10509000.0,10862000.0,8970000.0,9491000.0,8058000.0
LongTermProvisions,86241000.0,77158000.0,76708000.0,75676000.0,74112000.0
CurrentLiabilities,93284000.0,82425000.0,66049000.0,55868000.0,66558000.0
OtherCurrentLiabilities,720000.0,,1000.0,,734000.0
CurrentDebtAndCapitalLeaseObligation,9884000.0,8786000.0,6694000.0,5864000.0,4455000.0
CurrentCapitalLeaseObligation,287000.0,282000.0,284000.0,278000.0,268000.0
CurrentDebt,,8504000.0,6410000.0,5586000.0,
OtherCurrentBorrowings,,8504000.0,6410000.0,5586000.0,
PensionandOtherPostRetirementBenefitPlansCurrent,,963000.0,1187000.0,1289000.0,734000.0
CurrentProvisions,4579000.0,5780000.0,5799000.0,5833000.0,5687000.0
PayablesAndAccruedExpenses,78101000.0,66896000.0,52368000.0,42882000.0,55682000.0
Payables,78101000.0,66896000.0,52368000.0,42882000.0,55682000.0
OtherPayable,,,,,1270000.0
TotalTaxPayable,24831000.0,20174000.0,13756000.0,6848000.0,13479000.0
IncomeTaxPayable,20096000.0,,,,11152000.0
AccountsPayable,53270000.0,46722000.0,38612000.0,36034000.0,42203000.0
TotalAssets,819573000.0,772559000.0,726787000.0,675559000.0,664258000.0
TotalNonCurrentAssets,613694000.0,543414000.0,526721000.0,501258000.0,489278000.0
OtherNonCurrentAssets,4234000.0,4234000.0,2500000.0,2500000.0,2500000.0
NonCurrentPrepaidAssets,6915000.0,5305000.0,5336000.0,5039000.0,4815000.0
NonCurrentAccountsReceivable,3142000.0,5023000.0,4796000.0,4677000.0,4783000.0
InvestmentsAndAdvances,42341000.0,,,,0.0
LongTermEquityInvestment,42341000.0,,,,0.0
NetPPE,557062000.0,528852000.0,514089000.0,489042000.0,477180000.0
AccumulatedDepreciation,-199598000.0,-173258000.0,-147356000.0,-128503000.0,-114197000.0
GrossPPE,756660000.0,702110000.0,661445000.0,617545000.0,591377000.0
OtherProperties,216926000.0,196257000.0,189156000.0,174044000.0,165236000.0
CurrentAssets,205879000.0,229145000.0,200066000.0,174301000.0,174980000.0
PrepaidAssets,14564000.0,16939000.0,9216000.0,10472000.0,11612000.0
Inventory,102649000.0,111968000.0,110723000.0,103836000.0,104954000.0
OtherInventories,14350000.0,18901000.0,11444000.0,9414000.0,12820000.0
FinishedGoods,46000.0,25000.0,0.0,39000.0,74000.0
RawMaterials,88253000.0,93042000.0,99279000.0,94383000.0,92060000.0
Receivables,2506000.0,2945000.0,3258000.0,1681000.0,1922000.0
TaxesReceivable,1047000.0,1567000.0,1398000.0,670000.0,938000.0
AccountsReceivable,1459000.0,1378000.0,1860000.0,1011000.0,984000.0
CashCashEquivalentsAndShortTermInvestments,86160000.0,97293000.0,76869000.0,58312000.0,56492000.0
CashAndCashEquivalents,86160000.0,97293000.0,76869000.0,58312000.0,56492000.0
