,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TreasurySharesNumber,1260000.0,869000.0,786000.0,145000.0,
OrdinarySharesNumber,31202000.0,31400000.0,31482000.0,31877000.0,32131000.0
ShareIssued,32462000.0,32269000.0,32268000.0,32022000.0,32131000.0
TotalDebt,2057000.0,2306000.0,2594000.0,2873000.0,3047000.0
TangibleBookValue,53607000.0,51079000.0,48510000.0,48654000.0,48185000.0
InvestedCapital,66793000.0,64265000.0,61696000.0,61840000.0,61371000.0
WorkingCapital,52432000.0,49529000.0,46106000.0,46123000.0,46010000.0
NetTangibleAssets,53607000.0,51079000.0,48510000.0,48654000.0,48185000.0
CapitalLeaseObligations,2057000.0,2306000.0,2594000.0,2873000.0,3047000.0
CommonStockEquity,66793000.0,64265000.0,61696000.0,61840000.0,61371000.0
TotalCapitalization,66793000.0,64265000.0,61696000.0,61840000.0,61371000.0
TotalEquityGrossMinorityInterest,66793000.0,64265000.0,61696000.0,61840000.0,61371000.0
StockholdersEquity,66793000.0,64265000.0,61696000.0,61840000.0,61371000.0
OtherEquityInterest,-20000.0,-64000.0,-97000.0,-96000.0,-96000.0
GainsLossesNotAffectingRetainedEarnings,-2101000.0,-2877000.0,-2122000.0,-2501000.0,-2893000.0
OtherEquityAdjustments,-2101000.0,-2877000.0,-2122000.0,-2501000.0,-2893000.0
TreasuryStock,8778000.0,6280000.0,5763000.0,1101000.0,
RetainedEarnings,-326660000.0,-328845000.0,-331441000.0,-334042000.0,-333670000.0
AdditionalPaidInCapital,404320000.0,402299000.0,401087000.0,399548000.0,397998000.0
CapitalStock,32000.0,32000.0,32000.0,32000.0,32000.0
CommonStock,32000.0,32000.0,32000.0,32000.0,32000.0
TotalLiabilitiesNetMinorityInterest,58650000.0,58701000.0,68421000.0,55409000.0,61304000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,5357000.0,4863000.0,4699000.0,4949000.0,5803000.0
OtherNonCurrentLiabilities,896000.0,833000.0,836000.0,818000.0,793000.0
NonCurrentDeferredLiabilities,2991000.0,2413000.0,2101000.0,2225000.0,2968000.0
NonCurrentDeferredRevenue,2991000.0,2413000.0,2101000.0,2225000.0,2968000.0
LongTermDebtAndCapitalLeaseObligation,1470000.0,1617000.0,1762000.0,1906000.0,2042000.0
LongTermCapitalLeaseObligation,1470000.0,1617000.0,1762000.0,1906000.0,2042000.0
CurrentLiabilities,53293000.0,53838000.0,63722000.0,50460000.0,55501000.0
CurrentDeferredLiabilities,40880000.0,41959000.0,47871000.0,35106000.0,41768000.0
CurrentDeferredRevenue,40880000.0,41959000.0,47871000.0,35106000.0,41768000.0
CurrentDebtAndCapitalLeaseObligation,587000.0,689000.0,832000.0,967000.0,1005000.0
CurrentCapitalLeaseObligation,587000.0,689000.0,832000.0,967000.0,1005000.0
PensionandOtherPostRetirementBenefitPlansCurrent,5842000.0,5931000.0,7697000.0,7387000.0,6437000.0
PayablesAndAccruedExpenses,5984000.0,5259000.0,7322000.0,7000000.0,6291000.0
CurrentAccruedExpenses,4207000.0,4406000.0,3334000.0,5505000.0,5095000.0
Payables,1777000.0,853000.0,3988000.0,1495000.0,1196000.0
TotalTaxPayable,,,1944000.0,,
AccountsPayable,1777000.0,853000.0,2044000.0,1495000.0,1196000.0
TotalAssets,125443000.0,122966000.0,130117000.0,117249000.0,122675000.0
TotalNonCurrentAssets,19718000.0,19599000.0,20289000.0,20666000.0,21164000.0
OtherNonCurrentAssets,1768000.0,1427000.0,1355000.0,1157000.0,1007000.0
NonCurrentDeferredAssets,2003000.0,1938000.0,2318000.0,2561000.0,2831000.0
GoodwillAndOtherIntangibleAssets,13186000.0,13186000.0,13186000.0,13186000.0,13186000.0
Goodwill,13186000.0,13186000.0,13186000.0,13186000.0,13186000.0
NetPPE,2761000.0,3048000.0,3430000.0,3762000.0,4140000.0
AccumulatedDepreciation,,,-4871000.0,,
GrossPPE,2761000.0,3048000.0,8301000.0,3762000.0,4140000.0
Leases,,,655000.0,,
OtherProperties,2761000.0,3048000.0,2797000.0,3762000.0,4140000.0
MachineryFurnitureEquipment,,,4849000.0,,
Properties,,,0.0,,
CurrentAssets,105725000.0,103367000.0,109828000.0,96583000.0,101511000.0
OtherCurrentAssets,1175000.0,1304000.0,1268000.0,1083000.0,609000.0
CurrentDeferredAssets,1282000.0,1231000.0,1317000.0,1359000.0,1423000.0
RestrictedCash,7000.0,7000.0,7000.0,7000.0,7000.0
PrepaidAssets,2157000.0,2578000.0,2466000.0,2614000.0,2135000.0
Receivables,14271000.0,18420000.0,31569000.0,10214000.0,16470000.0
AccountsReceivable,14271000.0,18420000.0,31569000.0,10214000.0,16470000.0
AllowanceForDoubtfulAccountsReceivable,-109000.0,-121000.0,-237000.0,-169000.0,-166000.0
GrossAccountsReceivable,14380000.0,18541000.0,31806000.0,10383000.0,16636000.0
CashCashEquivalentsAndShortTermInvestments,86833000.0,79827000.0,73201000.0,81306000.0,80867000.0
CashAndCashEquivalents,86833000.0,79827000.0,73201000.0,81306000.0,80867000.0
