,2023-09-30,2023-06-30,2023-03-31,2022-12-31
OrdinarySharesNumber,74496537.0,74415357.0,67727662.0,66966092.0
ShareIssued,74496537.0,74415357.0,67727662.0,66966092.0
NetDebt,1507225000.0,1406109000.0,1403114000.0,1589342000.0
TotalDebt,1930728000.0,1519307000.0,1521548000.0,1708053000.0
TangibleBookValue,206002000.0,282073000.0,72708000.0,230583000.0
InvestedCapital,2132357000.0,1794452000.0,1585025000.0,1927270000.0
WorkingCapital,222694000.0,-108967000.0,-90517000.0,-87344000.0
NetTangibleAssets,206002000.0,282073000.0,72708000.0,230583000.0
CapitalLeaseObligations,108301000.0,110856000.0,113159000.0,115294000.0
CommonStockEquity,309930000.0,386001000.0,176636000.0,334511000.0
TotalCapitalization,2116021000.0,1778322000.0,1569712000.0,1906277000.0
TotalEquityGrossMinorityInterest,262318000.0,338354000.0,128921000.0,286756000.0
MinorityInterest,-47612000.0,-47647000.0,-47715000.0,-47755000.0
StockholdersEquity,309930000.0,386001000.0,176636000.0,334511000.0
GainsLossesNotAffectingRetainedEarnings,219000.0,191000.0,198000.0,197000.0
OtherEquityAdjustments,219000.0,191000.0,198000.0,197000.0
RetainedEarnings,-426245000.0,-341050000.0,-285206000.0,-168307000.0
AdditionalPaidInCapital,735882000.0,726786000.0,461576000.0,502554000.0
CapitalStock,74000.0,74000.0,68000.0,67000.0
CommonStock,74000.0,74000.0,68000.0,67000.0
PreferredStock,0.0,0.0,,0.0
TotalLiabilitiesNetMinorityInterest,2631263000.0,2214486000.0,2415810000.0,2264684000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,2095510000.0,1703145000.0,1958794000.0,1807001000.0
OtherNonCurrentLiabilities,64050000.0,67821000.0,72177000.0,76106000.0
PreferredSecuritiesOutsideStockEquity,,,248589000.0,
NonCurrentDeferredLiabilities,117068000.0,132147000.0,131793000.0,43835000.0
NonCurrentDeferredRevenue,114962000.0,130047000.0,129689000.0,41728000.0
NonCurrentDeferredTaxesLiabilities,2106000.0,2100000.0,2104000.0,2107000.0
LongTermDebtAndCapitalLeaseObligation,1914392000.0,1503177000.0,1506235000.0,1687060000.0
LongTermCapitalLeaseObligation,108301000.0,110856000.0,113159000.0,115294000.0
LongTermDebt,1806091000.0,1392321000.0,1393076000.0,1571766000.0
CurrentLiabilities,535753000.0,511341000.0,457016000.0,457683000.0
OtherCurrentLiabilities,244597000.0,228253000.0,217782000.0,187143000.0
CurrentDeferredLiabilities,54120000.0,46190000.0,48972000.0,32840000.0
CurrentDeferredRevenue,54120000.0,46190000.0,48972000.0,32840000.0
CurrentDebtAndCapitalLeaseObligation,16336000.0,16130000.0,15313000.0,20993000.0
CurrentDebt,16336000.0,16130000.0,15313000.0,20993000.0
OtherCurrentBorrowings,16336000.0,16130000.0,15313000.0,20993000.0
PensionandOtherPostRetirementBenefitPlansCurrent,11982000.0,14260000.0,11554000.0,11942000.0
PayablesAndAccruedExpenses,208718000.0,206508000.0,163395000.0,204765000.0
CurrentAccruedExpenses,160971000.0,165569000.0,138749000.0,167309000.0
InterestPayable,17347000.0,35880000.0,16908000.0,32754000.0
Payables,47747000.0,40939000.0,24646000.0,37456000.0
AccountsPayable,47747000.0,40939000.0,24646000.0,37456000.0
TotalAssets,2893581000.0,2552840000.0,2544731000.0,2551440000.0
TotalNonCurrentAssets,2135134000.0,2150466000.0,2178232000.0,2181101000.0
OtherNonCurrentAssets,165711000.0,194483000.0,257341000.0,271179000.0
NonCurrentAccountsReceivable,106030000.0,111839000.0,117656000.0,118496000.0
GoodwillAndOtherIntangibleAssets,103928000.0,103928000.0,103928000.0,103928000.0
Goodwill,103928000.0,103928000.0,103928000.0,103928000.0
NetPPE,1759465000.0,1740216000.0,1699307000.0,1687498000.0
AccumulatedDepreciation,-598065000.0,-577038000.0,-545414000.0,-513876000.0
GrossPPE,2357530000.0,2317254000.0,2244721000.0,2201374000.0
Leases,23371000.0,23388000.0,23409000.0,23409000.0
ConstructionInProgress,322762000.0,273811000.0,195872000.0,194715000.0
OtherProperties,96079000.0,98463000.0,100764000.0,102623000.0
MachineryFurnitureEquipment,1356979000.0,1368727000.0,1371500000.0,1336116000.0
BuildingsAndImprovements,450332000.0,449169000.0,449305000.0,440894000.0
LandAndImprovements,108007000.0,103696000.0,103871000.0,103617000.0
Properties,0.0,0.0,0.0,0.0
CurrentAssets,758447000.0,402374000.0,366499000.0,370339000.0
OtherCurrentAssets,12369000.0,11541000.0,8499000.0,7695000.0
RestrictedCash,,,,0.0
Inventory,192361000.0,198546000.0,185746000.0,158884000.0
FinishedGoods,138468000.0,142434000.0,132766000.0,107064000.0
RawMaterials,53893000.0,56112000.0,52980000.0,51820000.0
Receivables,238515000.0,189945000.0,166979000.0,200343000.0
OtherReceivables,12574000.0,16267000.0,14255000.0,8950000.0
AccountsReceivable,225941000.0,173678000.0,152724000.0,191393000.0
CashCashEquivalentsAndShortTermInvestments,315202000.0,2342000.0,5275000.0,3417000.0
CashAndCashEquivalents,315202000.0,2342000.0,5275000.0,3417000.0
