,2023-09-30,2023-06-30,2023-03-31,2022-12-31
OrdinarySharesNumber,333584729.0,333584729.0,333584729.0,211275550.0
ShareIssued,333584729.0,333584729.0,333584729.0,211275550.0
NetDebt,,432838.0,76931.0,503873.0
TotalDebt,554598.0,559895.0,216775.0,768702.0
TangibleBookValue,-161741.0,-772185.0,-1653842.0,-2002822.0
InvestedCapital,3959263.0,3284259.0,2020553.0,2174137.0
WorkingCapital,2211389.0,2307322.0,-201099.0,-550098.0
NetTangibleAssets,-161341.0,-771785.0,-1653442.0,-2002422.0
CommonStockEquity,3404665.0,2724364.0,1803778.0,1405435.0
PreferredStockEquity,400.0,400.0,400.0,400.0
TotalCapitalization,3529880.0,2851705.0,1933246.0,1537029.0
TotalEquityGrossMinorityInterest,6380397.0,5349266.0,3148170.0,2750320.0
MinorityInterest,2975332.0,2624502.0,1343992.0,1344485.0
StockholdersEquity,3405065.0,2724764.0,1804178.0,1405835.0
GainsLossesNotAffectingRetainedEarnings,-9587.0,-8933.0,-7176.0,-6169.0
OtherEquityAdjustments,-9587.0,-8933.0,-7176.0,-6169.0
RetainedEarnings,-2968930.0,-3649885.0,-4572228.0,-4335053.0
AdditionalPaidInCapital,6349824.0,6349824.0,6349824.0,5725530.0
CapitalStock,33758.0,33758.0,33758.0,21527.0
CommonStock,33358.0,33358.0,33358.0,21127.0
PreferredStock,400.0,400.0,400.0,400.0
TotalLiabilitiesNetMinorityInterest,2185082.0,2313468.0,961051.0,1517222.0
TotalNonCurrentLiabilitiesNetMinorityInterest,493859.0,493653.0,145102.0,145898.0
TradeandOtherPayablesNonCurrent,28218.0,17386.0,16034.0,14704.0
NonCurrentDeferredLiabilities,340826.0,349326.0,,
NonCurrentDeferredTaxesLiabilities,340826.0,349326.0,,
LongTermDebtAndCapitalLeaseObligation,124815.0,126941.0,129068.0,131194.0
LongTermDebt,124815.0,126941.0,129068.0,131194.0
CurrentLiabilities,1691223.0,1819815.0,815949.0,1371324.0
OtherCurrentLiabilities,491939.0,640632.0,51677.0,99488.0
CurrentDebtAndCapitalLeaseObligation,429783.0,432954.0,87707.0,637508.0
CurrentDebt,429783.0,432954.0,87707.0,637508.0
OtherCurrentBorrowings,376648.0,382644.0,37141.0,40139.0
LineOfCredit,53135.0,50310.0,50566.0,47369.0
CurrentNotesPayable,0.0,0.0,0.0,550000.0
PayablesAndAccruedExpenses,769501.0,746229.0,676565.0,634328.0
Payables,769501.0,746229.0,676565.0,634328.0
DuetoRelatedPartiesCurrent,,,,0.0
TotalTaxPayable,238701.0,226779.0,219965.0,204828.0
AccountsPayable,530800.0,519450.0,456600.0,429500.0
TotalAssets,8565479.0,7662734.0,4109221.0,4267542.0
TotalNonCurrentAssets,4662868.0,3535598.0,3494371.0,3446316.0
GoodwillAndOtherIntangibleAssets,3566406.0,3496549.0,3457620.0,3408257.0
OtherIntangibleAssets,3566406.0,3496549.0,3457620.0,3408257.0
NetPPE,1096462.0,39049.0,36751.0,38059.0
GrossPPE,1096462.0,39049.0,,
OtherProperties,1096462.0,39049.0,,
CurrentAssets,3902612.0,4127137.0,614850.0,821226.0
OtherCurrentAssets,1037174.0,1142499.0,421923.0,435814.0
Receivables,1633672.0,2857581.0,53083.0,120583.0
NotesReceivable,0.0,0.0,0.0,55000.0
AccountsReceivable,1633672.0,2857581.0,53083.0,65583.0
AllowanceForDoubtfulAccountsReceivable,-134487.0,-136487.0,-136487.0,-137371.0
GrossAccountsReceivable,1768159.0,2994068.0,189570.0,202954.0
CashCashEquivalentsAndShortTermInvestments,1231766.0,127057.0,139844.0,264829.0
CashAndCashEquivalents,1231766.0,127057.0,139844.0,264829.0
CashFinancial,1231766.0,127057.0,139844.0,264829.0
