,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
OrdinarySharesNumber,176649757.0,174076681.0,166367901.0,160525840.0,154416894.0
ShareIssued,176649757.0,174076681.0,166367901.0,160525840.0,154416894.0
TotalDebt,35794.0,35794.0,41674.0,25201.0,30567.0
TangibleBookValue,-2401690.0,-1967272.0,-1795788.0,-1484.0,-197105.0
InvestedCapital,1048196.0,1938770.0,2568816.0,4363003.0,4536611.0
WorkingCapital,-1563711.0,-1132353.0,-1407003.0,54353.0,-152438.0
NetTangibleAssets,-2401690.0,-1967272.0,-1795788.0,-1484.0,-197105.0
CapitalLeaseObligations,35794.0,35794.0,41674.0,25201.0,30567.0
CommonStockEquity,1048196.0,1938770.0,2568816.0,4363003.0,4536611.0
TotalCapitalization,1048196.0,1938770.0,2568816.0,4363003.0,4536611.0
TotalEquityGrossMinorityInterest,1048196.0,1938770.0,2568816.0,4363003.0,4536611.0
StockholdersEquity,1048196.0,1938770.0,2568816.0,4363003.0,4536611.0
OtherEquityInterest,,,,-130568.0,-130568.0
GainsLossesNotAffectingRetainedEarnings,-70023.0,-137261.0,-109570.0,285439.0,214634.0
OtherEquityAdjustments,-70023.0,-137261.0,-109570.0,285439.0,214634.0
RetainedEarnings,-74561255.0,-73260069.0,-70995769.0,-68312231.0,-64479081.0
AdditionalPaidInCapital,17160723.0,17160723.0,17068177.0,17610889.0,15577190.0
CapitalStock,58518751.0,58175377.0,56605978.0,54909474.0,53354436.0
CommonStock,58518751.0,58175377.0,56605978.0,54909474.0,53354436.0
TotalLiabilitiesNetMinorityInterest,3512389.0,2848524.0,2412945.0,2606893.0,2096057.0
TotalNonCurrentLiabilitiesNetMinorityInterest,910449.0,910449.0,485148.0,145095.0,150440.0
DerivativeProductLiabilities,788989.0,788989.0,360211.0,,
NonCurrentDeferredLiabilities,107295.0,107295.0,107295.0,142850.0,142850.0
NonCurrentDeferredTaxesLiabilities,107295.0,107295.0,107295.0,142850.0,142850.0
LongTermDebtAndCapitalLeaseObligation,14165.0,14165.0,17642.0,2245.0,7590.0
LongTermCapitalLeaseObligation,14165.0,14165.0,17642.0,2245.0,7590.0
CurrentLiabilities,2601940.0,1938075.0,1927797.0,2461798.0,1945617.0
CurrentDeferredLiabilities,349229.0,294026.0,496194.0,346703.0,115452.0
CurrentDeferredRevenue,349229.0,294026.0,496194.0,346703.0,115452.0
CurrentDebtAndCapitalLeaseObligation,21629.0,21629.0,24032.0,22956.0,22977.0
CurrentCapitalLeaseObligation,21629.0,21629.0,24032.0,22956.0,22977.0
PayablesAndAccruedExpenses,2231082.0,1622420.0,1407571.0,2092139.0,1807188.0
CurrentAccruedExpenses,519495.0,307584.0,134165.0,1047501.0,999844.0
Payables,1711587.0,1314836.0,1273406.0,1044638.0,807344.0
OtherPayable,15697.0,15697.0,15697.0,,
AccountsPayable,1695890.0,1299139.0,1257709.0,1044638.0,807344.0
TotalAssets,4560585.0,4787294.0,4981761.0,6969896.0,6632668.0
TotalNonCurrentAssets,3522357.0,3981573.0,4460967.0,4453745.0,4839489.0
GoodwillAndOtherIntangibleAssets,3449886.0,3906042.0,4364604.0,4364487.0,4733716.0
OtherIntangibleAssets,1951240.0,2407396.0,2865958.0,3072744.0,3463929.0
Goodwill,1498646.0,1498646.0,1498646.0,1291743.0,1269787.0
NetPPE,72471.0,75531.0,96363.0,89258.0,105773.0
AccumulatedDepreciation,-237687.0,-234512.0,-213796.0,-188971.0,-172456.0
GrossPPE,310158.0,310043.0,310159.0,278229.0,278229.0
OtherProperties,310158.0,310043.0,310159.0,216810.0,216810.0
MachineryFurnitureEquipment,,,,61419.0,61419.0
CurrentAssets,1038229.0,805722.0,520794.0,2516151.0,1793179.0
OtherCurrentAssets,,,-1.0,,
HedgingAssetsCurrent,,,,29849.0,
RestrictedCash,75000.0,75000.0,75000.0,,
PrepaidAssets,304739.0,305242.0,21706.0,41297.0,152234.0
Inventory,,,0.0,120336.0,120336.0
FinishedGoods,,,,120336.0,
RawMaterials,,,0.0,120336.0,
Receivables,549598.0,325116.0,239848.0,1924317.0,1263774.0
TaxesReceivable,81634.0,68784.0,36318.0,937833.0,930651.0
LoansReceivable,,,0.0,50253.0,31408.0
AccountsReceivable,467964.0,256332.0,203530.0,936231.0,301715.0
CashCashEquivalentsAndShortTermInvestments,108892.0,100364.0,184241.0,400352.0,256835.0
OtherShortTermInvestments,13650.0,13650.0,58000.0,120600.0,0.0
CashAndCashEquivalents,95242.0,86714.0,126241.0,279752.0,256835.0
CashFinancial,95242.0,86714.0,126241.0,,
