,2023-09-30,2023-06-30,2023-03-31,2022-12-31
OrdinarySharesNumber,187948801.0,187948801.0,186948801.0,186948801.0
ShareIssued,187948801.0,187948801.0,186948801.0,186948801.0
TangibleBookValue,5902923.0,6058119.0,6205585.0,6355903.0
InvestedCapital,5902923.0,6058119.0,6205585.0,6355903.0
WorkingCapital,1273915.0,1632747.0,1838208.0,2047761.0
NetTangibleAssets,5902923.0,6058119.0,6205585.0,6355903.0
CommonStockEquity,5902923.0,6058119.0,6205585.0,6355903.0
TotalCapitalization,5902923.0,6058119.0,6205585.0,6355903.0
TotalEquityGrossMinorityInterest,5902923.0,6058119.0,6205585.0,6355903.0
StockholdersEquity,5902923.0,6058119.0,6205585.0,6355903.0
OtherEquityInterest,,,35000.0,70000.0
RetainedEarnings,-41994413.0,-41825474.0,-41610508.0,-41312098.0
AdditionalPaidInCapital,8520136.0,8508893.0,8508893.0,8360801.0
CapitalStock,39377200.0,39374700.0,39272200.0,39237200.0
CommonStock,39377200.0,39374700.0,39272200.0,39237200.0
TotalLiabilitiesNetMinorityInterest,2526.0,5700.0,22739.0,43119.0
TotalNonCurrentLiabilitiesNetMinorityInterest,0.0,0.0,1.0,0.0
CurrentLiabilities,2526.0,5700.0,22738.0,43119.0
PayablesAndAccruedExpenses,2526.0,5700.0,22738.0,43119.0
CurrentAccruedExpenses,0.0,0.0,20000.0,20000.0
Payables,2526.0,5700.0,2738.0,23119.0
AccountsPayable,2526.0,5700.0,2738.0,23119.0
TotalAssets,5905449.0,6063819.0,6228324.0,6399022.0
TotalNonCurrentAssets,4629007.0,4425371.0,4367377.0,4308142.0
NetPPE,4629007.0,4425371.0,4367377.0,4308142.0
CurrentAssets,1276441.0,1638447.0,1860946.0,2090880.0
OtherCurrentAssets,1.0,,,
RestrictedCash,27105.0,29183.0,44747.0,
PrepaidAssets,48440.0,1082.0,6564.0,12833.0
Receivables,4805.0,6601.0,4984.0,53163.0
AccountsReceivable,4805.0,6601.0,4984.0,53163.0
CashCashEquivalentsAndShortTermInvestments,1196090.0,1601581.0,1804651.0,2024884.0
CashAndCashEquivalents,1196090.0,1601581.0,1804651.0,2024884.0
CashFinancial,1196090.0,1601581.0,1804651.0,2024884.0
