,2023-06-30,2022-12-31
OrdinarySharesNumber,31880000.0,31880000.0
ShareIssued,31880000.0,31880000.0
TotalDebt,850060.0,528201.0
TangibleBookValue,1566505.0,1041148.0
InvestedCapital,2327021.0,1425951.0
WorkingCapital,1097584.0,611212.0
NetTangibleAssets,1566505.0,1041148.0
CapitalLeaseObligations,89544.0,143398.0
CommonStockEquity,1566505.0,1041148.0
TotalCapitalization,1815612.0,1041148.0
TotalEquityGrossMinorityInterest,1566505.0,1041148.0
StockholdersEquity,1566505.0,1041148.0
GainsLossesNotAffectingRetainedEarnings,-44779.0,-47430.0
OtherEquityAdjustments,-44779.0,-47430.0
RetainedEarnings,-568460.0,-1091166.0
AdditionalPaidInCapital,2176796.0,2176796.0
CapitalStock,2948.0,2948.0
CommonStock,2948.0,2948.0
TotalLiabilitiesNetMinorityInterest,2897732.0,1956878.0
TotalNonCurrentLiabilitiesNetMinorityInterest,321211.0,59535.0
TradeandOtherPayablesNonCurrent,72104.0,
LongTermDebtAndCapitalLeaseObligation,249107.0,59535.0
LongTermCapitalLeaseObligation,,59535.0
LongTermDebt,249107.0,
CurrentLiabilities,2576521.0,1897343.0
CurrentDeferredLiabilities,1493947.0,870853.0
CurrentDeferredRevenue,1493947.0,870853.0
CurrentDebtAndCapitalLeaseObligation,600953.0,468666.0
CurrentCapitalLeaseObligation,89544.0,83863.0
CurrentDebt,511409.0,384803.0
OtherCurrentBorrowings,511409.0,
LineOfCredit,,384803.0
PayablesAndAccruedExpenses,481621.0,557824.0
CurrentAccruedExpenses,41517.0,28717.0
Payables,440104.0,529107.0
OtherPayable,37145.0,33793.0
DuetoRelatedPartiesCurrent,20210.0,289690.0
TotalTaxPayable,328093.0,57886.0
IncomeTaxPayable,250868.0,
AccountsPayable,54656.0,147738.0
TotalAssets,4464237.0,2998026.0
TotalNonCurrentAssets,790132.0,489471.0
NonCurrentDeferredAssets,556752.0,289690.0
NetPPE,233380.0,199781.0
AccumulatedDepreciation,-10469.0,
GrossPPE,243849.0,199781.0
OtherProperties,243849.0,199781.0
CurrentAssets,3674105.0,2508555.0
OtherCurrentAssets,,56359.0
PrepaidAssets,2463154.0,2877.0
Receivables,7748.0,1348.0
AccountsReceivable,7748.0,1348.0
CashCashEquivalentsAndShortTermInvestments,1203203.0,2447971.0
CashAndCashEquivalents,1203203.0,2447971.0
