,2023-09-30,2023-06-30,2023-03-31,2022-12-31
OrdinarySharesNumber,14141906.0,14141906.0,38812500.0,38812500.0
ShareIssued,14141906.0,14141906.0,38812500.0,38812500.0
NetDebt,1177572.0,301597.0,,
TotalDebt,1256675.0,428338.0,,
TangibleBookValue,36117880.0,37063019.0,294322622.0,281643351.0
InvestedCapital,37374555.0,37491357.0,294322622.0,281643351.0
WorkingCapital,-5015339.0,-3069412.0,-1893942.0,-303492.0
NetTangibleAssets,36117880.0,37063019.0,294322622.0,281643351.0
CommonStockEquity,36117880.0,37063019.0,294322622.0,281643351.0
TotalCapitalization,36117880.0,37063019.0,294322622.0,281643351.0
TotalEquityGrossMinorityInterest,36117880.0,37063019.0,294322622.0,281643351.0
StockholdersEquity,36117880.0,37063019.0,294322622.0,281643351.0
RetainedEarnings,-20391783.0,-18445856.0,-17544136.0,-15976998.0
AdditionalPaidInCapital,11827938.0,11827938.0,11827938.0,0.0
CapitalStock,44681725.0,43680937.0,300038820.0,297620349.0
CommonStock,44681725.0,43680937.0,300038820.0,297620349.0
PreferredStock,0.0,0.0,0.0,0.0
TotalLiabilitiesNetMinorityInterest,8729480.0,6877528.0,6383497.0,16956165.0
TotalNonCurrentLiabilitiesNetMinorityInterest,3547500.0,3547500.0,3821250.0,15672500.0
DerivativeProductLiabilities,547500.0,547500.0,821250.0,547500.0
TradeandOtherPayablesNonCurrent,3000000.0,3000000.0,3000000.0,15125000.0
CurrentLiabilities,5181980.0,3330028.0,2562247.0,1283665.0
CurrentDeferredLiabilities,,,385.0,
CurrentDeferredRevenue,,,385.0,
CurrentDebtAndCapitalLeaseObligation,1256675.0,428338.0,,
CurrentDebt,1256675.0,428338.0,,
OtherCurrentBorrowings,1256675.0,428338.0,,
CurrentNotesPayable,,,,0.0
PayablesAndAccruedExpenses,3925305.0,2901690.0,2561862.0,1283665.0
CurrentAccruedExpenses,3925305.0,2901690.0,2561862.0,1283665.0
TotalAssets,44847360.0,43940547.0,300706119.0,298599516.0
TotalNonCurrentAssets,44680719.0,43679931.0,300037814.0,297619343.0
OtherNonCurrentAssets,44680719.0,43679931.0,300037814.0,297619343.0
NonCurrentDeferredAssets,,,,0.0
CurrentAssets,166641.0,260616.0,668305.0,980173.0
PrepaidAssets,87538.0,133875.0,200813.0,187750.0
CashCashEquivalentsAndShortTermInvestments,79103.0,126741.0,467492.0,792423.0
CashAndCashEquivalents,79103.0,126741.0,467492.0,792423.0
CashFinancial,,,,792423.0
