,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TreasurySharesNumber,0.0,,,,
OrdinarySharesNumber,99200000.0,99112451.0,98900000.0,98700000.0,97900000.0
ShareIssued,99200000.0,99112451.0,98900000.0,98700000.0,97900000.0
NetDebt,1987200000.0,2055900000.0,2095700000.0,2174900000.0,2184000000.0
TotalDebt,2769500000.0,2764300000.0,2843700000.0,2852600000.0,2921800000.0
TangibleBookValue,-1469700000.0,-1510700000.0,-1559600000.0,-1632000000.0,-1674800000.0
InvestedCapital,1502100000.0,1448100000.0,1471900000.0,1406300000.0,1426100000.0
WorkingCapital,121700000.0,180700000.0,130600000.0,95000000.0,379500000.0
NetTangibleAssets,-1469700000.0,-1510700000.0,-1559600000.0,-1632000000.0,-1674800000.0
CapitalLeaseObligations,207100000.0,212700000.0,221400000.0,223500000.0,229800000.0
CommonStockEquity,-1060300000.0,-1103500000.0,-1150400000.0,-1222800000.0,-1265900000.0
TotalCapitalization,1192600000.0,1215500000.0,1176100000.0,1112600000.0,1396600000.0
TotalEquityGrossMinorityInterest,-1060300000.0,-1103500000.0,-1150400000.0,-1222800000.0,-1265900000.0
StockholdersEquity,-1060300000.0,-1103500000.0,-1150400000.0,-1222800000.0,-1265900000.0
GainsLossesNotAffectingRetainedEarnings,-232000000.0,-253100000.0,-238000000.0,-239000000.0,-250200000.0
OtherEquityAdjustments,-232000000.0,-253100000.0,-238000000.0,-239000000.0,-250200000.0
TreasuryStock,,,,,0.0
RetainedEarnings,-1062300000.0,-1072500000.0,-1115300000.0,-1175200000.0,-1204500000.0
AdditionalPaidInCapital,233900000.0,222000000.0,202800000.0,191300000.0,188700000.0
CapitalStock,100000.0,100000.0,100000.0,100000.0,100000.0
CommonStock,100000.0,100000.0,100000.0,100000.0,100000.0
TotalLiabilitiesNetMinorityInterest,3869700000.0,3828200000.0,3921000000.0,3910400000.0,3997900000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,2592100000.0,2662800000.0,2680200000.0,2683200000.0,3021300000.0
OtherNonCurrentLiabilities,171600000.0,86100000.0,82300000.0,161300000.0,166400000.0
EmployeeBenefits,,62900000.0,64700000.0,,
NonCurrentDeferredLiabilities,,20600000.0,22600000.0,,
NonCurrentDeferredTaxesLiabilities,,20600000.0,22600000.0,,
LongTermDebtAndCapitalLeaseObligation,2420500000.0,2493200000.0,2510600000.0,2521900000.0,2854900000.0
LongTermCapitalLeaseObligation,167600000.0,174200000.0,184100000.0,186500000.0,192400000.0
LongTermDebt,2252900000.0,2319000000.0,2326500000.0,2335400000.0,2662500000.0
CurrentLiabilities,1277600000.0,1165400000.0,1240800000.0,1227200000.0,976600000.0
OtherCurrentLiabilities,343400000.0,335100000.0,328000000.0,317400000.0,343300000.0
CurrentDeferredLiabilities,64000000.0,62900000.0,73200000.0,73100000.0,53900000.0
CurrentDeferredRevenue,64000000.0,62900000.0,73200000.0,73100000.0,53900000.0
CurrentDebtAndCapitalLeaseObligation,349000000.0,271100000.0,333100000.0,330700000.0,66900000.0
CurrentCapitalLeaseObligation,39500000.0,38500000.0,37300000.0,37000000.0,37400000.0
CurrentDebt,309500000.0,232600000.0,295800000.0,293700000.0,29500000.0
OtherCurrentBorrowings,309500000.0,232600000.0,295800000.0,293700000.0,29500000.0
PensionandOtherPostRetirementBenefitPlansCurrent,126300000.0,107400000.0,107000000.0,111800000.0,108300000.0
PayablesAndAccruedExpenses,394900000.0,388900000.0,399500000.0,394200000.0,404200000.0
CurrentAccruedExpenses,298700000.0,294600000.0,300400000.0,317100000.0,301900000.0
Payables,96200000.0,94300000.0,99100000.0,77100000.0,102300000.0
TotalTaxPayable,12200000.0,16400000.0,10500000.0,9200000.0,12500000.0
IncomeTaxPayable,12200000.0,16400000.0,10500000.0,9200000.0,12500000.0
AccountsPayable,84000000.0,77900000.0,88600000.0,67900000.0,89800000.0
TotalAssets,2809400000.0,2724700000.0,2770600000.0,2687600000.0,2732000000.0
TotalNonCurrentAssets,1410100000.0,1378600000.0,1399200000.0,1365400000.0,1375900000.0
OtherNonCurrentAssets,85200000.0,288400000.0,303700000.0,274300000.0,102600000.0
NonCurrentDeferredAssets,223200000.0,,,,171000000.0
NonCurrentDeferredTaxesAssets,179300000.0,,,,131600000.0
GoodwillAndOtherIntangibleAssets,409400000.0,407200000.0,409200000.0,409200000.0,408900000.0
OtherIntangibleAssets,314000000.0,314400000.0,314800000.0,315200000.0,315700000.0
Goodwill,95400000.0,92800000.0,94400000.0,94000000.0,93200000.0
NetPPE,692300000.0,683000000.0,686300000.0,681900000.0,693400000.0
AccumulatedDepreciation,-1011700000.0,,,,-1034000000.0
GrossPPE,1704000000.0,683000000.0,686300000.0,681900000.0,1727400000.0
OtherProperties,1358000000.0,683000000.0,686300000.0,681900000.0,1388600000.0
MachineryFurnitureEquipment,26300000.0,,,,26800000.0
BuildingsAndImprovements,268500000.0,,,,260800000.0
LandAndImprovements,51200000.0,,,,51200000.0
Properties,0.0,,,,0.0
CurrentAssets,1399300000.0,1346100000.0,1371400000.0,1322200000.0,1356100000.0
OtherCurrentAssets,237700000.0,274100000.0,233400000.0,237800000.0,196800000.0
Inventory,505200000.0,496800000.0,525100000.0,545100000.0,580700000.0
FinishedGoods,414900000.0,409900000.0,431500000.0,458200000.0,490600000.0
WorkInProcess,10000000.0,11000000.0,9400000.0,8000000.0,7000000.0
RawMaterials,80300000.0,75900000.0,84200000.0,78900000.0,83100000.0
Receivables,81200000.0,79500000.0,86300000.0,85100000.0,70600000.0
