,2023-10-31,2023-07-31,2023-04-30,2023-01-31
TreasurySharesNumber,0.0,,,
OrdinarySharesNumber,36532560.0,36092560.0,35177560.0,35177560.0
ShareIssued,36532560.0,36092560.0,35177560.0,35177560.0
NetDebt,,,9743.0,
TotalDebt,64826.0,69795.0,74750.0,79847.0
TangibleBookValue,1108634.0,1050364.0,947327.0,1059918.0
InvestedCapital,1173460.0,1120159.0,1022077.0,1139765.0
WorkingCapital,468440.0,342502.0,316969.0,473106.0
NetTangibleAssets,1108634.0,1050364.0,947327.0,1059918.0
CommonStockEquity,1108634.0,1050364.0,947327.0,1059918.0
TotalCapitalization,1153063.0,1099894.0,1002128.0,1119460.0
TotalEquityGrossMinorityInterest,1108634.0,1050364.0,947327.0,1059918.0
StockholdersEquity,1108634.0,1050364.0,947327.0,1059918.0
RetainedEarnings,-10636957.0,-10591228.0,-10507265.0,-10394673.0
AdditionalPaidInCapital,11741935.0,11637980.0,11451072.0,11451071.0
CapitalStock,3656.0,3612.0,3520.0,3520.0
CommonStock,3656.0,3612.0,3520.0,3520.0
PreferredStock,0.0,0.0,0.0,0.0
TotalLiabilitiesNetMinorityInterest,394993.0,474800.0,434728.0,407227.0
TotalNonCurrentLiabilitiesNetMinorityInterest,44429.0,49529.0,54801.0,59542.0
OtherNonCurrentLiabilities,,-1.0,,
DuetoRelatedPartiesNonCurrent,0.0,0.0,0.0,0.0
TradeandOtherPayablesNonCurrent,0.0,0.0,0.0,0.0
LongTermDebtAndCapitalLeaseObligation,44429.0,49530.0,54801.0,59542.0
LongTermDebt,44429.0,49530.0,54801.0,59542.0
CurrentLiabilities,350564.0,425271.0,379927.0,347685.0
CurrentDebtAndCapitalLeaseObligation,20397.0,20265.0,19949.0,20305.0
CurrentDebt,20397.0,20265.0,19949.0,20305.0
OtherCurrentBorrowings,20397.0,20265.0,19949.0,20305.0
PayablesAndAccruedExpenses,330167.0,405006.0,359978.0,327380.0
CurrentAccruedExpenses,42873.0,57851.0,69504.0,54770.0
InterestPayable,42873.0,54073.0,51763.0,50992.0
Payables,287294.0,347155.0,290474.0,272610.0
DuetoRelatedPartiesCurrent,70668.0,71668.0,79668.0,96458.0
AccountsPayable,216626.0,275487.0,210806.0,176152.0
TotalAssets,1503627.0,1525164.0,1382055.0,1467145.0
TotalNonCurrentAssets,684623.0,757391.0,685159.0,646354.0
NonCurrentPrepaidAssets,8200.0,13200.0,13200.0,13200.0
NetPPE,676423.0,744191.0,671959.0,633154.0
AccumulatedDepreciation,-13514.0,,,
GrossPPE,689937.0,744191.0,671959.0,633154.0
ConstructionInProgress,652944.0,719944.0,646944.0,607370.0
OtherProperties,25900.0,24247.0,25015.0,25784.0
MachineryFurnitureEquipment,11093.0,,,
CurrentAssets,819004.0,767773.0,696896.0,820791.0
Inventory,549277.0,588874.0,629980.0,643329.0
InventoriesAdjustmentsAllowances,-65600.0,-75468.0,-75468.0,-75468.0
OtherInventories,614877.0,664342.0,705448.0,718797.0
Receivables,31050.0,82.0,1909.0,8067.0
AccountsReceivable,31050.0,82.0,1909.0,8067.0
AllowanceForDoubtfulAccountsReceivable,-5860.0,,0.0,0.0
GrossAccountsReceivable,36910.0,,1909.0,8067.0
CashCashEquivalentsAndShortTermInvestments,238677.0,178817.0,65007.0,169395.0
CashAndCashEquivalents,238677.0,178817.0,65007.0,169395.0
CashFinancial,238677.0,178817.0,65007.0,169395.0
