,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TreasurySharesNumber,712765000.0,712665000.0,521700000.0,521519000.0,506246000.0
OrdinarySharesNumber,2407078000.0,2407178000.0,2598143000.0,2598324000.0,2613597000.0
ShareIssued,3119843000.0,3119843000.0,3119843000.0,3119843000.0,3119843000.0
NetDebt,7473000000.0,10193000000.0,24419000000.0,33737000000.0,26753000000.0
TotalDebt,29332000000.0,29921000000.0,45602000000.0,52907000000.0,39642000000.0
TangibleBookValue,-1959000000.0,83000000.0,-16537000000.0,-22154000000.0,2268000000.0
InvestedCapital,98106000000.0,101149000000.0,120751000000.0,123776000000.0,116446000000.0
WorkingCapital,7213000000.0,9333000000.0,6397000000.0,4015000000.0,-508000000.0
NetTangibleAssets,-1959000000.0,83000000.0,-16537000000.0,-22154000000.0,2268000000.0
CommonStockEquity,68774000000.0,71228000000.0,75149000000.0,70869000000.0,76804000000.0
TotalCapitalization,94655000000.0,97279000000.0,109050000000.0,105797000000.0,103690000000.0
TotalEquityGrossMinorityInterest,68774000000.0,71228000000.0,76409000000.0,70869000000.0,76804000000.0
MinorityInterest,,,1260000000.0,,
StockholdersEquity,68774000000.0,71228000000.0,75149000000.0,70869000000.0,76804000000.0
GainsLossesNotAffectingRetainedEarnings,-12527000000.0,-8780000000.0,-13135000000.0,-12626000000.0,-12967000000.0
OtherEquityAdjustments,-12527000000.0,-8780000000.0,-13135000000.0,-12626000000.0,-12967000000.0
TreasuryStock,75662000000.0,75648000000.0,44217000000.0,44183000000.0,41694000000.0
RetainedEarnings,153843000000.0,152536000000.0,129381000000.0,124558000000.0,128345000000.0
CapitalStock,3120000000.0,3120000000.0,3120000000.0,3120000000.0,3120000000.0
CommonStock,3120000000.0,3120000000.0,3120000000.0,3120000000.0,3120000000.0
PreferredStock,0.0,,,,0.0
TotalLiabilitiesNetMinorityInterest,98784000000.0,94833000000.0,115277000000.0,125100000000.0,110574000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,52502000000.0,50463000000.0,61107000000.0,64727000000.0,54772000000.0
OtherNonCurrentLiabilities,13398000000.0,13562000000.0,14582000000.0,14421000000.0,10146000000.0
LiabilitiesHeldforSaleNonCurrent,0.0,0.0,,,2901000000.0
EmployeeBenefits,7149000000.0,5687000000.0,6461000000.0,6665000000.0,6542000000.0
TradeandOtherPayablesNonCurrent,2881000000.0,2540000000.0,2536000000.0,4296000000.0,4306000000.0
NonCurrentDeferredLiabilities,3193000000.0,2623000000.0,3627000000.0,4417000000.0,3991000000.0
NonCurrentDeferredTaxesLiabilities,3193000000.0,2623000000.0,3627000000.0,4417000000.0,3991000000.0
LongTermDebtAndCapitalLeaseObligation,25881000000.0,26051000000.0,33901000000.0,34928000000.0,26886000000.0
LongTermDebt,25881000000.0,26051000000.0,33901000000.0,34928000000.0,26886000000.0
CurrentLiabilities,46282000000.0,44370000000.0,54170000000.0,60373000000.0,55802000000.0
OtherCurrentLiabilities,,,,,3590000000.0
CurrentDebtAndCapitalLeaseObligation,3451000000.0,3870000000.0,11701000000.0,17979000000.0,12756000000.0
CurrentDebt,3451000000.0,3870000000.0,11701000000.0,17979000000.0,12756000000.0
PensionandOtherPostRetirementBenefitPlansCurrent,3993000000.0,3337000000.0,3062000000.0,2231000000.0,3049000000.0
PayablesAndAccruedExpenses,38838000000.0,37163000000.0,39407000000.0,40163000000.0,36407000000.0
CurrentAccruedExpenses,26213000000.0,25909000000.0,26277000000.0,25988000000.0,24298000000.0
Payables,12625000000.0,11254000000.0,13130000000.0,14175000000.0,12109000000.0
TotalTaxPayable,2993000000.0,2899000000.0,2687000000.0,4266000000.0,2220000000.0
IncomeTaxPayable,2993000000.0,2899000000.0,2687000000.0,4266000000.0,2220000000.0
AccountsPayable,9632000000.0,8355000000.0,10443000000.0,9909000000.0,9889000000.0
TotalAssets,167558000000.0,166061000000.0,191686000000.0,195969000000.0,187378000000.0
TotalNonCurrentAssets,114063000000.0,112358000000.0,131119000000.0,131581000000.0,132084000000.0
OtherNonCurrentAssets,14153000000.0,13133000000.0,10078000000.0,9567000000.0,30619000000.0
NonCurrentDeferredAssets,9279000000.0,9259000000.0,8779000000.0,8817000000.0,8947000000.0
NonCurrentDeferredTaxesAssets,9279000000.0,9259000000.0,8779000000.0,8817000000.0,8947000000.0
GoodwillAndOtherIntangibleAssets,70733000000.0,71145000000.0,91686000000.0,93023000000.0,74536000000.0
OtherIntangibleAssets,34175000000.0,35021000000.0,46246000000.0,47448000000.0,38489000000.0
Goodwill,36558000000.0,36124000000.0,45440000000.0,45575000000.0,36047000000.0
NetPPE,19898000000.0,18821000000.0,20576000000.0,20174000000.0,17982000000.0
AccumulatedDepreciation,-27878000000.0,-26805000000.0,-30642000000.0,-30193000000.0,-25552000000.0
GrossPPE,47776000000.0,45626000000.0,51218000000.0,50367000000.0,43534000000.0
ConstructionInProgress,5627000000.0,,,,4677000000.0
MachineryFurnitureEquipment,28979000000.0,,,,26603000000.0
BuildingsAndImprovements,12375000000.0,,,,11470000000.0
LandAndImprovements,795000000.0,,,,784000000.0
Properties,0.0,,,,0.0
CurrentAssets,53495000000.0,53703000000.0,60567000000.0,64388000000.0,55294000000.0
OtherCurrentAssets,,4196000000.0,2397000000.0,2921000000.0,
AssetsHeldForSaleCurrent,0.0,0.0,,,5830000000.0
RestrictedCash,,,,7695000000.0,
PrepaidAssets,,4196000000.0,2397000000.0,2921000000.0,
Inventory,11181000000.0,11198000000.0,12888000000.0,12809000000.0,10268000000.0
FinishedGoods,6874000000.0,7004000000.0,8525000000.0,8676000000.0,6972000000.0
WorkInProcess,1952000000.0,1961000000.0,1944000000.0,1866000000.0,1577000000.0
RawMaterials,2355000000.0,2233000000.0,2419000000.0,2267000000.0,1719000000.0
Receivables,19387000000.0,14798000000.0,16777000000.0,16350000000.0,16915000000.0
OtherReceivables,4514000000.0,,,,2876000000.0
AccountsReceivable,14873000000.0,14798000000.0,16777000000.0,16350000000.0,14039000000.0
AllowanceForDoubtfulAccountsReceivable,-166000000.0,-160000000.0,-205000000.0,-207000000.0,-169000000.0
GrossAccountsReceivable,15039000000.0,14958000000.0,16982000000.0,16557000000.0,14208000000.0
CashCashEquivalentsAndShortTermInvestments,22927000000.0,23511000000.0,28505000000.0,24613000000.0,22281000000.0
OtherShortTermInvestments,1068000000.0,3783000000.0,7322000000.0,5443000000.0,9392000000.0
CashAndCashEquivalents,21859000000.0,19728000000.0,21183000000.0,19170000000.0,12889000000.0
CashEquivalents,18519000000.0,,,,9198000000.0
CashFinancial,3340000000.0,,,,3691000000.0
