,2023-11-30,2023-08-31,2023-05-31,2023-02-28
TreasurySharesNumber,0.0,,,
OrdinarySharesNumber,30339167.0,30309167.0,30309167.0,30309167.0
ShareIssued,30339167.0,30309167.0,30309167.0,30309167.0
TangibleBookValue,553998.0,690676.0,803095.0,887217.0
InvestedCapital,553998.0,690676.0,803095.0,887217.0
WorkingCapital,510563.0,640667.0,746463.0,794620.0
NetTangibleAssets,553998.0,690676.0,803095.0,887217.0
CommonStockEquity,553998.0,690676.0,803095.0,887217.0
TotalCapitalization,553998.0,690676.0,803095.0,887217.0
TotalEquityGrossMinorityInterest,553998.0,690676.0,803095.0,887217.0
StockholdersEquity,553998.0,690676.0,803095.0,887217.0
OtherEquityInterest,150163.0,151462.0,151462.0,944521.0
RetainedEarnings,-3762626.0,-3624448.0,-3512029.0,-4220966.0
CapitalStock,4166461.0,4163662.0,4163662.0,4163662.0
CommonStock,4166461.0,4163662.0,4163662.0,4163662.0
TotalLiabilitiesNetMinorityInterest,22164.0,21606.0,11207.0,8917.0
TotalNonCurrentLiabilitiesNetMinorityInterest,0.0,0.0,0.0,0.0
CurrentLiabilities,22164.0,21606.0,11207.0,8917.0
PayablesAndAccruedExpenses,22164.0,21606.0,11207.0,8917.0
Payables,,,11207.0,
AccountsPayable,,,11207.0,
TotalAssets,576162.0,712282.0,814302.0,896134.0
TotalNonCurrentAssets,43435.0,50009.0,56632.0,92597.0
InvestmentsAndAdvances,1.0,1.0,1.0,29000.0
InvestmentinFinancialAssets,1.0,1.0,1.0,29000.0
FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,1.0,1.0,1.0,29000.0
NetPPE,43434.0,50008.0,56631.0,63597.0
AccumulatedDepreciation,-72429.0,-65855.0,-59232.0,-52267.0
GrossPPE,115863.0,115863.0,115863.0,115864.0
OtherProperties,114593.0,114593.0,114593.0,114594.0
MachineryFurnitureEquipment,1270.0,1270.0,1270.0,1270.0
CurrentAssets,532727.0,662273.0,757670.0,803537.0
PrepaidAssets,292067.0,87175.0,240325.0,108358.0
Receivables,6788.0,5646.0,6350.0,8299.0
TaxesReceivable,6763.0,5621.0,6325.0,8299.0
AccountsReceivable,25.0,25.0,25.0,0.0
CashCashEquivalentsAndShortTermInvestments,233872.0,569452.0,510995.0,686880.0
CashAndCashEquivalents,233872.0,569452.0,510995.0,686880.0
CashFinancial,233872.0,569452.0,510995.0,686880.0
