,2023-09-30,2023-03-31,2022-12-31
TreasurySharesNumber,0.0,,
OrdinarySharesNumber,148722901.0,121772901.0,93460501.0
ShareIssued,148722901.0,121772901.0,93460501.0
TangibleBookValue,17024180.0,16133687.0,14400357.0
InvestedCapital,17024180.0,16133687.0,14400357.0
WorkingCapital,1113230.0,2014517.0,794284.0
NetTangibleAssets,17024180.0,16133687.0,14400357.0
CommonStockEquity,17024180.0,16133687.0,14400357.0
TotalCapitalization,17024180.0,16133687.0,14400357.0
TotalEquityGrossMinorityInterest,17024180.0,16133687.0,14400357.0
StockholdersEquity,17024180.0,16133687.0,14400357.0
OtherEquityInterest,1658616.0,2252353.0,1687125.0
GainsLossesNotAffectingRetainedEarnings,-26395.0,-69420.0,-68545.0
OtherEquityAdjustments,-26395.0,-69420.0,-68545.0
RetainedEarnings,-41473068.0,-40780635.0,-40183119.0
AdditionalPaidInCapital,8886490.0,7841907.0,7544907.0
CapitalStock,47978537.0,46889482.0,45419989.0
CommonStock,47978537.0,46889482.0,45419989.0
TotalLiabilitiesNetMinorityInterest,1460921.0,1395923.0,1373533.0
TotalNonCurrentLiabilitiesNetMinorityInterest,1314807.0,1297075.0,1288209.0
NonCurrentDeferredLiabilities,947084.0,932352.0,924986.0
NonCurrentDeferredTaxesLiabilities,947084.0,932352.0,924986.0
LongTermProvisions,367723.0,364723.0,363223.0
CurrentLiabilities,146114.0,98848.0,85324.0
PayablesAndAccruedExpenses,146114.0,98848.0,85324.0
TotalAssets,18485101.0,17529610.0,15773890.0
TotalNonCurrentAssets,17225757.0,15416245.0,14894282.0
OtherNonCurrentAssets,317793.0,317793.0,317793.0
NetPPE,16907964.0,15098452.0,14576489.0
CurrentAssets,1259344.0,2113365.0,879608.0
RestrictedCash,,19053.0,
PrepaidAssets,138631.0,148655.0,65082.0
Receivables,24796.0,33645.0,7802.0
TaxesReceivable,24796.0,33645.0,7802.0
CashCashEquivalentsAndShortTermInvestments,1095917.0,1912012.0,806724.0
CashAndCashEquivalents,1095917.0,1912012.0,806724.0
