,2023-06-30,2023-03-31,2022-12-31
OrdinarySharesNumber,319128728.0,318546266.0,318546266.0
ShareIssued,319128728.0,318546266.0,318546266.0
NetDebt,347005000.0,301492000.0,266545000.0
TotalDebt,402757000.0,400058000.0,398007000.0
TangibleBookValue,-246160000.0,-185633000.0,-137278000.0
InvestedCapital,158519000.0,216116000.0,261447000.0
WorkingCapital,-214357000.0,134825000.0,175141000.0
NetTangibleAssets,-246160000.0,-185633000.0,-137278000.0
CapitalLeaseObligations,30409000.0,30515000.0,31452000.0
CommonStockEquity,-213829000.0,-153427000.0,-105108000.0
TotalCapitalization,-142925000.0,215973000.0,261371000.0
TotalEquityGrossMinorityInterest,-213947000.0,-153606000.0,-105375000.0
MinorityInterest,-118000.0,-179000.0,-267000.0
StockholdersEquity,-213829000.0,-153427000.0,-105108000.0
GainsLossesNotAffectingRetainedEarnings,100530000.0,113315000.0,125611000.0
OtherEquityAdjustments,105585000.0,105585000.0,105585000.0
ForeignCurrencyTranslationAdjustments,-5055000.0,7730000.0,20026000.0
RetainedEarnings,-1172788000.0,-1124997000.0,-1088804000.0
CapitalStock,858429000.0,858255000.0,858085000.0
CommonStock,858429000.0,858255000.0,858085000.0
TotalLiabilitiesNetMinorityInterest,555554000.0,545914000.0,546388000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,165107000.0,458266000.0,454590000.0
OtherNonCurrentLiabilities,57763000.0,51387000.0,49158000.0
DerivativeProductLiabilities,172000.0,674000.0,339000.0
NonCurrentDeferredLiabilities,14706000.0,14779000.0,16311000.0
NonCurrentDeferredRevenue,14446000.0,14446000.0,15769000.0
NonCurrentDeferredTaxesLiabilities,260000.0,333000.0,542000.0
LongTermDebtAndCapitalLeaseObligation,92466000.0,391426000.0,388782000.0
LongTermCapitalLeaseObligation,21562000.0,22026000.0,22303000.0
LongTermDebt,70904000.0,369400000.0,366479000.0
CurrentLiabilities,390447000.0,87648000.0,91798000.0
CurrentDeferredLiabilities,15600000.0,15436000.0,17295000.0
CurrentDeferredRevenue,15600000.0,15436000.0,17295000.0
CurrentDebtAndCapitalLeaseObligation,310291000.0,8632000.0,9225000.0
CurrentCapitalLeaseObligation,8847000.0,8489000.0,9149000.0
CurrentDebt,301444000.0,143000.0,76000.0
OtherCurrentBorrowings,301444000.0,143000.0,76000.0
CurrentProvisions,3843000.0,,5263000.0
PayablesAndAccruedExpenses,60713000.0,63580000.0,60015000.0
CurrentAccruedExpenses,32988000.0,,31118000.0
InterestPayable,2317000.0,,7373000.0
Payables,27725000.0,63580000.0,28897000.0
AccountsPayable,27725000.0,63580000.0,28897000.0
TotalAssets,341607000.0,392308000.0,441013000.0
TotalNonCurrentAssets,165517000.0,169835000.0,174074000.0
OtherNonCurrentAssets,798000.0,505000.0,497000.0
InvestmentsAndAdvances,11526000.0,11995000.0,11421000.0
InvestmentinFinancialAssets,11526000.0,11995000.0,11421000.0
GoodwillAndOtherIntangibleAssets,32331000.0,32206000.0,32170000.0
OtherIntangibleAssets,17369000.0,,17511000.0
Goodwill,14962000.0,,14659000.0
NetPPE,120862000.0,125129000.0,129986000.0
AccumulatedDepreciation,-117312000.0,,-100947000.0
GrossPPE,238174000.0,125129000.0,230933000.0
ConstructionInProgress,56365000.0,,53681000.0
OtherProperties,14035000.0,125129000.0,16580000.0
MachineryFurnitureEquipment,129767000.0,,124575000.0
Properties,38007000.0,,36097000.0
CurrentAssets,176090000.0,222473000.0,266939000.0
PrepaidAssets,12468000.0,,11781000.0
Inventory,85971000.0,89824000.0,89965000.0
FinishedGoods,27474000.0,,68420000.0
WorkInProcess,2853000.0,,1961000.0
RawMaterials,55644000.0,,19584000.0
Receivables,52308000.0,64598000.0,65183000.0
OtherReceivables,8687000.0,,10732000.0
TaxesReceivable,30848000.0,24275000.0,27775000.0
AccountsReceivable,12773000.0,40323000.0,26676000.0
AllowanceForDoubtfulAccountsReceivable,-3638000.0,,-3730000.0
GrossAccountsReceivable,16411000.0,,30406000.0
CashCashEquivalentsAndShortTermInvestments,25343000.0,68051000.0,100010000.0
CashAndCashEquivalents,25343000.0,68051000.0,100010000.0
