,2023-09-30,2023-03-31
TreasurySharesNumber,0.0,0.0
OrdinarySharesNumber,1972347176.0,1964933931.0
ShareIssued,1972347176.0,1964933931.0
NetDebt,,278500000.0
TotalDebt,3291900000.0,3628000000.0
TangibleBookValue,2664700000.0,2647400000.0
InvestedCapital,2844200000.0,4156900000.0
WorkingCapital,-538400000.0,-551400000.0
NetTangibleAssets,2664700000.0,2647400000.0
CapitalLeaseObligations,,2281600000.0
CommonStockEquity,2844200000.0,2810500000.0
TotalCapitalization,2844200000.0,3929600000.0
TotalEquityGrossMinorityInterest,2847500000.0,2814900000.0
MinorityInterest,3300000.0,4400000.0
StockholdersEquity,2844200000.0,2810500000.0
RetainedEarnings,5824900000.0,5839100000.0
AdditionalPaidInCapital,3592000000.0,3591100000.0
CapitalStock,20000000.0,19800000.0
CommonStock,20000000.0,19800000.0
TotalLiabilitiesNetMinorityInterest,5925800000.0,6282900000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,3205200000.0,3576500000.0
DerivativeProductLiabilities,5600000.0,7100000.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,4500000.0,56400000.0
TradeandOtherPayablesNonCurrent,116500000.0,166600000.0
NonCurrentDeferredRevenue,,14700000.0
NonCurrentDeferredTaxesLiabilities,38200000.0,72300000.0
LongTermDebtAndCapitalLeaseObligation,2956500000.0,3184000000.0
LongTermCapitalLeaseObligation,,2064900000.0
LongTermDebt,,1119100000.0
LongTermProvisions,83900000.0,75400000.0
CurrentLiabilities,2720600000.0,2706400000.0
CurrentDebtAndCapitalLeaseObligation,335400000.0,444000000.0
CurrentCapitalLeaseObligation,,216700000.0
CurrentDebt,,227300000.0
PensionandOtherPostRetirementBenefitPlansCurrent,127100000.0,73000000.0
CurrentProvisions,38100000.0,44000000.0
Payables,2199200000.0,1485500000.0
OtherPayable,,560000000.0
TotalTaxPayable,57300000.0,123800000.0
AccountsPayable,2141900000.0,801700000.0
TotalAssets,8773300000.0,9097800000.0
TotalNonCurrentAssets,6591100000.0,6942800000.0
DefinedPensionBenefit,184200000.0,482000000.0
NonCurrentPrepaidAssets,,201600000.0
NonCurrentDeferredTaxesAssets,7600000.0,7600000.0
FinancialAssets,6100000.0,100000.0
InvestmentinFinancialAssets,12500000.0,7900000.0
AvailableForSaleSecurities,12500000.0,7900000.0
LongTermEquityInvestment,721300000.0,767900000.0
InvestmentProperties,11800000.0,11800000.0
GoodwillAndOtherIntangibleAssets,179500000.0,163100000.0
OtherIntangibleAssets,,134700000.0
Goodwill,,28400000.0
NetPPE,5119400000.0,5203700000.0
AccumulatedDepreciation,,-4856600000.0
GrossPPE,,10060300000.0
ConstructionInProgress,,160600000.0
MachineryFurnitureEquipment,,5598500000.0
Properties,,4301200000.0
CurrentAssets,2182200000.0,2155000000.0
HedgingAssetsCurrent,25300000.0,22600000.0
RestrictedCash,,5600000.0
PrepaidAssets,,97000000.0
Inventory,999700000.0,764400000.0
OtherReceivables,,59800000.0
TaxesReceivable,6500000.0,6500000.0
AccountsReceivable,313000000.0,122900000.0
AllowanceForDoubtfulAccountsReceivable,,-5400000.0
GrossAccountsReceivable,,128300000.0
CashCashEquivalentsAndShortTermInvestments,837700000.0,1075300000.0
OtherShortTermInvestments,9000000.0,7400000.0
CashAndCashEquivalents,828700000.0,1067900000.0
