,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TreasurySharesNumber,0.0,,,
OrdinarySharesNumber,19711855.0,16612266.0,13633992.0,11539564.0
ShareIssued,19711855.0,16612266.0,13633992.0,11539564.0
NetDebt,16202000.0,16272000.0,16124000.0,16447000.0
TotalDebt,17175000.0,17287000.0,16638000.0,16693000.0
TangibleBookValue,-32918000.0,-28429000.0,-25777000.0,-20425000.0
InvestedCapital,-16446000.0,-11949000.0,-9289000.0,-3926000.0
WorkingCapital,-34512000.0,-30423000.0,-27768000.0,-22517000.0
NetTangibleAssets,-32918000.0,-28429000.0,-25777000.0,-20425000.0
CapitalLeaseObligations,703000.0,807000.0,150000.0,194000.0
CommonStockEquity,-32918000.0,-28429000.0,-25777000.0,-20425000.0
TotalCapitalization,-32918000.0,-28429000.0,-25777000.0,-20425000.0
TotalEquityGrossMinorityInterest,-32918000.0,-28429000.0,-25777000.0,-20425000.0
StockholdersEquity,-32918000.0,-28429000.0,-25777000.0,-20425000.0
GainsLossesNotAffectingRetainedEarnings,-1229000.0,-1404000.0,-1177000.0,-859000.0
OtherEquityAdjustments,-1229000.0,-1404000.0,-1177000.0,-859000.0
RetainedEarnings,-409731000.0,-402559000.0,-396685000.0,-388523000.0
AdditionalPaidInCapital,378022000.0,375517000.0,372071000.0,368945000.0
CapitalStock,20000.0,17000.0,14000.0,12000.0
CommonStock,20000.0,17000.0,14000.0,12000.0
PreferredStock,0.0,0.0,0.0,0.0
TotalLiabilitiesNetMinorityInterest,45316000.0,41287000.0,39950000.0,34861000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,336000.0,398000.0,30000.0,56000.0
LongTermDebtAndCapitalLeaseObligation,336000.0,398000.0,30000.0,56000.0
LongTermCapitalLeaseObligation,336000.0,398000.0,30000.0,56000.0
CurrentLiabilities,44980000.0,40889000.0,39920000.0,34805000.0
OtherCurrentLiabilities,9395000.0,5775000.0,5175000.0,240000.0
CurrentDeferredLiabilities,363000.0,420000.0,481000.0,308000.0
CurrentDeferredRevenue,363000.0,420000.0,481000.0,308000.0
CurrentDebtAndCapitalLeaseObligation,16839000.0,16889000.0,16608000.0,16637000.0
CurrentCapitalLeaseObligation,367000.0,409000.0,120000.0,138000.0
CurrentDebt,16472000.0,16480000.0,16488000.0,16499000.0
OtherCurrentBorrowings,,,,1892000.0
CurrentNotesPayable,16472000.0,16480000.0,16488000.0,14607000.0
PensionandOtherPostRetirementBenefitPlansCurrent,2822000.0,2542000.0,2007000.0,1448000.0
PayablesAndAccruedExpenses,15561000.0,15263000.0,15649000.0,16172000.0
CurrentAccruedExpenses,3935000.0,3029000.0,2597000.0,3162000.0
InterestPayable,633000.0,279000.0,167000.0,769000.0
Payables,11626000.0,12234000.0,13052000.0,13010000.0
OtherPayable,2018000.0,2031000.0,2224000.0,2234000.0
DuetoRelatedPartiesCurrent,1030000.0,1078000.0,1077000.0,1174000.0
AccountsPayable,8578000.0,9125000.0,9751000.0,9602000.0
TotalAssets,12398000.0,12858000.0,14173000.0,14436000.0
TotalNonCurrentAssets,1930000.0,2392000.0,2021000.0,2148000.0
OtherNonCurrentAssets,146000.0,187000.0,226000.0,269000.0
NetPPE,1784000.0,2205000.0,1795000.0,1879000.0
AccumulatedDepreciation,-6307000.0,-6210000.0,-6276000.0,-6229000.0
GrossPPE,8091000.0,8415000.0,8071000.0,8108000.0
Leases,206000.0,206000.0,202000.0,204000.0
ConstructionInProgress,0.0,997000.0,1199000.0,1199000.0
OtherProperties,678000.0,783000.0,135000.0,180000.0
MachineryFurnitureEquipment,7207000.0,6429000.0,6535000.0,6525000.0
Properties,0.0,0.0,0.0,0.0
CurrentAssets,10468000.0,10466000.0,12152000.0,12288000.0
OtherCurrentAssets,7000.0,7000.0,5000.0,6000.0
CurrentDeferredAssets,5899000.0,5598000.0,7485000.0,7463000.0
PrepaidAssets,792000.0,847000.0,1260000.0,1345000.0
Inventory,455000.0,351000.0,309000.0,308000.0
InventoriesAdjustmentsAllowances,,,-2200000.0,
OtherInventories,,,2509000.0,
Receivables,3045000.0,3455000.0,2729000.0,3114000.0
OtherReceivables,2000.0,10000.0,10000.0,23000.0
AccountsReceivable,3043000.0,3445000.0,2719000.0,3091000.0
AllowanceForDoubtfulAccountsReceivable,-4060000.0,-4081000.0,-4166000.0,-4122000.0
GrossAccountsReceivable,7103000.0,7526000.0,6885000.0,7213000.0
CashCashEquivalentsAndShortTermInvestments,270000.0,208000.0,364000.0,52000.0
OtherShortTermInvestments,,,,0.0
CashAndCashEquivalents,270000.0,208000.0,364000.0,52000.0
CashFinancial,270000.0,208000.0,364000.0,52000.0
