,2023-09-30,2023-06-30,2023-03-31,2022-12-31
OrdinarySharesNumber,157843466.0,150462266.0,149912266.0,149612266.0
ShareIssued,157843466.0,150462266.0,149912266.0,149612266.0
TotalDebt,13856.0,15919.0,19200.0,22400.0
TangibleBookValue,8570841.0,8584692.0,8933536.0,9264292.0
InvestedCapital,8570841.0,8584692.0,8933536.0,9264292.0
WorkingCapital,254532.0,212322.0,406946.0,605150.0
NetTangibleAssets,8570841.0,8584692.0,8933536.0,9264292.0
CapitalLeaseObligations,13856.0,15919.0,19200.0,22400.0
CommonStockEquity,8570841.0,8584692.0,8933536.0,9264292.0
TotalCapitalization,8570841.0,8584692.0,8933536.0,9264292.0
TotalEquityGrossMinorityInterest,8570841.0,8584692.0,8933536.0,9264292.0
StockholdersEquity,8570841.0,8584692.0,8933536.0,9264292.0
GainsLossesNotAffectingRetainedEarnings,10733420.0,10643444.0,10643444.0,10643444.0
RetainedEarnings,-20572928.0,-20369722.0,-19999628.0,-19659872.0
CapitalStock,18410349.0,18310970.0,18289720.0,18280720.0
CommonStock,18410349.0,18310970.0,18289720.0,18280720.0
TotalLiabilitiesNetMinorityInterest,159705.0,153992.0,157040.0,204061.0
TotalNonCurrentLiabilitiesNetMinorityInterest,0.0,1811.0,5489.0,9065.0
LongTermDebtAndCapitalLeaseObligation,,1811.0,5489.0,9065.0
LongTermCapitalLeaseObligation,0.0,1811.0,5489.0,9065.0
CurrentLiabilities,159705.0,152181.0,151551.0,194996.0
CurrentDeferredLiabilities,,,,0.0
CurrentDebtAndCapitalLeaseObligation,13856.0,14108.0,13711.0,13335.0
CurrentCapitalLeaseObligation,13856.0,14108.0,13711.0,13335.0
PayablesAndAccruedExpenses,145849.0,138073.0,137840.0,181661.0
Payables,145849.0,,,
AccountsPayable,145849.0,,,
TotalAssets,8730546.0,8738684.0,9090576.0,9468353.0
TotalNonCurrentAssets,8316309.0,8374181.0,8532079.0,8668207.0
InvestmentsAndAdvances,182215.0,327615.0,611176.0,757139.0
InvestmentinFinancialAssets,182215.0,327615.0,611176.0,757139.0
AvailableForSaleSecurities,182215.0,327615.0,611176.0,757139.0
NetPPE,8134094.0,8046566.0,7920903.0,7911068.0
AccumulatedDepreciation,-283554.0,-276599.0,-269761.0,-262920.0
GrossPPE,8417648.0,8323165.0,8190664.0,8173988.0
Leases,4812.0,4812.0,4812.0,4812.0
OtherProperties,8124881.0,8031765.0,7899264.0,7882588.0
MachineryFurnitureEquipment,237954.0,237954.0,237954.0,237954.0
BuildingsAndImprovements,50001.0,48634.0,48634.0,48634.0
CurrentAssets,414237.0,364503.0,558497.0,800146.0
RestrictedCash,115673.0,,,0.0
PrepaidAssets,22001.0,20670.0,6217.0,15120.0
Receivables,11041.0,11792.0,7590.0,6625.0
TaxesReceivable,11041.0,11792.0,7590.0,6625.0
CashCashEquivalentsAndShortTermInvestments,265522.0,332041.0,544690.0,778401.0
OtherShortTermInvestments,155907.0,256156.0,302056.0,289269.0
CashAndCashEquivalents,109615.0,75885.0,242634.0,489132.0
CashFinancial,109615.0,75885.0,242634.0,489132.0
