,2023-09-30
OrdinarySharesNumber,3094.0
ShareIssued,3094.0
TotalDebt,831073.0
TangibleBookValue,-127063.0
InvestedCapital,704010.0
WorkingCapital,516937.0
NetTangibleAssets,-123063.0
CommonStockEquity,-127063.0
PreferredStockEquity,4000.0
TotalCapitalization,516937.0
TotalEquityGrossMinorityInterest,-123063.0
StockholdersEquity,-123063.0
RetainedEarnings,-2526345.0
AdditionalPaidInCapital,1994004.0
CapitalStock,409278.0
CommonStock,405278.0
PreferredStock,4000.0
TotalLiabilitiesNetMinorityInterest,1047201.0
TotalNonCurrentLiabilitiesNetMinorityInterest,640000.0
LongTermDebtAndCapitalLeaseObligation,640000.0
LongTermDebt,640000.0
CurrentLiabilities,407201.0
CurrentDebtAndCapitalLeaseObligation,191073.0
CurrentDebt,191073.0
OtherCurrentBorrowings,191073.0
PayablesAndAccruedExpenses,216128.0
CurrentAccruedExpenses,120000.0
InterestPayable,120000.0
Payables,96128.0
OtherPayable,16600.0
AccountsPayable,79528.0
TotalAssets,924138.0
TotalNonCurrentAssets,0.0
CurrentAssets,924138.0
OtherCurrentAssets,31842.0
Receivables,38912.0
AccountsReceivable,38912.0
CashCashEquivalentsAndShortTermInvestments,853384.0
CashAndCashEquivalents,853384.0
