,2023-09-30,2023-03-31
OrdinarySharesNumber,198325682.0,146563460.0
ShareIssued,198325682.0,146563460.0
NetDebt,5715937.0,7217791.0
TotalDebt,7449084.0,7802513.0
TangibleBookValue,-5732654.0,-7429039.0
InvestedCapital,7258611.0,6315008.0
WorkingCapital,-323944.0,-1625221.0
NetTangibleAssets,-5732654.0,-7429039.0
CapitalLeaseObligations,68008.0,131635.0
CommonStockEquity,-122465.0,-1355870.0
TotalCapitalization,5208065.0,4372984.0
TotalEquityGrossMinorityInterest,-122465.0,-1355870.0
StockholdersEquity,-122465.0,-1355870.0
GainsLossesNotAffectingRetainedEarnings,5305936.0,4587915.0
OtherEquityAdjustments,5358939.0,4764785.0
ForeignCurrencyTranslationAdjustments,-53003.0,-176870.0
RetainedEarnings,-26726909.0,-22659596.0
CapitalStock,21298508.0,16715811.0
CommonStock,21298508.0,16715811.0
TotalLiabilitiesNetMinorityInterest,8646807.0,9253615.0
TotalNonCurrentLiabilitiesNetMinorityInterest,5475530.0,5936468.0
OtherNonCurrentLiabilities,145000.0,195000.0
LongTermDebtAndCapitalLeaseObligation,5330530.0,5741468.0
LongTermCapitalLeaseObligation,0.0,12614.0
LongTermDebt,5330530.0,5728854.0
CurrentLiabilities,3171277.0,3317147.0
CurrentDeferredLiabilities,156918.0,37423.0
CurrentDeferredRevenue,156918.0,37423.0
CurrentDebtAndCapitalLeaseObligation,2118554.0,2061045.0
CurrentCapitalLeaseObligation,68008.0,119021.0
CurrentDebt,2050546.0,1942024.0
OtherCurrentBorrowings,2000546.0,1942024.0
CurrentNotesPayable,50000.0,
PayablesAndAccruedExpenses,895805.0,1218679.0
Payables,895805.0,1218679.0
OtherPayable,7000.0,7000.0
DuetoRelatedPartiesCurrent,51670.0,23548.0
AccountsPayable,837135.0,1188131.0
TotalAssets,8524342.0,7897745.0
TotalNonCurrentAssets,5677009.0,6205819.0
GoodwillAndOtherIntangibleAssets,5610189.0,6073169.0
OtherIntangibleAssets,3955216.0,4371453.0
Goodwill,1654973.0,1701716.0
NetPPE,66820.0,132650.0
GrossPPE,66820.0,132650.0
OtherProperties,66820.0,132650.0
CurrentAssets,2847333.0,1691926.0
RestrictedCash,50000.0,
PrepaidAssets,680866.0,839199.0
Inventory,83660.0,70810.0
Receivables,367668.0,328830.0
TaxesReceivable,286863.0,319827.0
AccountsReceivable,80805.0,9003.0
CashCashEquivalentsAndShortTermInvestments,1665139.0,453087.0
CashAndCashEquivalents,1665139.0,453087.0
CashFinancial,1665139.0,453087.0
