,2023-09-30,2023-06-30,2023-03-31,2022-12-31
OrdinarySharesNumber,286493000.0,266762000.0,260675000.0,245562121.0
ShareIssued,286493000.0,266762000.0,260675000.0,245562121.0
NetDebt,1192974000.0,1197424000.0,1291115000.0,1335627000.0
TotalDebt,1508379000.0,1582366000.0,1619829000.0,1751003000.0
TangibleBookValue,-1083404000.0,-1074710000.0,-1018544000.0,-910713000.0
InvestedCapital,267577000.0,1219396000.0,1415656000.0,1694952000.0
WorkingCapital,219980000.0,299257000.0,314088000.0,585037000.0
NetTangibleAssets,-1083404000.0,-1074710000.0,-1018544000.0,-910713000.0
CapitalLeaseObligations,157398000.0,162184000.0,167517000.0,157887000.0
CommonStockEquity,-1083404000.0,-200786000.0,-36656000.0,101836000.0
TotalCapitalization,240670000.0,1219396000.0,1343754000.0,1694952000.0
TotalEquityGrossMinorityInterest,-1083404000.0,-200786000.0,-36656000.0,101836000.0
StockholdersEquity,-1083404000.0,-200786000.0,-36656000.0,101836000.0
GainsLossesNotAffectingRetainedEarnings,25378000.0,8910000.0,-108000.0,-80000.0
OtherEquityAdjustments,25378000.0,8910000.0,-108000.0,-80000.0
RetainedEarnings,-6169942000.0,-5227835000.0,-5021324000.0,-4829141000.0
AdditionalPaidInCapital,5061131000.0,5018112000.0,4984750000.0,4931032000.0
CapitalStock,29000.0,27000.0,26000.0,25000.0
CommonStock,29000.0,27000.0,26000.0,25000.0
PreferredStock,,,,0.0
TotalLiabilitiesNetMinorityInterest,1618519000.0,1723825000.0,1728319000.0,1852280000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,1460100000.0,1571857000.0,1538139000.0,1744187000.0
OtherNonCurrentLiabilities,226000.0,4241000.0,4326000.0,3956000.0
EmployeeBenefits,,,,769000.0
NonCurrentDeferredLiabilities,0.0,6200000.0,7130000.0,8180000.0
NonCurrentDeferredRevenue,,,,50000.0
NonCurrentDeferredTaxesLiabilities,0.0,6200000.0,7130000.0,8130000.0
LongTermDebtAndCapitalLeaseObligation,1459874000.0,1561416000.0,1526683000.0,1731282000.0
LongTermCapitalLeaseObligation,135800000.0,141234000.0,146273000.0,138166000.0
LongTermDebt,1324074000.0,1420182000.0,1380410000.0,1593116000.0
CurrentLiabilities,158419000.0,151968000.0,190180000.0,108093000.0
CurrentDeferredLiabilities,4788000.0,5239000.0,5721000.0,4814000.0
CurrentDeferredRevenue,4788000.0,5239000.0,5721000.0,4814000.0
CurrentDebtAndCapitalLeaseObligation,48505000.0,20950000.0,93146000.0,19721000.0
CurrentCapitalLeaseObligation,21598000.0,20950000.0,21244000.0,19721000.0
CurrentDebt,26907000.0,,71902000.0,
OtherCurrentBorrowings,26907000.0,,71902000.0,
PensionandOtherPostRetirementBenefitPlansCurrent,39345000.0,40392000.0,37305000.0,30650000.0
PayablesAndAccruedExpenses,65781000.0,85387000.0,54008000.0,52908000.0
CurrentAccruedExpenses,40596000.0,62320000.0,42105000.0,38924000.0
InterestPayable,45000.0,4595000.0,62000.0,6646000.0
Payables,25185000.0,23067000.0,11903000.0,13984000.0
AccountsPayable,25185000.0,23067000.0,11903000.0,13984000.0
TotalAssets,535115000.0,1523039000.0,1691663000.0,1954116000.0
TotalNonCurrentAssets,156716000.0,1071814000.0,1187395000.0,1260986000.0
OtherNonCurrentAssets,29631000.0,31081000.0,32011000.0,33151000.0
GoodwillAndOtherIntangibleAssets,0.0,873924000.0,981888000.0,1012549000.0
OtherIntangibleAssets,,873924000.0,981888000.0,1012549000.0
Goodwill,,,,0.0
NetPPE,127085000.0,166809000.0,173496000.0,215286000.0
AccumulatedDepreciation,-69285000.0,-76232000.0,-73879000.0,-70573000.0
GrossPPE,196370000.0,243041000.0,247375000.0,285859000.0
Leases,56392000.0,73324000.0,72184000.0,74108000.0
ConstructionInProgress,7621000.0,12752000.0,14186000.0,23490000.0
OtherProperties,120214000.0,141761000.0,68222000.0,173121000.0
MachineryFurnitureEquipment,12143000.0,15204000.0,14732000.0,15140000.0
BuildingsAndImprovements,,,78051000.0,
Properties,0.0,0.0,0.0,0.0
CurrentAssets,378399000.0,451225000.0,504268000.0,693130000.0
OtherCurrentAssets,19692000.0,19664000.0,20908000.0,19496000.0
Inventory,21627000.0,20814000.0,19070000.0,30386000.0
FinishedGoods,0.0,0.0,0.0,12000.0
WorkInProcess,259000.0,0.0,157000.0,382000.0
RawMaterials,21368000.0,20814000.0,18913000.0,29992000.0
Receivables,82507000.0,85610000.0,85592000.0,96148000.0
AccountsReceivable,82507000.0,85610000.0,85592000.0,96148000.0
CashCashEquivalentsAndShortTermInvestments,254573000.0,325137000.0,378698000.0,547100000.0
OtherShortTermInvestments,96566000.0,102379000.0,217501000.0,289611000.0
CashAndCashEquivalents,158007000.0,222758000.0,161197000.0,257489000.0
