,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TreasurySharesNumber,137592.0,137592.0,,137592.0
OrdinarySharesNumber,961426102.0,961381180.0,931587183.0,929852147.0
ShareIssued,961563694.0,961518772.0,931587183.0,929989739.0
TotalDebt,13709300000.0,13017100000.0,12708300000.0,10085100000.0
TangibleBookValue,4053200000.0,1594200000.0,1070300000.0,4014300000.0
InvestedCapital,9802800000.0,7763000000.0,7299000000.0,8451700000.0
WorkingCapital,3781800000.0,1304100000.0,734900000.0,2421000000.0
NetTangibleAssets,4053200000.0,1594200000.0,1070300000.0,4014300000.0
CapitalLeaseObligations,10085000000.0,8960900000.0,8576900000.0,5836800000.0
CommonStockEquity,6178500000.0,3706800000.0,3167600000.0,4203400000.0
TotalCapitalization,9678500000.0,7514900000.0,7051900000.0,8253300000.0
TotalEquityGrossMinorityInterest,6178500000.0,3706800000.0,3167600000.0,4203400000.0
StockholdersEquity,6178500000.0,3706800000.0,3167600000.0,4203400000.0
OtherEquityInterest,,,,2518000000.0
RetainedEarnings,,,,-24117100000.0
AdditionalPaidInCapital,,,,25437700000.0
CapitalStock,,,,93000000.0
CommonStock,,,,93000000.0
TotalLiabilitiesNetMinorityInterest,25341100000.0,26613100000.0,25221900000.0,18466200000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,15198900000.0,14047600000.0,13384800000.0,10842300000.0
OtherNonCurrentLiabilities,3215100000.0,2862700000.0,2411200000.0,100000.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,,,,202300000.0
NonCurrentDeferredTaxesLiabilities,,,,59900000.0
LongTermDebtAndCapitalLeaseObligation,11983800000.0,11184900000.0,10973600000.0,8696100000.0
LongTermCapitalLeaseObligation,8483800000.0,7376800000.0,7089300000.0,4646200000.0
LongTermDebt,3500000000.0,3808100000.0,3884300000.0,4049900000.0
LongTermProvisions,,,,1883900000.0
CurrentLiabilities,10142200000.0,12565500000.0,11837100000.0,7623900000.0
OtherCurrentLiabilities,8416700000.0,10733300000.0,10102400000.0,2548700000.0
CurrentDebtAndCapitalLeaseObligation,1725500000.0,1832200000.0,1734700000.0,1389000000.0
CurrentCapitalLeaseObligation,1601200000.0,1584100000.0,1487600000.0,1190600000.0
CurrentDebt,124300000.0,248100000.0,247100000.0,198400000.0
PensionandOtherPostRetirementBenefitPlansCurrent,,,,223600000.0
CurrentProvisions,,,,400100000.0
Payables,,,,1927000000.0
OtherPayable,,,,1251300000.0
TotalTaxPayable,,,,145900000.0
AccountsPayable,,,,529800000.0
TotalAssets,31519600000.0,30319900000.0,28389500000.0,22669600000.0
TotalNonCurrentAssets,17595600000.0,16450300000.0,15817500000.0,12624700000.0
OtherNonCurrentAssets,704900000.0,668400000.0,513100000.0,-200000.0
NonCurrentDeferredTaxesAssets,,,,1900700000.0
InvestmentinFinancialAssets,,,,3700000.0
AvailableForSaleSecurities,,,,3700000.0
GoodwillAndOtherIntangibleAssets,2125300000.0,2112600000.0,2097300000.0,189100000.0
OtherIntangibleAssets,,,,95100000.0
Goodwill,,,,94000000.0
NetPPE,14765400000.0,13669300000.0,13207100000.0,10078000000.0
AccumulatedDepreciation,,,,-4523400000.0
GrossPPE,14765400000.0,13669200000.0,13207000000.0,14601400000.0
ConstructionInProgress,3186700000.0,3209800000.0,3122200000.0,2937500000.0
OtherProperties,10262000000.0,9120100000.0,8752400000.0,572800000.0
MachineryFurnitureEquipment,1316700000.0,1339300000.0,1332400000.0,10490600000.0
BuildingsAndImprovements,,,,600500000.0
Properties,,,,0.0
CurrentAssets,13924000000.0,13869600000.0,12572000000.0,10044900000.0
OtherCurrentAssets,,-100000.0,,
HedgingAssetsCurrent,,,,19900000.0
RestrictedCash,,,,1152800000.0
Inventory,227600000.0,198900000.0,108500000.0,81300000.0
RawMaterials,,,,81300000.0
AccountsReceivable,4305300000.0,4321500000.0,3835500000.0,2184800000.0
CashCashEquivalentsAndShortTermInvestments,9391100000.0,9349300000.0,8628000000.0,6606100000.0
CashAndCashEquivalents,9391100000.0,9349300000.0,8628000000.0,6606100000.0
CashEquivalents,,,,2544000000.0
CashFinancial,,,,4062100000.0
