,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
OrdinarySharesNumber,677636163.0,668592580.0,657337566.0,647607920.0,637387025.0
ShareIssued,677636163.0,668592580.0,657337566.0,647607920.0,637387025.0
NetDebt,1511000000.0,1678000000.0,1923000000.0,2810000000.0,4218000000.0
TotalDebt,2534000000.0,2858000000.0,3071000000.0,3995000000.0,5400000000.0
TangibleBookValue,958000000.0,1009000000.0,1073000000.0,1022000000.0,1070000000.0
InvestedCapital,3477000000.0,3852000000.0,4129000000.0,4989000000.0,6441000000.0
WorkingCapital,3375000000.0,3745000000.0,4005000000.0,4529000000.0,4961000000.0
NetTangibleAssets,958000000.0,1009000000.0,1073000000.0,1022000000.0,1070000000.0
CapitalLeaseObligations,24000000.0,26000000.0,28000000.0,42000000.0,45000000.0
CommonStockEquity,967000000.0,1020000000.0,1086000000.0,1036000000.0,1086000000.0
TotalCapitalization,3477000000.0,3852000000.0,4114000000.0,4634000000.0,5065000000.0
TotalEquityGrossMinorityInterest,967000000.0,1020000000.0,1086000000.0,1036000000.0,1086000000.0
StockholdersEquity,967000000.0,1020000000.0,1086000000.0,1036000000.0,1086000000.0
GainsLossesNotAffectingRetainedEarnings,-1000000.0,-1000000.0,-2000000.0,-3000000.0,-4000000.0
OtherEquityAdjustments,-1000000.0,-1000000.0,-2000000.0,-3000000.0,-4000000.0
RetainedEarnings,-3333000000.0,-3242000000.0,-3136000000.0,-3159000000.0,-3058000000.0
AdditionalPaidInCapital,4301000000.0,4263000000.0,4224000000.0,4198000000.0,4148000000.0
CapitalStock,0.0,0.0,0.0,0.0,0.0
CommonStock,0.0,0.0,0.0,0.0,0.0
TotalLiabilitiesNetMinorityInterest,2600000000.0,2927000000.0,3137000000.0,4076000000.0,5522000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,2530000000.0,2853000000.0,3049000000.0,3633000000.0,4017000000.0
OtherNonCurrentLiabilities,1000000.0,1000000.0,,,
LongTermDebtAndCapitalLeaseObligation,2529000000.0,2852000000.0,3049000000.0,3633000000.0,4017000000.0
LongTermCapitalLeaseObligation,19000000.0,20000000.0,21000000.0,35000000.0,38000000.0
LongTermDebt,2510000000.0,2832000000.0,3028000000.0,3598000000.0,3979000000.0
CurrentLiabilities,70000000.0,74000000.0,88000000.0,443000000.0,1505000000.0
CurrentDebtAndCapitalLeaseObligation,5000000.0,6000000.0,22000000.0,362000000.0,1383000000.0
CurrentCapitalLeaseObligation,5000000.0,6000000.0,7000000.0,7000000.0,7000000.0
CurrentDebt,,,15000000.0,355000000.0,1376000000.0
OtherCurrentBorrowings,,,15000000.0,355000000.0,1376000000.0
LineOfCredit,,,,,0.0
PayablesAndAccruedExpenses,65000000.0,68000000.0,66000000.0,81000000.0,122000000.0
CurrentAccruedExpenses,56000000.0,1000000.0,1000000.0,4000000.0,88000000.0
InterestPayable,1000000.0,1000000.0,1000000.0,4000000.0,12000000.0
Payables,9000000.0,67000000.0,65000000.0,77000000.0,34000000.0
TotalTaxPayable,7000000.0,,,,29000000.0
AccountsPayable,2000000.0,67000000.0,65000000.0,77000000.0,5000000.0
TotalAssets,3567000000.0,3947000000.0,4223000000.0,5112000000.0,6608000000.0
TotalNonCurrentAssets,122000000.0,128000000.0,130000000.0,139000000.0,142000000.0
OtherNonCurrentAssets,22000000.0,22000000.0,27000000.0,27000000.0,27000000.0
GoodwillAndOtherIntangibleAssets,9000000.0,11000000.0,13000000.0,14000000.0,16000000.0
OtherIntangibleAssets,5000000.0,7000000.0,9000000.0,10000000.0,12000000.0
Goodwill,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0
NetPPE,91000000.0,95000000.0,90000000.0,98000000.0,99000000.0
AccumulatedDepreciation,-100000000.0,-91000000.0,-84000000.0,-100000000.0,-90000000.0
GrossPPE,191000000.0,186000000.0,174000000.0,198000000.0,189000000.0
Leases,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0
OtherProperties,44000000.0,46000000.0,47000000.0,58000000.0,59000000.0
MachineryFurnitureEquipment,145000000.0,138000000.0,125000000.0,138000000.0,128000000.0
Properties,0.0,0.0,0.0,0.0,0.0
CurrentAssets,3445000000.0,3819000000.0,4093000000.0,4972000000.0,6466000000.0
OtherCurrentAssets,52000000.0,47000000.0,37000000.0,46000000.0,41000000.0
AssetsHeldForSaleCurrent,,,,,0.0
RestrictedCash,550000000.0,1235000000.0,1697000000.0,1557000000.0,684000000.0
Inventory,1775000000.0,1311000000.0,1149000000.0,2118000000.0,4460000000.0
FinishedGoods,1135000000.0,1013000000.0,897000000.0,1960000000.0,3569000000.0
WorkInProcess,640000000.0,298000000.0,252000000.0,158000000.0,891000000.0
CashCashEquivalentsAndShortTermInvestments,1068000000.0,1226000000.0,1210000000.0,1251000000.0,1281000000.0
OtherShortTermInvestments,69000000.0,72000000.0,90000000.0,108000000.0,144000000.0
CashAndCashEquivalents,999000000.0,1154000000.0,1120000000.0,1143000000.0,1137000000.0
CashEquivalents,936000000.0,1085000000.0,1019000000.0,885000000.0,715000000.0
CashFinancial,63000000.0,69000000.0,101000000.0,258000000.0,422000000.0
