,2023-12-31
OrdinarySharesNumber,124733494.0
ShareIssued,124733494.0
TotalDebt,313105.0
TangibleBookValue,5472459.0
InvestedCapital,5472459.0
WorkingCapital,4335806.0
NetTangibleAssets,5472459.0
CapitalLeaseObligations,313105.0
CommonStockEquity,5472459.0
TotalCapitalization,5472459.0
TotalEquityGrossMinorityInterest,5472459.0
StockholdersEquity,5472459.0
RetainedEarnings,-35098000.0
AdditionalPaidInCapital,40570459.0
CapitalStock,0.0
CommonStock,0.0
PreferredStock,0.0
TotalLiabilitiesNetMinorityInterest,837084.0
TotalNonCurrentLiabilitiesNetMinorityInterest,222448.0
LongTermDebtAndCapitalLeaseObligation,222448.0
LongTermCapitalLeaseObligation,222448.0
CurrentLiabilities,614636.0
CurrentDeferredLiabilities,51185.0
CurrentDeferredRevenue,51185.0
CurrentDebtAndCapitalLeaseObligation,90657.0
CurrentCapitalLeaseObligation,90657.0
PayablesAndAccruedExpenses,472794.0
CurrentAccruedExpenses,103174.0
Payables,369620.0
TotalTaxPayable,5184.0
IncomeTaxPayable,0.0
AccountsPayable,364436.0
TotalAssets,6309543.0
TotalNonCurrentAssets,1359101.0
NonCurrentPrepaidAssets,6300.0
NonCurrentDeferredAssets,1011466.0
NonCurrentDeferredTaxesAssets,1011466.0
NetPPE,341335.0
AccumulatedDepreciation,-14653.0
GrossPPE,355988.0
OtherProperties,301569.0
MachineryFurnitureEquipment,54419.0
CurrentAssets,4950442.0
PrepaidAssets,954917.0
Inventory,1794416.0
InventoriesAdjustmentsAllowances,-6343.0
FinishedGoods,1794416.0
Receivables,194491.0
OtherReceivables,45370.0
AccountsReceivable,149121.0
AllowanceForDoubtfulAccountsReceivable,-18469.0
GrossAccountsReceivable,167590.0
CashCashEquivalentsAndShortTermInvestments,2006618.0
CashAndCashEquivalents,2006618.0
CashFinancial,2006618.0
