,2023-09-30,2023-06-30,2023-03-31,2022-12-31
OrdinarySharesNumber,2110179073.0,2110147823.0,2109942498.0,2109911248.0
ShareIssued,2110179073.0,2110147823.0,2109942498.0,2109911248.0
NetDebt,1943916000.0,1345304000.0,881128000.0,371565000.0
TotalDebt,2969533000.0,2506167000.0,1765399000.0,1452543000.0
TangibleBookValue,-2158639000.0,-1937072000.0,-1619943000.0,-1530120000.0
InvestedCapital,2266071000.0,1931961000.0,1624409000.0,1211799000.0
WorkingCapital,-2021741000.0,-1665276000.0,-1052435000.0,-1072168000.0
NetTangibleAssets,-2158639000.0,-1937072000.0,-1619943000.0,-1530120000.0
CapitalLeaseObligations,74529000.0,103451000.0,,107101000.0
CommonStockEquity,-628933000.0,-470755000.0,-140990000.0,-133643000.0
TotalCapitalization,-628933000.0,-470755000.0,231898000.0,-133643000.0
TotalEquityGrossMinorityInterest,-628933000.0,-470755000.0,-140990000.0,-133643000.0
StockholdersEquity,-628933000.0,-470755000.0,-140990000.0,-133643000.0
GainsLossesNotAffectingRetainedEarnings,-42796000.0,-39000000.0,-11794000.0,-12265000.0
ForeignCurrencyTranslationAdjustments,-42796000.0,-39000000.0,-11794000.0,-12265000.0
RetainedEarnings,-4195176000.0,-4039810000.0,-3735752000.0,-3726775000.0
AdditionalPaidInCapital,3587871000.0,3586888000.0,3585391000.0,3584232000.0
CapitalStock,21168000.0,21167000.0,21165000.0,21165000.0
CommonStock,21168000.0,21167000.0,21165000.0,21165000.0
TotalLiabilitiesNetMinorityInterest,5015397000.0,4726000000.0,4124460000.0,4076094000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,514360000.0,653778000.0,923925000.0,823592000.0
OtherNonCurrentLiabilities,270660000.0,415614000.0,407427000.0,613323000.0
EmployeeBenefits,,,,96000.0
NonCurrentDeferredLiabilities,61327000.0,58725000.0,53206000.0,50728000.0
NonCurrentDeferredRevenue,60866000.0,58267000.0,52728000.0,50252000.0
NonCurrentDeferredTaxesLiabilities,461000.0,458000.0,478000.0,476000.0
LongTermDebtAndCapitalLeaseObligation,74529000.0,75793000.0,372888000.0,85556000.0
LongTermCapitalLeaseObligation,74529000.0,75793000.0,,85556000.0
LongTermDebt,,,372888000.0,
LongTermProvisions,107844000.0,103646000.0,90404000.0,73889000.0
CurrentLiabilities,4501037000.0,4072222000.0,3200535000.0,3252502000.0
OtherCurrentLiabilities,356173000.0,391711000.0,408077000.0,210991000.0
CurrentDeferredLiabilities,119711000.0,104489000.0,90983000.0,87086000.0
CurrentDeferredRevenue,119711000.0,104489000.0,90983000.0,87086000.0
CurrentDeferredTaxesLiabilities,,,15846000.0,10617000.0
CurrentDebtAndCapitalLeaseObligation,2895004000.0,2430374000.0,1392511000.0,1366987000.0
CurrentCapitalLeaseObligation,,27658000.0,,21545000.0
CurrentDebt,2895004000.0,2402716000.0,1392511000.0,1345442000.0
OtherCurrentBorrowings,858479000.0,779283000.0,43876000.0,16690000.0
LineOfCredit,2036525000.0,1623433000.0,1348635000.0,1328752000.0
PensionandOtherPostRetirementBenefitPlansCurrent,,,,15379000.0
CurrentProvisions,63884000.0,60208000.0,78649000.0,59528000.0
PayablesAndAccruedExpenses,1066265000.0,1085440000.0,1230315000.0,1512531000.0
CurrentAccruedExpenses,323462000.0,148041000.0,205564000.0,367005000.0
InterestPayable,,,,2614000.0
Payables,742803000.0,937399000.0,1024751000.0,1145526000.0
TotalTaxPayable,14370000.0,15767000.0,15846000.0,89571000.0
AccountsPayable,728433000.0,921632000.0,1008905000.0,1055955000.0
TotalAssets,4386464000.0,4255245000.0,3983470000.0,3942451000.0
TotalNonCurrentAssets,1907168000.0,1848299000.0,1835370000.0,1762117000.0
OtherNonCurrentAssets,4008000.0,4575000.0,4880000.0,5306000.0
NonCurrentDeferredAssets,17628000.0,17581000.0,10383000.0,7755000.0
NonCurrentDeferredTaxesAssets,17628000.0,17581000.0,10383000.0,7755000.0
InvestmentsAndAdvances,2225000.0,2248000.0,2345000.0,2333000.0
InvestmentinFinancialAssets,2225000.0,2248000.0,2345000.0,2333000.0
FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,2225000.0,2248000.0,2345000.0,2333000.0
GoodwillAndOtherIntangibleAssets,1529706000.0,1466317000.0,1478953000.0,1396477000.0
OtherIntangibleAssets,1485406000.0,1419347000.0,,1350017000.0
Goodwill,44300000.0,46970000.0,,46460000.0
NetPPE,353601000.0,357578000.0,338809000.0,350246000.0
AccumulatedDepreciation,-13505000.0,,,-145244000.0
GrossPPE,367106000.0,357578000.0,338809000.0,495490000.0
ConstructionInProgress,,,,83894000.0
OtherProperties,259656000.0,254462000.0,242525000.0,
MachineryFurnitureEquipment,107450000.0,103116000.0,96284000.0,317917000.0
Properties,,,,93679000.0
CurrentAssets,2479296000.0,2406946000.0,2148100000.0,2180334000.0
OtherCurrentAssets,181785000.0,120856000.0,118865000.0,10840000.0
