,2023-06-30,2023-03-31,2022-12-31
OrdinarySharesNumber,127538793.0,129538793.0,111338046.0
ShareIssued,127538793.0,129538793.0,111338046.0
TotalDebt,96139.0,96140.0,135487.0
TangibleBookValue,-1687527.0,-1657222.0,-1590942.0
InvestedCapital,-1687527.0,-1657222.0,-1590942.0
WorkingCapital,-1864818.0,-1730623.0,-1677986.0
NetTangibleAssets,-1687527.0,-1657222.0,-1590942.0
CapitalLeaseObligations,96139.0,96140.0,135487.0
CommonStockEquity,-1687527.0,-1657222.0,-1590942.0
TotalCapitalization,-1687527.0,-1657222.0,-1590942.0
TotalEquityGrossMinorityInterest,-1687527.0,-1657222.0,-1590942.0
StockholdersEquity,-1687527.0,-1657222.0,-1590942.0
OtherEquityInterest,11719.0,11720.0,156410.0
GainsLossesNotAffectingRetainedEarnings,3464971.0,3489688.0,3176719.0
RetainedEarnings,-22873138.0,-22615785.0,-21804294.0
CapitalStock,17708921.0,17457155.0,16880223.0
CommonStock,17708921.0,17457155.0,16880223.0
TotalLiabilitiesNetMinorityInterest,1970670.0,1957048.0,1981308.0
TotalNonCurrentLiabilitiesNetMinorityInterest,0.0,25000.0,50000.0
OtherNonCurrentLiabilities,,25000.0,50000.0
TradeandOtherPayablesNonCurrent,0.0,,0.0
CurrentLiabilities,1970670.0,1932048.0,1931308.0
CurrentDebtAndCapitalLeaseObligation,96139.0,96140.0,135487.0
CurrentCapitalLeaseObligation,96139.0,96140.0,135487.0
CurrentProvisions,38539.0,13539.0,13539.0
PayablesAndAccruedExpenses,1835992.0,1822369.0,1782282.0
Payables,1835992.0,1822369.0,1782282.0
OtherPayable,450000.0,450000.0,450000.0
AccountsPayable,1385992.0,1372369.0,1332282.0
TotalAssets,283143.0,299826.0,390366.0
TotalNonCurrentAssets,98401.0,98401.0,137044.0
NonCurrentPrepaidAssets,9687.0,9687.0,10310.0
NetPPE,88714.0,88714.0,126734.0
AccumulatedDepreciation,,-190100.0,-152080.0
GrossPPE,88714.0,278814.0,278814.0
OtherProperties,15181.0,47710.0,47710.0
MachineryFurnitureEquipment,,231104.0,231104.0
BuildingsAndImprovements,73533.0,231104.0,231104.0
Properties,0.0,0.0,0.0
CurrentAssets,105852.0,201425.0,253322.0
CurrentDeferredAssets,,6339.0,6985.0
RestrictedCash,0.0,22913.0,156410.0
PrepaidAssets,93479.0,103156.0,89079.0
CashCashEquivalentsAndShortTermInvestments,12373.0,69017.0,848.0
OtherShortTermInvestments,0.0,,0.0
CashAndCashEquivalents,12373.0,69017.0,848.0
CashFinancial,12373.0,69017.0,848.0
