,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TreasurySharesNumber,0.0,,,
OrdinarySharesNumber,267193.0,48766.0,19779.0,16221.0
ShareIssued,267193.0,48766.0,19779.0,16221.0
TotalDebt,594694.0,663293.0,768232.0,
TangibleBookValue,4439894.0,2092463.0,-236792.0,3240696.0
InvestedCapital,4439894.0,2092463.0,-236792.0,3240696.0
WorkingCapital,3775230.0,1369507.0,-1102866.0,3032115.0
NetTangibleAssets,4439894.0,2092463.0,-236792.0,3240696.0
CapitalLeaseObligations,594694.0,663293.0,768232.0,
CommonStockEquity,4439894.0,2092463.0,-236792.0,3240696.0
TotalCapitalization,4439894.0,2092463.0,-236792.0,3240696.0
TotalEquityGrossMinorityInterest,4439894.0,2092463.0,-236792.0,3240696.0
StockholdersEquity,4439894.0,2092463.0,-236792.0,3240696.0
RetainedEarnings,-42328798.0,-37028836.0,-32687183.0,-27870249.0
AdditionalPaidInCapital,46767623.0,39121104.0,32448809.0,31109647.0
CapitalStock,1069.0,195.0,1582.0,1298.0
CommonStock,1069.0,195.0,1582.0,1298.0
PreferredStock,0.0,0.0,0.0,0.0
TotalLiabilitiesNetMinorityInterest,5787952.0,3789082.0,5827302.0,4347290.0
TotalNonCurrentLiabilitiesNetMinorityInterest,189766.0,265652.0,377813.0,0.0
LongTermDebtAndCapitalLeaseObligation,189766.0,265652.0,377813.0,
LongTermCapitalLeaseObligation,189766.0,265652.0,377813.0,
CurrentLiabilities,5598186.0,3523430.0,5449489.0,4347290.0
CurrentDeferredLiabilities,54306.0,81747.0,,0.0
CurrentDeferredRevenue,54306.0,81747.0,,0.0
CurrentDebtAndCapitalLeaseObligation,404928.0,397641.0,390419.0,
CurrentCapitalLeaseObligation,404928.0,397641.0,390419.0,
PayablesAndAccruedExpenses,5138952.0,3044042.0,5059070.0,4347290.0
CurrentAccruedExpenses,5138952.0,3044042.0,5059070.0,4347290.0
TotalAssets,10227846.0,5881545.0,5590510.0,7587986.0
TotalNonCurrentAssets,854430.0,988608.0,1243887.0,208581.0
NonCurrentPrepaidAssets,111856.0,111856.0,111856.0,
NonCurrentDeferredAssets,,,135797.0,
NetPPE,742574.0,876752.0,996234.0,208581.0
AccumulatedDepreciation,-231688.0,-200469.0,-169500.0,-139860.0
GrossPPE,974262.0,1077221.0,1165734.0,348441.0
OtherProperties,590212.0,697777.0,804397.0,
MachineryFurnitureEquipment,384050.0,379444.0,361337.0,348441.0
CurrentAssets,9373416.0,4892937.0,4346623.0,7379405.0
OtherCurrentAssets,1259373.0,759555.0,2156777.0,1496428.0
PrepaidAssets,661109.0,560907.0,567189.0,554330.0
Receivables,0.0,0.0,0.0,360229.0
OtherReceivables,,,,360229.0
CashCashEquivalentsAndShortTermInvestments,7452934.0,3572475.0,1622657.0,4968418.0
CashAndCashEquivalents,7452934.0,3572475.0,1622657.0,4968418.0
CashFinancial,7452934.0,3572475.0,1622657.0,4968418.0
