,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TreasurySharesNumber,0.0,,,
OrdinarySharesNumber,11622414.0,9604115.0,5888152.0,4406312.0
ShareIssued,11622414.0,9604115.0,5888152.0,4406312.0
NetDebt,1218000.0,1179000.0,1213000.0,1060000.0
TotalDebt,1253000.0,1258000.0,1270000.0,1228000.0
TangibleBookValue,-2870000.0,-2203000.0,-2333000.0,-2136000.0
InvestedCapital,-1617000.0,-945000.0,-1063000.0,-908000.0
WorkingCapital,-2804000.0,-2117000.0,-2212000.0,-1975000.0
NetTangibleAssets,-2870000.0,-2203000.0,-2333000.0,-2136000.0
CommonStockEquity,-2870000.0,-2203000.0,-2333000.0,-2136000.0
TotalCapitalization,-2870000.0,-2203000.0,-2333000.0,-2136000.0
TotalEquityGrossMinorityInterest,-2870000.0,-2203000.0,-2333000.0,-2136000.0
StockholdersEquity,-2870000.0,-2203000.0,-2333000.0,-2136000.0
RetainedEarnings,-13476000.0,-12789000.0,-12838000.0,-12600000.0
AdditionalPaidInCapital,10605000.0,10585000.0,10504000.0,10464000.0
CapitalStock,1000.0,1000.0,1000.0,0.0
CommonStock,1000.0,1000.0,1000.0,0.0
TotalLiabilitiesNetMinorityInterest,2990000.0,2380000.0,2547000.0,2481000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,66000.0,86000.0,121000.0,161000.0
PreferredSecuritiesOutsideStockEquity,66000.0,86000.0,121000.0,161000.0
CurrentLiabilities,2924000.0,2294000.0,2426000.0,2320000.0
OtherCurrentLiabilities,1375000.0,743000.0,992000.0,918000.0
CurrentDeferredLiabilities,2000.0,2000.0,4000.0,6000.0
CurrentDeferredRevenue,2000.0,2000.0,4000.0,6000.0
CurrentDebtAndCapitalLeaseObligation,1253000.0,1258000.0,1270000.0,1228000.0
CurrentDebt,1253000.0,1258000.0,1270000.0,1228000.0
OtherCurrentBorrowings,1226000.0,1226000.0,1219000.0,1167000.0
CurrentNotesPayable,27000.0,32000.0,51000.0,61000.0
PayablesAndAccruedExpenses,294000.0,291000.0,160000.0,168000.0
Payables,294000.0,291000.0,160000.0,168000.0
DuetoRelatedPartiesCurrent,161000.0,144000.0,117000.0,121000.0
AccountsPayable,133000.0,147000.0,43000.0,47000.0
TotalAssets,120000.0,177000.0,214000.0,345000.0
TotalNonCurrentAssets,0.0,0.0,0.0,0.0
NetPPE,,,,0.0
CurrentAssets,120000.0,177000.0,214000.0,345000.0
OtherCurrentAssets,13000.0,11000.0,2000.0,21000.0
Inventory,72000.0,77000.0,143000.0,155000.0
Receivables,0.0,10000.0,12000.0,1000.0
AccountsReceivable,0.0,10000.0,12000.0,1000.0
CashCashEquivalentsAndShortTermInvestments,35000.0,79000.0,57000.0,168000.0
CashAndCashEquivalents,35000.0,79000.0,57000.0,168000.0
