,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
OrdinarySharesNumber,42236919.0,42129798.0,41919527.0,41749435.0,41735557.0
ShareIssued,42236919.0,42129798.0,41919527.0,41749435.0,41735557.0
TotalDebt,0.0,0.0,0.0,0.0,139000.0
TangibleBookValue,137292000.0,154847000.0,178966000.0,203502000.0,226917000.0
InvestedCapital,137468000.0,155115000.0,179353000.0,204005000.0,227539000.0
WorkingCapital,115438000.0,132770000.0,156638000.0,181090000.0,204163000.0
NetTangibleAssets,137292000.0,154847000.0,178966000.0,203502000.0,226917000.0
CapitalLeaseObligations,0.0,0.0,0.0,0.0,139000.0
CommonStockEquity,137468000.0,155115000.0,179353000.0,204005000.0,227539000.0
TotalCapitalization,137468000.0,155115000.0,179353000.0,204005000.0,227539000.0
TotalEquityGrossMinorityInterest,137468000.0,155115000.0,179353000.0,204005000.0,227539000.0
StockholdersEquity,137468000.0,155115000.0,179353000.0,204005000.0,227539000.0
RetainedEarnings,-380769000.0,-359850000.0,-334199000.0,-307823000.0,-283552000.0
AdditionalPaidInCapital,518195000.0,514923000.0,513510000.0,511786000.0,511049000.0
CapitalStock,42000.0,42000.0,42000.0,42000.0,42000.0
CommonStock,42000.0,42000.0,42000.0,42000.0,42000.0
PreferredStock,0.0,0.0,0.0,0.0,0.0
TotalLiabilitiesNetMinorityInterest,14195000.0,17414000.0,17895000.0,14106000.0,7295000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,0.0,0.0,0.0,197000.0,232000.0
OtherNonCurrentLiabilities,,,,197000.0,197000.0
LongTermDebtAndCapitalLeaseObligation,0.0,0.0,0.0,0.0,35000.0
LongTermCapitalLeaseObligation,0.0,0.0,0.0,0.0,35000.0
CurrentLiabilities,14195000.0,17414000.0,17895000.0,13909000.0,7063000.0
OtherCurrentLiabilities,385000.0,391000.0,293000.0,179000.0,492000.0
CurrentDebtAndCapitalLeaseObligation,,,,,104000.0
CurrentCapitalLeaseObligation,0.0,0.0,0.0,0.0,104000.0
PensionandOtherPostRetirementBenefitPlansCurrent,200000.0,187000.0,220000.0,212000.0,170000.0
PayablesAndAccruedExpenses,13610000.0,16836000.0,17382000.0,13518000.0,6297000.0
CurrentAccruedExpenses,3037000.0,7344000.0,7044000.0,5276000.0,2280000.0
Payables,10573000.0,9492000.0,10338000.0,8242000.0,4017000.0
AccountsPayable,10573000.0,9492000.0,10338000.0,8242000.0,4017000.0
TotalAssets,151663000.0,172529000.0,197248000.0,218111000.0,234834000.0
TotalNonCurrentAssets,22030000.0,22345000.0,22715000.0,23112000.0,23608000.0
GoodwillAndOtherIntangibleAssets,176000.0,268000.0,387000.0,503000.0,622000.0
OtherIntangibleAssets,176000.0,268000.0,387000.0,503000.0,622000.0
NetPPE,21854000.0,22077000.0,22328000.0,22609000.0,22986000.0
AccumulatedDepreciation,-2284000.0,-2017000.0,-1744000.0,-1472000.0,-1200000.0
GrossPPE,24138000.0,24094000.0,24072000.0,24081000.0,24186000.0
Leases,3062000.0,3018000.0,3018000.0,3016000.0,3016000.0
ConstructionInProgress,0.0,0.0,2000.0,13000.0,13000.0
OtherProperties,494000.0,494000.0,470000.0,470000.0,470000.0
MachineryFurnitureEquipment,868000.0,868000.0,868000.0,868000.0,851000.0
BuildingsAndImprovements,15980000.0,15980000.0,15980000.0,15980000.0,16102000.0
LandAndImprovements,3734000.0,3734000.0,3734000.0,3734000.0,3734000.0
Properties,0.0,0.0,0.0,0.0,0.0
CurrentAssets,129633000.0,150184000.0,174533000.0,194999000.0,211226000.0
OtherCurrentAssets,287000.0,189000.0,235000.0,277000.0,160000.0
PrepaidAssets,7248000.0,6360000.0,4532000.0,7255000.0,10051000.0
Receivables,962000.0,1285000.0,1328000.0,,0.0
AccruedInterestReceivable,962000.0,1285000.0,1328000.0,,0.0
CashCashEquivalentsAndShortTermInvestments,121136000.0,142350000.0,168438000.0,187467000.0,201015000.0
CashAndCashEquivalents,121136000.0,142350000.0,168438000.0,187467000.0,201015000.0
