,2023-09-30,2022-12-31
OrdinarySharesNumber,42099063.0,42099063.0
ShareIssued,42099063.0,42099063.0
TotalDebt,152471000.0,183010000.0
TangibleBookValue,319579000.0,345898000.0
InvestedCapital,462502000.0,523035000.0
WorkingCapital,250342000.0,325299000.0
NetTangibleAssets,319579000.0,345898000.0
CapitalLeaseObligations,9548000.0,5873000.0
CommonStockEquity,319579000.0,345898000.0
TotalCapitalization,333002000.0,393598000.0
TotalEquityGrossMinorityInterest,319579000.0,345898000.0
MinorityInterest,0.0,0.0
StockholdersEquity,319579000.0,345898000.0
GainsLossesNotAffectingRetainedEarnings,13956000.0,13504000.0
OtherEquityAdjustments,13956000.0,13504000.0
RetainedEarnings,-22252000.0,4519000.0
AdditionalPaidInCapital,46365000.0,46365000.0
CapitalStock,281510000.0,281510000.0
CommonStock,281510000.0,281510000.0
TotalLiabilitiesNetMinorityInterest,164534000.0,201159000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,15017000.0,49025000.0
LongTermDebtAndCapitalLeaseObligation,15017000.0,49025000.0
LongTermCapitalLeaseObligation,1594000.0,1325000.0
LongTermDebt,13423000.0,47700000.0
CurrentLiabilities,149517000.0,152134000.0
OtherCurrentLiabilities,546000.0,465000.0
CurrentDebtAndCapitalLeaseObligation,137454000.0,133985000.0
CurrentCapitalLeaseObligation,7954000.0,4548000.0
CurrentDebt,129500000.0,129437000.0
OtherCurrentBorrowings,39500000.0,21067000.0
LineOfCredit,90000000.0,108370000.0
PayablesAndAccruedExpenses,11517000.0,17684000.0
Payables,11517000.0,17684000.0
OtherPayable,11249000.0,15988000.0
TotalTaxPayable,,0.0
IncomeTaxPayable,,0.0
AccountsPayable,268000.0,1696000.0
TotalAssets,484113000.0,547057000.0
TotalNonCurrentAssets,84254000.0,69624000.0
OtherNonCurrentAssets,7008000.0,7623000.0
NonCurrentDeferredAssets,15966000.0,946000.0
NonCurrentDeferredTaxesAssets,946000.0,946000.0
NetPPE,61280000.0,61055000.0
AccumulatedDepreciation,-144085000.0,-125854000.0
GrossPPE,205365000.0,186909000.0
Leases,22044000.0,21541000.0
ConstructionInProgress,,0.0
OtherProperties,69722000.0,58424000.0
MachineryFurnitureEquipment,113599000.0,106944000.0
Properties,0.0,0.0
CurrentAssets,399859000.0,477433000.0
OtherCurrentAssets,5652000.0,10235000.0
RestrictedCash,96810000.0,124683000.0
Inventory,56769000.0,36768000.0
InventoriesAdjustmentsAllowances,-23110000.0,-13092000.0
FinishedGoods,50174000.0,23015000.0
WorkInProcess,20433000.0,16747000.0
RawMaterials,9272000.0,10098000.0
Receivables,3667000.0,6407000.0
AccountsReceivable,3667000.0,6407000.0
AllowanceForDoubtfulAccountsReceivable,-7000.0,-276000.0
GrossAccountsReceivable,3674000.0,6683000.0
CashCashEquivalentsAndShortTermInvestments,236961000.0,299340000.0
CashAndCashEquivalents,236961000.0,299340000.0
