,2023-06-30,2022-12-31
TreasurySharesNumber,,13936000.0
OrdinarySharesNumber,68809529.0,63674727.0
ShareIssued,68809529.0,77610727.0
TotalDebt,652000.0,921000.0
TangibleBookValue,392180000.0,409530000.0
InvestedCapital,392252000.0,409602000.0
WorkingCapital,376856000.0,395607000.0
NetTangibleAssets,392180000.0,409530000.0
CapitalLeaseObligations,652000.0,921000.0
CommonStockEquity,392252000.0,409602000.0
TotalCapitalization,392252000.0,409602000.0
TotalEquityGrossMinorityInterest,389928000.0,408776000.0
MinorityInterest,-2324000.0,-826000.0
StockholdersEquity,392252000.0,409602000.0
GainsLossesNotAffectingRetainedEarnings,-31936000.0,-23341000.0
OtherEquityAdjustments,-31936000.0,-23341000.0
RetainedEarnings,-283727000.0,-272919000.0
AdditionalPaidInCapital,707516000.0,705488000.0
CapitalStock,399000.0,374000.0
CommonStock,399000.0,374000.0
TotalLiabilitiesNetMinorityInterest,39396000.0,45958000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,95000.0,377000.0
LiabilitiesHeldforSaleNonCurrent,,0.0
LongTermDebtAndCapitalLeaseObligation,95000.0,377000.0
LongTermCapitalLeaseObligation,95000.0,377000.0
CurrentLiabilities,39301000.0,45581000.0
CurrentDeferredLiabilities,,0.0
CurrentDeferredRevenue,,0.0
CurrentDebtAndCapitalLeaseObligation,557000.0,544000.0
CurrentCapitalLeaseObligation,557000.0,544000.0
PayablesAndAccruedExpenses,38744000.0,45037000.0
CurrentAccruedExpenses,16875000.0,20387000.0
Payables,21869000.0,24650000.0
OtherPayable,7223000.0,11079000.0
DuetoRelatedPartiesCurrent,642000.0,643000.0
TotalTaxPayable,81000.0,94000.0
AccountsPayable,13923000.0,12834000.0
TotalAssets,429324000.0,454734000.0
TotalNonCurrentAssets,13167000.0,13546000.0
GoodwillAndOtherIntangibleAssets,72000.0,72000.0
Goodwill,72000.0,72000.0
NetPPE,13095000.0,13474000.0
AccumulatedDepreciation,,-35240000.0
GrossPPE,13095000.0,48714000.0
OtherProperties,13095000.0,921000.0
MachineryFurnitureEquipment,,47793000.0
CurrentAssets,416157000.0,441188000.0
OtherCurrentAssets,6675000.0,6406000.0
AssetsHeldForSaleCurrent,,0.0
PrepaidAssets,,55004000.0
Inventory,42456000.0,46273000.0
FinishedGoods,,46273000.0
Receivables,117142000.0,74013000.0
OtherReceivables,67325000.0,
DuefromRelatedPartiesCurrent,45122000.0,69038000.0
TaxesReceivable,2319000.0,2543000.0
AccountsReceivable,2376000.0,2432000.0
AllowanceForDoubtfulAccountsReceivable,,-59000.0
GrossAccountsReceivable,,2491000.0
CashCashEquivalentsAndShortTermInvestments,249884000.0,259492000.0
CashAndCashEquivalents,249884000.0,259492000.0
