,2023-09-30,2023-06-30,2023-03-31,2022-12-31
OrdinarySharesNumber,49005865.0,84015350.0,84015350.0,84015350.0
ShareIssued,49005865.0,84015350.0,84015350.0,84015350.0
TangibleBookValue,102251.0,-243288.0,-230915.0,-197589.0
InvestedCapital,102251.0,-243288.0,-230915.0,-197589.0
WorkingCapital,102551.0,-242988.0,-230615.0,-197289.0
NetTangibleAssets,102551.0,-242988.0,-230615.0,-197289.0
CommonStockEquity,102251.0,-243288.0,-230915.0,-197589.0
PreferredStockEquity,300.0,300.0,300.0,300.0
TotalCapitalization,102551.0,-242988.0,-230615.0,-197289.0
TotalEquityGrossMinorityInterest,102551.0,-242988.0,-230615.0,-197289.0
StockholdersEquity,102551.0,-242988.0,-230615.0,-197289.0
RetainedEarnings,-3046626.0,-2528165.0,-2515792.0,-2482466.0
AdditionalPaidInCapital,3061262.0,2200862.0,2200862.0,2200862.0
CapitalStock,87915.0,84315.0,84315.0,84315.0
CommonStock,87615.0,84015.0,84015.0,84015.0
PreferredStock,300.0,300.0,300.0,300.0
TotalLiabilitiesNetMinorityInterest,4424.0,242988.0,230615.0,197289.0
TotalNonCurrentLiabilitiesNetMinorityInterest,0.0,0.0,0.0,0.0
CurrentLiabilities,4424.0,242988.0,230615.0,197289.0
PayablesAndAccruedExpenses,4424.0,242988.0,230615.0,197289.0
Payables,4424.0,242988.0,230615.0,197289.0
DuetoRelatedPartiesCurrent,0.0,240863.0,218621.0,190920.0
AccountsPayable,4424.0,2125.0,11994.0,6369.0
TotalAssets,106975.0,0.0,0.0,0.0
TotalNonCurrentAssets,0.0,0.0,0.0,0.0
CurrentAssets,106975.0,0.0,0.0,0.0
CashCashEquivalentsAndShortTermInvestments,106975.0,0.0,0.0,0.0
CashAndCashEquivalents,106975.0,0.0,0.0,0.0
CashFinancial,106975.0,0.0,0.0,0.0
