,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TreasurySharesNumber,0.0,,,
OrdinarySharesNumber,567926.0,398800.0,229945.0,216599.0
ShareIssued,567926.0,398800.0,229945.0,216599.0
TotalDebt,4967901.0,5780346.0,5445161.0,5410593.0
TangibleBookValue,8271222.0,16487901.0,21547921.0,29707944.0
InvestedCapital,8978847.0,17701929.0,22789169.0,30681527.0
WorkingCapital,-13806988.0,-6192560.0,-721290.0,9378302.0
NetTangibleAssets,8271222.0,16487901.0,21547921.0,29707944.0
CapitalLeaseObligations,4260276.0,4566318.0,4203913.0,4437010.0
CommonStockEquity,8271222.0,16487901.0,21547921.0,29707944.0
TotalCapitalization,8271222.0,16487901.0,21547921.0,29707944.0
TotalEquityGrossMinorityInterest,8271222.0,16487901.0,21547921.0,29707944.0
StockholdersEquity,8271222.0,16487901.0,21547921.0,29707944.0
RetainedEarnings,-173202159.0,-158953585.0,-153228215.0,-144953053.0
AdditionalPaidInCapital,181469690.0,175438894.0,174774641.0,174659589.0
CapitalStock,3691.0,2592.0,1495.0,1408.0
CommonStock,3691.0,2592.0,1495.0,1408.0
PreferredStock,0.0,0.0,0.0,0.0
TotalLiabilitiesNetMinorityInterest,56261628.0,51063262.0,52362248.0,54209052.0
TotalNonCurrentLiabilitiesNetMinorityInterest,3013214.0,3383967.0,3224770.0,3477380.0
LongTermDebtAndCapitalLeaseObligation,3013214.0,3383967.0,3224770.0,3477380.0
LongTermCapitalLeaseObligation,3013214.0,3383967.0,3224770.0,3477380.0
CurrentLiabilities,53248414.0,47679295.0,49137478.0,50731672.0
OtherCurrentLiabilities,5740899.0,4985387.0,8631313.0,16116273.0
CurrentDebtAndCapitalLeaseObligation,1954687.0,2396379.0,2220391.0,1933213.0
CurrentCapitalLeaseObligation,1247062.0,1182351.0,979143.0,959630.0
CurrentDebt,707625.0,1214028.0,1241248.0,973583.0
OtherCurrentBorrowings,707625.0,1214028.0,1241248.0,973583.0
PayablesAndAccruedExpenses,45552828.0,40297529.0,38285774.0,32682186.0
CurrentAccruedExpenses,4461713.0,3433090.0,3310663.0,3010914.0
Payables,41091115.0,36864439.0,34975111.0,29671272.0
AccountsPayable,41091115.0,36864439.0,34975111.0,29671272.0
TotalAssets,64532850.0,67551163.0,73910169.0,83916996.0
TotalNonCurrentAssets,25091424.0,26064428.0,25493981.0,23807022.0
OtherNonCurrentAssets,2165301.0,2059288.0,2786236.0,1890780.0
NetPPE,22926123.0,24005140.0,22707745.0,21916242.0
AccumulatedDepreciation,-11210501.0,-9730918.0,-8283269.0,-7130916.0
GrossPPE,34136624.0,33736058.0,30991014.0,29047158.0
Leases,747879.0,5325481.0,5320505.0,5058790.0
ConstructionInProgress,5562016.0,5361016.0,4463517.0,4258916.0
OtherProperties,14722399.0,14568268.0,12954117.0,11263856.0
MachineryFurnitureEquipment,9082342.0,4094879.0,4102012.0,4049737.0
BuildingsAndImprovements,4021988.0,4386414.0,4150863.0,4415859.0
Properties,0.0,0.0,0.0,0.0
CurrentAssets,39441426.0,41486735.0,48416188.0,60109974.0
OtherCurrentAssets,543343.0,48164.0,921178.0,369792.0
Inventory,28070889.0,31411395.0,32664029.0,40365286.0
FinishedGoods,,,,40365286.0
Receivables,8992889.0,7820611.0,12473777.0,16810659.0
AccountsReceivable,8992889.0,7820611.0,12473777.0,16810659.0
AllowanceForDoubtfulAccountsReceivable,-2050917.0,-1300000.0,-2931869.0,-2918869.0
GrossAccountsReceivable,11043806.0,9120611.0,15405646.0,19729528.0
CashCashEquivalentsAndShortTermInvestments,1834305.0,2206565.0,2357204.0,2564237.0
CashAndCashEquivalents,1834305.0,2206565.0,2357204.0,2564237.0
CashFinancial,1834305.0,2206565.0,2357204.0,2564237.0
