,2023-09-30,2023-03-31
OrdinarySharesNumber,36250054.0,36250054.0
ShareIssued,36250054.0,36250054.0
NetDebt,62683786.0,71979815.0
TotalDebt,69228559.0,77479372.0
TangibleBookValue,27966448.0,29281743.0
InvestedCapital,93441035.0,103027999.0
WorkingCapital,17560279.0,8587845.0
NetTangibleAssets,27966448.0,29281743.0
CapitalLeaseObligations,3753972.0,3733116.0
CommonStockEquity,27966448.0,29281743.0
TotalCapitalization,35282403.0,39608142.0
TotalEquityGrossMinorityInterest,27966448.0,29281743.0
StockholdersEquity,27966448.0,29281743.0
GainsLossesNotAffectingRetainedEarnings,-2260078.0,1009572.0
OtherEquityAdjustments,-2260078.0,1009572.0
RetainedEarnings,15532199.0,13577844.0
CapitalStock,14694327.0,14694327.0
CommonStock,14694327.0,14694327.0
TotalLiabilitiesNetMinorityInterest,101159864.0,117393537.0
TotalNonCurrentLiabilitiesNetMinorityInterest,14227205.0,19352029.0
OtherNonCurrentLiabilities,2152875.0,2535123.0
NonCurrentDeferredLiabilities,2583854.0,4451077.0
NonCurrentDeferredTaxesLiabilities,2583854.0,4451077.0
LongTermDebtAndCapitalLeaseObligation,9490476.0,12365829.0
LongTermCapitalLeaseObligation,2174521.0,2039430.0
LongTermDebt,7315955.0,10326399.0
CurrentLiabilities,86932659.0,98041508.0
OtherCurrentLiabilities,20222.0,24663.0
CurrentDeferredLiabilities,85989.0,146024.0
CurrentDeferredRevenue,85989.0,146024.0
CurrentDebtAndCapitalLeaseObligation,59738083.0,65113543.0
CurrentCapitalLeaseObligation,1579451.0,1693686.0
CurrentDebt,58158632.0,63419857.0
OtherCurrentBorrowings,3618832.0,2783445.0
LineOfCredit,54539800.0,60636412.0
PayablesAndAccruedExpenses,27088365.0,32757278.0
Payables,27088365.0,32757278.0
OtherPayable,1284569.0,1520756.0
DuetoRelatedPartiesCurrent,108064.0,297559.0
TotalTaxPayable,12283353.0,18219803.0
AccountsPayable,13412379.0,12719160.0
TotalAssets,129126312.0,146675280.0
TotalNonCurrentAssets,24633374.0,40045927.0
NonCurrentDeferredAssets,,0.0
NonCurrentDeferredTaxesAssets,,0.0
NonCurrentAccountsReceivable,10235046.0,24228227.0
InvestmentsAndAdvances,0.0,169148.0
LongTermEquityInvestment,0.0,169148.0
InvestmentsinAssociatesatCost,0.0,169148.0
NetPPE,14398328.0,15648552.0
AccumulatedDepreciation,-2921978.0,-3058890.0
GrossPPE,17320306.0,18707442.0
Leases,3709916.0,4262580.0
OtherProperties,3113422.0,2709954.0
MachineryFurnitureEquipment,3392129.0,3775917.0
BuildingsAndImprovements,3999035.0,4469370.0
LandAndImprovements,3105804.0,3489621.0
Properties,0.0,0.0
CurrentAssets,104492938.0,106629353.0
OtherCurrentAssets,3453592.0,3542864.0
Inventory,14828587.0,7187800.0
FinishedGoods,14828587.0,7187800.0
Receivables,83419958.0,94132248.0
DuefromRelatedPartiesCurrent,9035.0,444567.0
TaxesReceivable,9229456.0,3912719.0
AccountsReceivable,74181467.0,89774962.0
AllowanceForDoubtfulAccountsReceivable,-3038819.0,-3219772.0
GrossAccountsReceivable,77220286.0,92994734.0
CashCashEquivalentsAndShortTermInvestments,2790801.0,1766441.0
CashAndCashEquivalents,2790801.0,1766441.0
CashFinancial,2790801.0,1766441.0
