,2023-11-30,2023-08-31,2023-05-31,2023-02-28
TreasurySharesNumber,0.0,,,
OrdinarySharesNumber,186782706.0,179657706.0,179657706.0,179657706.0
ShareIssued,186782706.0,179657706.0,179657706.0,179657706.0
NetDebt,208014.0,,,
TotalDebt,216259.0,25355.0,25355.0,25355.0
TangibleBookValue,-784757.0,66246.0,6911358.0,7205179.0
InvestedCapital,-568498.0,91601.0,6936713.0,7230534.0
WorkingCapital,-787209.0,63545.0,1053941.0,1666829.0
NetTangibleAssets,-784757.0,66246.0,6911358.0,7205179.0
CommonStockEquity,-784757.0,66246.0,6911358.0,7205179.0
TotalCapitalization,-784757.0,66246.0,6936713.0,7230534.0
TotalEquityGrossMinorityInterest,-784757.0,66246.0,6911358.0,7205179.0
StockholdersEquity,-784757.0,66246.0,6911358.0,7205179.0
OtherEquityInterest,15680.0,15680.0,223935.0,223935.0
RetainedEarnings,-26032222.0,-24967468.0,-18122356.0,-17828535.0
AdditionalPaidInCapital,5377129.0,5377129.0,5168874.0,5168874.0
CapitalStock,19854656.0,19640905.0,19640905.0,19640905.0
CommonStock,19854656.0,19640905.0,19640905.0,19640905.0
TotalLiabilitiesNetMinorityInterest,955048.0,622666.0,352225.0,364713.0
TotalNonCurrentLiabilitiesNetMinorityInterest,1.0,0.0,25364.0,25354.0
OtherNonCurrentLiabilities,,,9.0,-1.0
LongTermDebtAndCapitalLeaseObligation,,,25355.0,25355.0
LongTermDebt,,,25355.0,25355.0
CurrentLiabilities,955047.0,622666.0,326861.0,339359.0
OtherCurrentLiabilities,,,139056.0,218050.0
CurrentDebtAndCapitalLeaseObligation,216259.0,25355.0,,
CurrentDebt,216259.0,25355.0,,
OtherCurrentBorrowings,,25355.0,,
LineOfCredit,,0.0,,
CurrentNotesPayable,216259.0,,,
PayablesAndAccruedExpenses,738788.0,597311.0,187805.0,121309.0
Payables,738788.0,597311.0,187805.0,121309.0
OtherPayable,,,8731.0,9349.0
DuetoRelatedPartiesCurrent,7524.0,0.0,,
AccountsPayable,731264.0,597311.0,179074.0,111960.0
TotalAssets,170291.0,688912.0,7263583.0,7569892.0
TotalNonCurrentAssets,2453.0,2701.0,5882781.0,5563704.0
FinancialAssets,,0.0,,
NetPPE,2453.0,2701.0,5882781.0,5563704.0
CurrentAssets,167838.0,686211.0,1380802.0,2006188.0
OtherCurrentAssets,,,-1.0,
HedgingAssetsCurrent,,0.0,268904.0,325920.0
PrepaidAssets,61882.0,82355.0,143288.0,149018.0
Receivables,77692.0,56065.0,63600.0,752875.0
OtherReceivables,1107.0,2884.0,941.0,1003.0
TaxesReceivable,76585.0,53181.0,62659.0,751872.0
CashCashEquivalentsAndShortTermInvestments,28264.0,547791.0,905011.0,778375.0
OtherShortTermInvestments,20019.0,425419.0,429094.0,534894.0
CashAndCashEquivalents,8245.0,122372.0,475917.0,243481.0
CashFinancial,8245.0,122372.0,475917.0,243481.0
