,2023-06-30,2022-12-31
OrdinarySharesNumber,2926209589.0,2926209589.0
ShareIssued,2926209589.0,2926209589.0
TotalDebt,955801145.66,300225000.0
TangibleBookValue,18051189023.85,17109215000.0
InvestedCapital,21036911695.14,19429593000.0
WorkingCapital,12276163139.57,11636235000.0
NetTangibleAssets,18051189023.85,17109215000.0
CapitalLeaseObligations,202397364.38,100011000.0
CommonStockEquity,20283507913.86,19229379000.0
TotalCapitalization,20483721802.75,19429593000.0
TotalEquityGrossMinorityInterest,20803628240.31,19742231000.0
MinorityInterest,520120326.45,512852000.0
StockholdersEquity,20283507913.86,19229379000.0
OtherEquityInterest,,1000.0
RetainedEarnings,12092918397.56,11086487000.0
CapitalStock,2926209589.0,2926210000.0
CommonStock,2926209589.0,2926210000.0
TotalLiabilitiesNetMinorityInterest,7377501262.35,5520413000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,363640796.85,377716000.0
OtherNonCurrentLiabilities,,-1000.0
TradeandOtherPayablesNonCurrent,420237.65,420000.0
NonCurrentDeferredRevenue,11409032.24,26124000.0
NonCurrentDeferredTaxesLiabilities,54016991.39,50928000.0
LongTermDebtAndCapitalLeaseObligation,297774535.57,300225000.0
LongTermCapitalLeaseObligation,97560646.68,100011000.0
LongTermDebt,200213888.89,200214000.0
LongTermProvisions,20000.0,20000.0
CurrentLiabilities,7013860465.5,5142697000.0
OtherCurrentLiabilities,,102965000.0
CurrentDebtAndCapitalLeaseObligation,658026610.09,0.0
CurrentCapitalLeaseObligation,104836717.7,0.0
CurrentDebt,553189892.39,0.0
Payables,5698605042.71,4425420000.0
OtherPayable,3256365443.55,1977946000.0
DividendsPayable,181541682.36,40832375.3
TotalTaxPayable,270108976.9,263990000.0
AccountsPayable,1990588939.9,2183484000.0
TotalAssets,28181129502.66,25262644000.0
TotalNonCurrentAssets,8891105897.59,8483712000.0
OtherNonCurrentAssets,,103884000.0
NonCurrentDeferredAssets,5069366.51,5458000.0
NonCurrentDeferredTaxesAssets,442563438.57,470170000.0
OtherInvestments,,103885611.11
InvestmentinFinancialAssets,1194996802.08,529714000.0
AvailableForSaleSecurities,592156195.58,103885611.11
FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,602840606.5,529714000.0
LongTermEquityInvestment,1562339533.77,1551523000.0
InvestmentsinJointVenturesatCost,72656032.98,
InvestmentsInOtherVenturesUnderEquityMethod,835827400.0,1551523000.0
InvestmentsinAssociatesatCost,653856100.79,
InvestmentProperties,98305059.12,102745000.0
GoodwillAndOtherIntangibleAssets,2232318890.01,2120164000.0
OtherIntangibleAssets,2232058489.25,2119904000.0
Goodwill,260400.76,260000.0
NetPPE,3355445965.51,3600054000.0
AccumulatedDepreciation,-4373964135.43,-4113174109.83
GrossPPE,7729410100.94,3600054000.0
ConstructionInProgress,5726769.08,39950000.0
OtherProperties,2354466875.71,3560104000.0
MachineryFurnitureEquipment,2030596549.68,359404791.89
BuildingsAndImprovements,3338619906.47,3266235791.98
Properties,0.0,0.0
CurrentAssets,19290023605.07,16778932000.0
OtherCurrentAssets,70904222.22,158098000.0
HedgingAssetsCurrent,,0.0
AssetsHeldForSaleCurrent,,0.0
PrepaidAssets,154557051.98,184571000.0
Inventory,81388973.05,81512000.0
OtherInventories,30843317.73,15075624.82
FinishedGoods,50545655.32,66436571.18
OtherReceivables,1979058160.41,1381377000.0
TaxesReceivable,78507838.53,116239613.31
AccountsReceivable,4736739951.24,4084407000.0
AllowanceForDoubtfulAccountsReceivable,-578423043.47,-696351000.0
GrossAccountsReceivable,5315162994.71,4780758000.0
CashCashEquivalentsAndShortTermInvestments,12259771629.86,10888967000.0
OtherShortTermInvestments,3579656003.04,3311565000.0
CashAndCashEquivalents,8680115626.82,7577402000.0
CashEquivalents,35232.46,96128099.78
CashFinancial,8680080394.36,7577402000.0
