,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
TreasurySharesNumber,0.0,,,,
OrdinarySharesNumber,29908407.0,32141013.0,32654615.0,32441010.0,32221855.0
ShareIssued,29908407.0,32141013.0,32654615.0,32441010.0,32221855.0
NetDebt,240115000.0,237882000.0,250701000.0,256356000.0,266330000.0
TotalDebt,480622000.0,482821000.0,518713000.0,521289000.0,523135000.0
TangibleBookValue,-409833000.0,-394514000.0,-400733000.0,-415525000.0,-417024000.0
InvestedCapital,602968000.0,626848000.0,681041000.0,680909000.0,823853000.0
WorkingCapital,169586000.0,178109000.0,187114000.0,180184000.0,170084000.0
NetTangibleAssets,-292195000.0,-278235000.0,-285798000.0,-301919000.0,-304733000.0
CapitalLeaseObligations,3948000.0,5348000.0,5456000.0,7213000.0,8152000.0
CommonStockEquity,126294000.0,149375000.0,167784000.0,166833000.0,308870000.0
PreferredStockEquity,117638000.0,116279000.0,114935000.0,113606000.0,112291000.0
TotalCapitalization,717434000.0,740024000.0,792882000.0,791406000.0,933008000.0
TotalEquityGrossMinorityInterest,243932000.0,265654000.0,282719000.0,280439000.0,421161000.0
StockholdersEquity,243932000.0,265654000.0,282719000.0,280439000.0,421161000.0
GainsLossesNotAffectingRetainedEarnings,6168000.0,5228000.0,15415000.0,4206000.0,11110000.0
OtherEquityAdjustments,6168000.0,5228000.0,15415000.0,4206000.0,11110000.0
RetainedEarnings,-488872000.0,-472860000.0,-464190000.0,-449043000.0,-308998000.0
AdditionalPaidInCapital,608995000.0,617004000.0,616556000.0,611667000.0,606755000.0
CapitalStock,117641000.0,116282000.0,114938000.0,113609000.0,112294000.0
CommonStock,3000.0,3000.0,3000.0,3000.0,3000.0
PreferredStock,117638000.0,116279000.0,114935000.0,113606000.0,112291000.0
TotalLiabilitiesNetMinorityInterest,626092000.0,628191000.0,673259000.0,685027000.0,692298000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,495445000.0,499623000.0,536904000.0,539697000.0,541087000.0
OtherNonCurrentLiabilities,461000.0,410000.0,1281000.0,1237000.0,1170000.0
DerivativeProductLiabilities,,,,,0.0
NonCurrentDeferredLiabilities,19885000.0,21779000.0,22247000.0,23102000.0,23123000.0
NonCurrentDeferredRevenue,3860000.0,4266000.0,3637000.0,4411000.0,4707000.0
NonCurrentDeferredTaxesLiabilities,16025000.0,17513000.0,18610000.0,18691000.0,18416000.0
LongTermDebtAndCapitalLeaseObligation,475099000.0,477434000.0,513376000.0,515358000.0,516794000.0
LongTermCapitalLeaseObligation,1597000.0,3064000.0,3213000.0,4391000.0,4947000.0
LongTermDebt,473502000.0,474370000.0,510163000.0,510967000.0,511847000.0
CurrentLiabilities,130647000.0,128568000.0,136355000.0,145330000.0,151211000.0
CurrentDeferredLiabilities,102763000.0,94701000.0,102291000.0,106974000.0,106465000.0
CurrentDeferredRevenue,102763000.0,94701000.0,102291000.0,106974000.0,106465000.0
CurrentDebtAndCapitalLeaseObligation,5523000.0,5387000.0,5337000.0,5931000.0,6341000.0
CurrentCapitalLeaseObligation,2351000.0,2284000.0,2243000.0,2822000.0,3205000.0
CurrentDebt,3172000.0,3103000.0,3094000.0,3109000.0,3136000.0
OtherCurrentBorrowings,3172000.0,3103000.0,3094000.0,3109000.0,3136000.0
PensionandOtherPostRetirementBenefitPlansCurrent,7174000.0,7473000.0,7535000.0,9427000.0,7393000.0
PayablesAndAccruedExpenses,15187000.0,21007000.0,21192000.0,22998000.0,31012000.0
CurrentAccruedExpenses,7050000.0,6947000.0,7395000.0,7758000.0,10644000.0
Payables,8137000.0,14060000.0,13797000.0,15240000.0,20368000.0
OtherPayable,,,,447000.0,5429000.0
AccountsPayable,8137000.0,14060000.0,13797000.0,14793000.0,14939000.0
TotalAssets,870024000.0,893845000.0,955978000.0,965466000.0,1113459000.0
