,2023-09-30,2023-06-30,2023-03-31,2022-12-31
OrdinarySharesNumber,343529456.0,343367514.0,342330264.0,326734889.0
ShareIssued,343529456.0,343367514.0,342330264.0,326734889.0
NetDebt,292258000.0,317799000.0,320214000.0,328153000.0
TotalDebt,517252000.0,508676000.0,502174000.0,498746000.0
TangibleBookValue,-69903000.0,-77974000.0,-90518000.0,-108304000.0
InvestedCapital,1735586000.0,1746722000.0,1751814000.0,1754554000.0
WorkingCapital,2704000.0,-29389000.0,-47629000.0,-68370000.0
NetTangibleAssets,-69903000.0,-77974000.0,-90518000.0,-108304000.0
CapitalLeaseObligations,95073000.0,88298000.0,86831000.0,85742000.0
CommonStockEquity,1313407000.0,1326344000.0,1336471000.0,1341550000.0
TotalCapitalization,1728891000.0,1725297000.0,1728627000.0,1730090000.0
TotalEquityGrossMinorityInterest,1313485000.0,1326344000.0,1336471000.0,1341550000.0
MinorityInterest,78000.0,0.0,0.0,0.0
StockholdersEquity,1313407000.0,1326344000.0,1336471000.0,1341550000.0
GainsLossesNotAffectingRetainedEarnings,-12000.0,-8000.0,-9000.0,-8000.0
OtherEquityAdjustments,-12000.0,-8000.0,-9000.0,-8000.0
RetainedEarnings,-364539000.0,-346697000.0,-333636000.0,-324399000.0
CapitalStock,1677958000.0,1673049000.0,1670116000.0,1665957000.0
CommonStock,1677958000.0,1673049000.0,1670116000.0,1665957000.0
TotalLiabilitiesNetMinorityInterest,1041618000.0,1020459000.0,1032495000.0,1054505000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,689318000.0,672140000.0,669109000.0,667860000.0
OtherNonCurrentLiabilities,4954000.0,4954000.0,5739000.0,5739000.0
NonCurrentDeferredLiabilities,183257000.0,189307000.0,193622000.0,196728000.0
NonCurrentDeferredRevenue,,,255000.0,255000.0
NonCurrentDeferredTaxesLiabilities,183257000.0,189307000.0,193367000.0,196473000.0
LongTermDebtAndCapitalLeaseObligation,501107000.0,477879000.0,469748000.0,465393000.0
LongTermCapitalLeaseObligation,85623000.0,78926000.0,77592000.0,76853000.0
LongTermDebt,415484000.0,398953000.0,392156000.0,388540000.0
CurrentLiabilities,352300000.0,348319000.0,363386000.0,386645000.0
CurrentDebtAndCapitalLeaseObligation,16145000.0,30797000.0,32426000.0,33353000.0
CurrentCapitalLeaseObligation,9450000.0,9372000.0,9239000.0,8889000.0
CurrentDebt,6695000.0,21425000.0,23187000.0,24464000.0
OtherCurrentBorrowings,6695000.0,21425000.0,23187000.0,24464000.0
PayablesAndAccruedExpenses,336155000.0,317522000.0,330960000.0,353292000.0
CurrentAccruedExpenses,52105000.0,53676000.0,37905000.0,41762000.0
Payables,284050000.0,263846000.0,293055000.0,311530000.0
OtherPayable,2032000.0,2032000.0,14782000.0,18262000.0
TotalTaxPayable,251001000.0,227086000.0,247749000.0,252767000.0
IncomeTaxPayable,251001000.0,227086000.0,247749000.0,252767000.0
AccountsPayable,31017000.0,34728000.0,30524000.0,40501000.0
TotalAssets,2355103000.0,2346803000.0,2368966000.0,2396055000.0
TotalNonCurrentAssets,2000099000.0,2027873000.0,2053209000.0,2077780000.0
OtherNonCurrentAssets,13815000.0,13306000.0,13331000.0,12766000.0
InvestmentsAndAdvances,100000.0,6716000.0,6817000.0,6977000.0
LongTermEquityInvestment,100000.0,6716000.0,6817000.0,6977000.0
InvestmentsinAssociatesatCost,100000.0,6716000.0,6817000.0,6977000.0
GoodwillAndOtherIntangibleAssets,1383310000.0,1404318000.0,1426989000.0,1449854000.0
OtherIntangibleAssets,1114088000.0,1135036000.0,1157901000.0,1180766000.0
Goodwill,269222000.0,269282000.0,269088000.0,269088000.0
NetPPE,602874000.0,603533000.0,606072000.0,608183000.0
AccumulatedDepreciation,-123854000.0,-111614000.0,-100330000.0,-88542000.0
GrossPPE,726728000.0,715147000.0,706402000.0,696725000.0
Leases,226797000.0,223352000.0,218329000.0,211785000.0
ConstructionInProgress,41380000.0,43072000.0,40910000.0,41800000.0
OtherProperties,180049000.0,173628000.0,172553000.0,170785000.0
MachineryFurnitureEquipment,49322000.0,45825000.0,45393000.0,42659000.0
BuildingsAndImprovements,197363000.0,197453000.0,197400000.0,197819000.0
LandAndImprovements,31817000.0,31817000.0,31817000.0,31877000.0
Properties,0.0,0.0,0.0,0.0
CurrentAssets,355004000.0,318930000.0,315757000.0,318275000.0
OtherCurrentAssets,38212000.0,41070000.0,47036000.0,48879000.0
AssetsHeldForSaleCurrent,1735000.0,1735000.0,1735000.0,3433000.0
Inventory,150821000.0,144888000.0,153607000.0,164532000.0
FinishedGoods,31335000.0,30894000.0,32057000.0,34311000.0
WorkInProcess,114399000.0,109436000.0,117039000.0,123101000.0
RawMaterials,5087000.0,4558000.0,4511000.0,7120000.0
Receivables,34315000.0,28658000.0,18250000.0,16580000.0
NotesReceivable,,,,0.0
AccountsReceivable,34315000.0,28658000.0,18250000.0,16580000.0
CashCashEquivalentsAndShortTermInvestments,129921000.0,102579000.0,95129000.0,84851000.0
CashAndCashEquivalents,129921000.0,102579000.0,95129000.0,84851000.0
