,2023-06-30,2022-12-31
OrdinarySharesNumber,3298161332.0,3298161332.0
ShareIssued,3298161332.0,3298161332.0
NetDebt,,274163000.0
TotalDebt,2273095000.0,2337302000.0
TangibleBookValue,1843746000.0,1852170000.0
InvestedCapital,4102260000.0,4161892000.0
WorkingCapital,-29080000.0,-932681000.0
NetTangibleAssets,1843746000.0,1852170000.0
CapitalLeaseObligations,91432000.0,88522000.0
CommonStockEquity,1920597000.0,1913112000.0
TotalCapitalization,3530597000.0,2735441000.0
TotalEquityGrossMinorityInterest,2900579000.0,2879881000.0
MinorityInterest,979982000.0,966769000.0
StockholdersEquity,1920597000.0,1913112000.0
OtherEquityInterest,27438000.0,9732000.0
FixedAssetsRevaluationReserve,13870000.0,27438000.0
RetainedEarnings,281106000.0,330601000.0
AdditionalPaidInCapital,1114263000.0,1114263000.0
CapitalStock,11782000.0,11782000.0
CommonStock,11782000.0,11782000.0
TotalLiabilitiesNetMinorityInterest,12871025000.0,12665535000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,1664522000.0,894108000.0
NonCurrentDeferredRevenue,7273000.0,8006000.0
NonCurrentDeferredTaxesLiabilities,29568000.0,30135000.0
LongTermDebtAndCapitalLeaseObligation,1627681000.0,855967000.0
LongTermCapitalLeaseObligation,17681000.0,33638000.0
LongTermDebt,1610000000.0,822329000.0
CurrentLiabilities,11206503000.0,11771427000.0
OtherCurrentLiabilities,3462994000.0,3395997000.0
CurrentDebtAndCapitalLeaseObligation,645414000.0,1481335000.0
CurrentCapitalLeaseObligation,73751000.0,54884000.0
CurrentDebt,571663000.0,1426451000.0
CurrentProvisions,89968000.0,87152000.0
Payables,6613381000.0,6460705000.0
OtherPayable,203935000.0,163237000.0
TotalTaxPayable,36289000.0,124018000.0
AccountsPayable,6373157000.0,6173450000.0
TotalAssets,15771604000.0,15545416000.0
TotalNonCurrentAssets,4594181000.0,4706670000.0
InvestmentinFinancialAssets,42765000.0,44707000.0
AvailableForSaleSecurities,42765000.0,44707000.0
LongTermEquityInvestment,924760000.0,956282000.0
InvestmentsinJointVenturesatCost,99012000.0,102056000.0
InvestmentsinAssociatesatCost,825748000.0,854226000.0
InvestmentProperties,432230000.0,441915000.0
GoodwillAndOtherIntangibleAssets,76851000.0,60942000.0
NetPPE,3117575000.0,3202824000.0
AccumulatedDepreciation,,-2744916000.0
GrossPPE,3117575000.0,3202824000.0
ConstructionInProgress,11513000.0,19874000.0
OtherProperties,3106062000.0,3182950000.0
MachineryFurnitureEquipment,,4160323000.0
BuildingsAndImprovements,,1329099000.0
LandAndImprovements,,201091000.0
Properties,,0.0
CurrentAssets,11177423000.0,10838746000.0
RestrictedCash,501034000.0,608076000.0
PrepaidAssets,183682000.0,142333000.0
Inventory,1114189000.0,1250225000.0
FinishedGoods,,336225000.0
WorkInProcess,,136351000.0
RawMaterials,,777649000.0
OtherReceivables,4289529000.0,4580130000.0
TaxesReceivable,10268000.0,5823000.0
AccountsReceivable,2488183000.0,2263881000.0
AllowanceForDoubtfulAccountsReceivable,-78809000.0,-78486000.0
GrossAccountsReceivable,2566992000.0,2342367000.0
CashCashEquivalentsAndShortTermInvestments,2590538000.0,1988278000.0
OtherShortTermInvestments,,13661000.0
CashAndCashEquivalents,2590538000.0,1974617000.0
CashFinancial,2590538000.0,1974617000.0
