,2023-09-30,2023-06-30,2023-03-31,2022-12-31
OrdinarySharesNumber,30436964.0,30435714.0,30439275.0,30439275.0
ShareIssued,30436964.0,30435714.0,30439275.0,30439275.0
TangibleBookValue,222659000.0,229063000.0,236905000.0,240402000.0
InvestedCapital,222659000.0,229063000.0,236905000.0,240402000.0
WorkingCapital,199108000.0,205062000.0,212666000.0,215777000.0
NetTangibleAssets,222659000.0,229063000.0,236905000.0,240402000.0
CommonStockEquity,222659000.0,229063000.0,236905000.0,240402000.0
TotalCapitalization,222659000.0,229063000.0,236905000.0,240402000.0
TotalEquityGrossMinorityInterest,222659000.0,229063000.0,236905000.0,240402000.0
StockholdersEquity,222659000.0,229063000.0,236905000.0,240402000.0
GainsLossesNotAffectingRetainedEarnings,440000.0,440000.0,440000.0,826000.0
OtherEquityAdjustments,440000.0,440000.0,440000.0,826000.0
RetainedEarnings,-47671000.0,-40307000.0,-31565000.0,-27749000.0
CapitalStock,269890000.0,268930000.0,268030000.0,267325000.0
CommonStock,269890000.0,268930000.0,268030000.0,267325000.0
PreferredStock,0.0,0.0,0.0,0.0
TotalLiabilitiesNetMinorityInterest,6940000.0,6073000.0,5216000.0,5701000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,1646000.0,1623000.0,1598000.0,1635000.0
TradeandOtherPayablesNonCurrent,1646000.0,1623000.0,1598000.0,1576000.0
NonCurrentDeferredLiabilities,0.0,0.0,0.0,59000.0
NonCurrentDeferredTaxesLiabilities,0.0,0.0,0.0,59000.0
CurrentLiabilities,5294000.0,4450000.0,3618000.0,4066000.0
PensionandOtherPostRetirementBenefitPlansCurrent,,,,489000.0
PayablesAndAccruedExpenses,5294000.0,4450000.0,3618000.0,3577000.0
CurrentAccruedExpenses,3667000.0,2634000.0,2206000.0,1114000.0
Payables,1627000.0,1816000.0,1412000.0,2463000.0
TotalTaxPayable,159000.0,0.0,55000.0,55000.0
IncomeTaxPayable,159000.0,0.0,55000.0,55000.0
AccountsPayable,1468000.0,1816000.0,1357000.0,2408000.0
TotalAssets,229599000.0,235136000.0,242121000.0,246103000.0
TotalNonCurrentAssets,25197000.0,25624000.0,25836000.0,26260000.0
NetPPE,25197000.0,25624000.0,25836000.0,26260000.0
AccumulatedDepreciation,,,,-16495000.0
GrossPPE,25197000.0,25624000.0,25836000.0,42755000.0
ConstructionInProgress,,,,401000.0
OtherProperties,4521000.0,4790000.0,4851000.0,16059000.0
MachineryFurnitureEquipment,,,,704000.0
BuildingsAndImprovements,20676000.0,20834000.0,20985000.0,24173000.0
LandAndImprovements,,,,1418000.0
Properties,0.0,0.0,0.0,0.0
CurrentAssets,204402000.0,209512000.0,216284000.0,219843000.0
OtherCurrentAssets,879000.0,947000.0,703000.0,601000.0
Receivables,1332000.0,3794000.0,2919000.0,1764000.0
TaxesReceivable,451000.0,577000.0,548000.0,548000.0
AccruedInterestReceivable,,,,1216000.0
AccountsReceivable,881000.0,3217000.0,2371000.0,
CashCashEquivalentsAndShortTermInvestments,202191000.0,204771000.0,212662000.0,217478000.0
OtherShortTermInvestments,0.0,61380000.0,60178000.0,60172000.0
CashAndCashEquivalents,202191000.0,143391000.0,152484000.0,157306000.0
