,2023-12-31,2023-06-30,2023-03-31,2022-12-31
TreasurySharesNumber,0.0,,,
OrdinarySharesNumber,62874771.0,42874108.0,42874108.0,42874108.0
ShareIssued,62874771.0,42874108.0,42874108.0,42874108.0
NetDebt,10496441.0,49038151.0,30190066.0,11669502.0
TotalDebt,24073990.0,60912761.0,41983916.0,24930604.0
TangibleBookValue,-26251730.0,-274517242.0,-246065128.0,-216491857.0
InvestedCapital,-9617234.0,-221380500.0,-212154909.0,-200437633.0
WorkingCapital,-16079313.0,-3753044.0,-3534255.0,-13675561.0
NetTangibleAssets,-26251730.0,-274517242.0,-246065128.0,-216491857.0
CapitalLeaseObligations,7460556.0,7800446.0,8107109.0,8911752.0
CommonStockEquity,-26230668.0,-274492815.0,-246031716.0,-216456485.0
TotalCapitalization,-14198442.0,-223783643.0,-214625657.0,-212463540.0
TotalEquityGrossMinorityInterest,-26230668.0,-249378064.0,-220916965.0,-191341734.0
MinorityInterest,0.0,25114751.0,25114751.0,25114751.0
StockholdersEquity,-26230668.0,-274492815.0,-246031716.0,-216456485.0
GainsLossesNotAffectingRetainedEarnings,1738241.0,1703822.0,1827999.0,2022702.0
RetainedEarnings,-300032230.0,-298783414.0,-270002280.0,-240144123.0
AdditionalPaidInCapital,272057034.0,22585078.0,22140866.0,21663237.0
CapitalStock,6287.0,1699.0,1699.0,1699.0
CommonStock,6287.0,1699.0,1699.0,1699.0
TotalLiabilitiesNetMinorityInterest,43077903.0,265303586.0,237375296.0,207544968.0
TotalNonCurrentLiabilitiesNetMinorityInterest,17374867.0,250725779.0,222766868.0,183156529.0
PreferredSecuritiesOutsideStockEquity,0.0,168974437.0,168974437.0,168974437.0
DerivativeProductLiabilities,0.0,24542213.0,15564547.0,2451422.0
EmployeeBenefits,509512.0,613538.0,438808.0,407402.0
LongTermDebtAndCapitalLeaseObligation,16865355.0,56595591.0,37789076.0,11318161.0
LongTermCapitalLeaseObligation,4833129.0,5886419.0,6383017.0,7325216.0
LongTermDebt,12032226.0,50709172.0,31406059.0,3992945.0
LongTermProvisions,,,,5107.0
CurrentLiabilities,25703036.0,14577807.0,14608428.0,24388439.0
OtherCurrentLiabilities,423946.0,245212.0,234459.0,223031.0
CurrentDeferredLiabilities,802787.0,867836.0,786572.0,1192217.0
CurrentDeferredRevenue,802787.0,867836.0,786572.0,1192217.0
CurrentDebtAndCapitalLeaseObligation,7208635.0,4317170.0,4194840.0,13612443.0
CurrentCapitalLeaseObligation,2627427.0,1914027.0,1724092.0,1586536.0
CurrentDebt,4581208.0,2403143.0,2470748.0,12025907.0
OtherCurrentBorrowings,2553368.0,2403143.0,2470748.0,12025907.0
CurrentNotesPayable,2027840.0,,,10435407.0
PensionandOtherPostRetirementBenefitPlansCurrent,178439.0,175296.0,146006.0,151022.0
PayablesAndAccruedExpenses,17089229.0,8972293.0,9246551.0,9209726.0
Payables,17089229.0,8972293.0,9246551.0,9209726.0
OtherPayable,2909544.0,2425795.0,2698573.0,2414267.0
DuetoRelatedPartiesCurrent,129935.0,,,
AccountsPayable,14049750.0,6546498.0,6547978.0,6795459.0
TotalAssets,16847235.0,15925522.0,16458331.0,16203234.0
TotalNonCurrentAssets,7223512.0,5100759.0,5384158.0,5490358.0
NonCurrentPrepaidAssets,324948.0,427070.0,425669.0,422944.0
NonCurrentAccountsReceivable,3241783.0,270294.0,248321.0,45258.0
InvestmentsAndAdvances,319401.0,349517.0,254032.0,403876.0
OtherInvestments,319401.0,349517.0,254032.0,403876.0
GoodwillAndOtherIntangibleAssets,21062.0,24427.0,33412.0,35372.0
OtherIntangibleAssets,,,33412.0,
NetPPE,3316318.0,4029451.0,4422724.0,4582908.0
AccumulatedDepreciation,-2502466.0,-2241863.0,-6189452.0,-2123751.0
GrossPPE,5818784.0,6271314.0,10612176.0,6706659.0
OtherProperties,4733367.0,5033273.0,5096950.0,5144253.0
MachineryFurnitureEquipment,1085417.0,1238041.0,5515226.0,1562406.0
CurrentAssets,9623723.0,10824763.0,11074173.0,10712878.0
OtherCurrentAssets,46040.0,38094.0,19682.0,124250.0
AssetsHeldForSaleCurrent,656885.0,864888.0,923176.0,1028136.0
PrepaidAssets,642263.0,733613.0,1313861.0,607588.0
Receivables,1997161.0,4947360.0,4964173.0,4603554.0
OtherReceivables,715844.0,736122.0,746176.0,697588.0
TaxesReceivable,990446.0,3981913.0,3962822.0,3660974.0
AccountsReceivable,290871.0,229325.0,255175.0,244992.0
GrossAccountsReceivable,,,,244992.0
CashCashEquivalentsAndShortTermInvestments,6281374.0,4240808.0,3853281.0,4349350.0
OtherShortTermInvestments,164381.0,166644.0,166540.0,
CashAndCashEquivalents,6116993.0,4074164.0,3686741.0,4349350.0
CashEquivalents,86373.0,47727.0,15633.0,15349.0
CashFinancial,6030620.0,4026437.0,3671108.0,4334001.0
