Symbol,Name,Sector,Industry,Exchange,ETF,Winners 1,Winners 1 First Seen,Winners 5,Winners 5 First Seen,Winners 10,Winners 10 First Seen,Winners 100,Winners 100 First Seen,Loosers 1,Loosers 1 First Seen,Loosers 5,Loosers 5 First Seen,Loosers 10,Loosers 10 First Seen,Loosers 100,Loosers 100 First Seen,Random 1,Random 1 First Seen,Random 5,Random 5 First Seen,Random 10,Random 10 First Seen,Random 100,Random 100 First Seen,Screener,Screener First Seen,Screener First Seen Close,Financials Market Cap,Financials Total Cash,Financials Total Debt,Financials Quick Ratio,Financials Current Ratio,Financials Total Revenue,Financials Debt To Equity,Financials Return On Assets,Financials Return On Equity,Financials Free Cashflow,Financials Operating Cashflow
VRTPX,Vanguard Real Estate II Index,,,NAS,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,
PLD,"Prologis, Inc.",Real Estate,REIT—Industrial,NYQ,XLRE,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,112868548608,599742016,30515324928,0.338,0.695,8104100864,52.682,0.020450002,0.052020002,4458873856,5185536000
AMT,American Tower Corporation,Real Estate,REIT—Specialty,NYQ,XLRE,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,103967776768,2492100096,47389499392,0.524,0.597,11339700224,454.641,0.04185,0.21584,4737874944,5064600064
EQIX,"Equinix, Inc.",Real Estate,REIT—Specialty,NMS,XLRE,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,77748559872,1992999936,17974999040,1.045,1.215,8023491072,146.103,0.02093,0.085,2721974528,3293594880
WELL,Welltower Inc.,Real Estate,REIT—Healthcare Facilities,NYQ,XLRE,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,71513980928,2776627968,14347254784,1.955,2.497,7161897984,48.326,0.01845,0.023729999,2929715968,1821783040
SPG,"Simon Property Group, Inc.",Real Estate,REIT—Retail,NYQ,XLRE,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,59483320320,1234433024,25811712000,0.388,0.388,5839242240,719.648,0.05619,0.8296,1814684288,3808875008
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT—Specialty,NYQ,XLRE,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,50120863744,2327337984,17785159680,1.538,1.54,5352764928,79.371,0.00936,0.05388,2230602752,1746152960
O,Realty Income Corporation,Real Estate,REIT—Retail,NYQ,XLRE,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,52748472320,442820000,26074120192,2.025,2.631,4717805056,67.004,0.02108,0.02417,2359653376,3252500992
PSA,Public Storage,Real Estate,REIT—Industrial,NYQ,XLRE,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,55487709184,542262976,9400519680,0.928,0.981,4659025920,95.888,0.07545,0.20954001,2215985408,3228219904
CCI,Crown Castle Inc.,Real Estate,REIT—Specialty,NYQ,XLRE,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,48080494592,155000000,29380999168,0.282,0.433,6608000000,519.834,0.03652,0.18743,1281250048,2768000000
MSFT,Microsoft Corporation,Technology,Software—Infrastructure,NMS,XLK,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,3017962684416,75531001856,97851998208,1.141,1.275,245122007040,36.447,0.14802,0.37133,56705249280,118547996672
AAPL,Apple Inc.,Technology,Consumer Electronics,NMS,XLK,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,3287734812672,61801000960,101304000512,0.798,0.953,385603010560,151.862,0.22612,1.60583,86158123008,113040998400
NVDA,NVIDIA Corporation,Technology,Semiconductors,NMS,XLK,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,2576672096256,31438000128,11237000192,2.877,3.529,79773999104,22.866,0.49103,1.15658,29023750144,40524001280
AVGO,Broadcom Inc.,Technology,Semiconductors,NMS,XLK,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,690132418560,11105000448,40456998912,0.759,1.254,42618998784,166.032,0.074260004,0.22229,20222875648,18941999104
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,NMS,XLK,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,217313312768,5340000256,2244999936,1.794,2.819,23275999232,3.971,0.00801,0.024249999,2112999936,1916000000
ADBE,Adobe Inc.,Technology,Software—Infrastructure,NMS,XLK,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,237795409920,8064999936,6089999872,1.021,1.164,20429000704,41.029,0.15628,0.34223998,6559124992,6584000000
CRM,"Salesforce, Inc.",Technology,Software—Application,NYQ,XLK,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,244701560832,17670000640,13392000000,0.948,1.106,35742998528,22.439,0.04344,0.093430005,12567499776,11989999616
ORCL,Oracle Corporation,Technology,Software—Infrastructure,NYQ,XLK,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,363938873344,10661000192,94413996032,0.614,0.715,52961001472,1021.907,0.07156,1.9392301,10437250048,18673000448
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,NMS,XLK,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,183230709760,13031999488,14554000384,1.639,2.394,37348999168,58.995,0.12084,0.38924,11305249792,13644999680
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,NMS,XLK,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,158292246528,7557000192,5998000128,1.84,2.799,26500999168,32.958,0.1567,0.45193002,4579999744,7855000064
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,NMS,XLC,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,1309864886272,58080002048,37990998016,2.688,2.83,149784002560,24.235,0.17661,0.35375,32011874304,78421999616
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,NMS,XLC,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,2024385150976,100724998144,28718999552,1.897,2.079,328284012544,9.549,0.15961,0.30871,43988500480,105059000320
