Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
CHWRF,China Tower Corporation Limited,1.4,0.0,0.0,90000,1985,269697000000,2025-02-22T16:16:43.510411
CILJF,China Life Insurance Company Limited,1.91,0.0,0.0,10000,10962,132333000000,2025-02-22T16:16:43.510411
CIHHF,"China Merchants Bank Co., Ltd.",4.87,0.0,0.0,100,2742,130840000000,2025-02-22T16:16:43.510411
CIIHF,CITIC Securities Company Limited,2.67,0.0,0.0,150,618,116811000000,2025-02-22T16:16:43.510411
CUAEF,China Shenhua Energy Company Limited,3.75,0.0,0.0,840,1,90475000000,2025-02-22T16:16:43.510411
IITSF,Intesa Sanpaolo S.p.A.,4.73,0.0,0.0,200,5086,88487000000,2025-02-22T16:16:43.510411
SFBQF,SoftBank Corp.,1.39,-0.02,-1.42,1482,47693,65851000000,2025-02-22T16:16:43.510411
LYG,Lloyds Banking Group plc,3.37,0.04,1.2,16178000,13045000,60714000000,2025-02-22T16:16:43.510411
NNFSF,"Nongfu Spring Co., Ltd.",4.47,0.0,0.0,3000,61,58123000000,2025-02-22T16:16:43.510411
ZIJMF,Zijin Mining Group Company Limited,2.03,0.0,0.0,10745,54923,57555000000,2025-02-22T16:16:43.510411
BCLYF,Barclays PLC,3.99,0.25,6.68,1500,46833,57458000000,2025-02-22T16:16:43.510411
GLCNF,Glencore plc,4.06,0.01,0.25,1733,106881,49358000000,2025-02-22T16:16:43.510411
CAIXY,"CaixaBank, S.A.",2.24,0.01,0.45,31666,332559,48876000000,2025-02-22T16:16:43.510411
WMMVF,"Wal-Mart de México, S.A.B. de C.V.",2.8,0.03,1.1,6576,84789,48850000000,2025-02-22T16:16:43.510411
HLNCF,Haleon plc,4.97,-0.07,-1.35,174,69915,46007000000,2025-02-22T16:16:43.510411
HNHAF,"Hon Hai Precision Industry Co., Ltd.",3.26,0.0,0.0,1000,15,45135000000,2025-02-22T16:16:43.510411
SNGNF,Singapore Telecommunications Limited,2.39,0.0,0.0,20000,1640,41092000000,2025-02-22T16:16:43.510411
PPCCF,PICC Property and Casualty Company Limited,1.51,0.0,0.0,1444,298,40756000000,2025-02-22T16:16:43.510411
HRSHF,"Haier Smart Home Co., Ltd.",3.36,-0.14,-4.14,110,26700,38088000000,2025-02-22T16:16:43.510411
WIT,Wipro Limited,3.48,-0.16,-4.4,5682000,4585000,36374000000,2025-02-22T16:16:43.510411
CHPXF,"China Pacific Insurance (Group) Co., Ltd.",2.38,0.0,0.0,400,26,35449000000,2025-02-22T16:16:43.510411
BNKHF,BOC Hong Kong (Holdings) Limited,3.3,0.0,0.0,100,2067,34890000000,2025-02-22T16:16:43.510411
BSBR,Banco Santander (Brasil) S.A.,4.62,-0.09,-1.91,394971,732581,34467000000,2025-02-22T16:16:43.510411
KSHTY,Kuaishou Technology,1.59,0.09,6.0,70,2753,34444000000,2025-02-22T16:16:43.510411
MLYNF,Malayan Banking Berhad,2.43,0.0,0.0,3692,32,33744000000,2025-02-22T16:16:43.510411
ZTCOF,ZTE Corporation,4.1,0.22,5.67,2000,3188,33140000000,2025-02-22T16:16:43.510411
QIHCF,"Haier Smart Home Co., Ltd.",1.59,0.0,0.0,100,5,32568000000,2025-02-22T16:16:43.510411
CICOF,"COSCO SHIPPING Holdings Co., Ltd.",1.58,0.0,0.0,180,15869,32431000000,2025-02-22T16:16:43.510411
TTRAF,Telstra Group Limited,2.58,0.0,0.0,300,442,32219000000,2025-02-22T16:16:43.510411
TSCDF,Tesco PLC,4.67,0.0,0.0,1761,14876,31444000000,2025-02-22T16:16:43.510411
CTPCF,CITIC Limited,1.01,0.0,0.0,2800,64,30469000000,2025-02-22T16:16:43.510411
ABEV,Ambev S.A.,1.92,0.01,0.52,17485000,38103000,30198000000,2025-02-22T16:16:43.510411
CMAKY,"China Minsheng Banking Corp., Ltd.",4.77,0.0,0.0,1001,740,28750000000,2025-02-22T16:16:43.510411
BDORY,Banco do Brasil S.A.,5.0,-0.01,-0.2,41844,699220,28540000000,2025-02-22T16:16:43.510411
GWLLF,Great Wall Motor Company Limited,1.58,0.03,1.94,100,4859,28176000000,2025-02-22T16:16:43.510411
